"","sire","dam","id","loci","n.loci","LLRpair","LLRdam","LLRsire","dam.batch","sire.batch","Fertilization_pairs"
"1","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B1-pH8.bam","adapter_trim.F3-J9-pH8.bam","CM084274_1_4863965.0, CM084267_1_52092638.0, CM084265_1_959807.0, CM084276_1_20156972.0, CM084265_1_68806425.1, CM084269_1_45310979.0, CM084266_1_71149029.1, CM084278_1_20679238.0, CM084264_1_69902276.1, CM084268_1_50739244.0, CM084272_1_9069881.1, CM084270_1_10495951.1, CM084275_1_35722058.1, CM084269_1_15827759.0, CM084265_1_71827765.1, CM084267_1_8118616.1, CM084265_1_69381524.0, CM084266_1_68919262.0, CM084266_1_69545761.0, CM084266_1_65401945.1, CM084270_1_46587624.0, CM084277_1_18545080.1, CM084276_1_1856066.0, CM084275_1_675783.1, CM084265_1_66141850.1, CM084264_1_75278291.0, CM084274_1_4708223.0, CM084270_1_9408158.0, CM084274_1_4694915.1, CM084266_1_71148891.1, CM084264_1_72054055.1, CM084265_1_70609247.1, CM084264_1_8112660.1, CM084269_1_15823421.1, CM084266_1_23321803.0, CM084264_1_8098050.1, CM084267_1_2309126.1, CM084277_1_1868699.0, CM084276_1_1500412.0, CM084266_1_59802398.1, CM084272_1_18574376.1, CM084274_1_42855653.0, CM084278_1_20734513.1, CM084271_1_43860497.0, CM084274_1_11619978.1, CM084271_1_44104716.1, CM084272_1_33616442.1, CM084265_1_46089269.0, CM084266_1_816291.0, CM084268_1_3699708.0","50","0.26","-0.18","-0.37","1","1","TRUE"
"2","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B23-pH8.bam","adapter_trim.F3-J14-pH8.bam","CM084279_1_32640564.1, CM084278_1_20635947.0, CM084272_1_18193864.1, CM084275_1_19996655.1, CM084265_1_71827811.0, CM084265_1_70595162.1, CM084272_1_33515302.0, CM084267_1_4505260.1, CM084267_1_6421243.1, CM084269_1_4636406.1, CM084270_1_47076329.0, CM084275_1_39774927.0, CM084277_1_4875961.1, CM084264_1_73283219.0, CM084269_1_43528550.0, CM084265_1_24901885.0, CM084267_1_5168533.1, CM084265_1_59221275.1, CM084274_1_4812118.0, CM084269_1_15809964.0, CM084266_1_70706238.1, CM084275_1_35717364.0, CM084269_1_1555101.0, CM084267_1_51242798.0, CM084274_1_4793173.0, CM084279_1_31409052.1, CM084266_1_69806294.0, CM084275_1_2509962.1, CM084269_1_1555101.1, CM084278_1_20623588.1, CM084264_1_70190075.0, CM084265_1_59221309.0, CM084267_1_3748455.0, CM084266_1_71166433.1, CM084269_1_1567498.1, CM084266_1_57886823.0, CM084271_1_30532429.1, CM084264_1_48147317.1, CM084278_1_22657588.1, CM084276_1_38552504.0, CM084270_1_46589385.1, CM084270_1_12307506.0, CM084266_1_58102684.0, CM084269_1_43528587.1, CM084275_1_36059096.0, CM084267_1_50993981.0, CM084276_1_1856070.0, CM084265_1_70589360.0, CM084271_1_379052.0, CM084279_1_1064861.0","50","0.4","-0.75","-0.6","2","1","FALSE"
"3","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B1-pH8.bam","adapter_trim.F3-J23-pH8.bam","CM084276_1_935739.1, CM084265_1_68243992.1, CM084274_1_4792256.0, CM084265_1_72368245.1, CM084269_1_41809360.0, CM084276_1_38788200.1, CM084269_1_12903174.1, CM084267_1_6420828.0, CM084268_1_28845522.0, CM084279_1_10157014.0, CM084274_1_4726638.0, CM084269_1_39737147.0, CM084265_1_71796317.0, CM084274_1_4769088.0, CM084270_1_26890196.0, CM084265_1_73060898.0, CM084268_1_3697521.0, CM084278_1_22667297.0, CM084271_1_43860456.1, CM084269_1_1567498.1, CM084267_1_2104179.1, CM084271_1_11500090.1, CM084273_1_31862042.1, CM084271_1_44134607.1, CM084270_1_9408154.1, CM084266_1_67912135.1, CM084276_1_38558640.1, CM084266_1_50301553.1, CM084273_1_32698908.0, CM084265_1_72986696.1, CM084277_1_10417524.1, CM084278_1_22667323.0, CM084266_1_61737006.1, CM084275_1_524647.0, CM084279_1_1062150.1, CM084274_1_4870197.0, CM084276_1_37987483.0, CM084271_1_19655927.1, CM084265_1_72368204.0, CM084268_1_18519471.0, CM084275_1_39776636.0, CM084264_1_2738113.1, CM084269_1_1563979.1, CM084264_1_34300890.0, CM084264_1_69287336.0, CM084271_1_3818665.0, CM084274_1_4863872.0, CM084265_1_1816585.0, CM084276_1_38539465.0, CM084274_1_4798803.1","50","0.17","-0.63","-0.6","1","1","TRUE"
"4","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B3-pH8.bam","adapter_trim.F3-J33-pH8.bam","CM084273_1_21179215.1, CM084264_1_73926160.0, CM084265_1_71925470.0, CM084271_1_30532473.1, CM084264_1_70191778.1, CM084268_1_50693597.0, CM084265_1_64735421.0, CM084276_1_38960936.0, CM084270_1_9408154.1, CM084274_1_4788623.1, CM084270_1_42345710.1, CM084264_1_34294033.1, CM084266_1_70706208.0, CM084264_1_73311139.1, CM084271_1_274096.0, CM084277_1_30027550.0, CM084271_1_3821125.1, CM084266_1_62460034.0, CM084272_1_18170755.1, CM084268_1_24031324.0, CM084272_1_23644236.1, CM084269_1_12905587.1, CM084274_1_4694522.0, CM084267_1_13229742.0, CM084266_1_67239899.0, CM084279_1_32915293.1, CM084266_1_68319477.0, CM084273_1_32683016.0, CM084269_1_46688879.0, CM084277_1_30611563.1, CM084272_1_18191742.1, CM084274_1_4788084.0, CM084276_1_38785557.1, CM084271_1_44073407.1, CM084266_1_64164269.0, CM084273_1_42253133.0, CM084274_1_4694551.1, CM084264_1_69748575.1, CM084270_1_4751880.1, CM084265_1_58530104.0, CM084277_1_10628715.0, CM084271_1_256611.1, CM084270_1_39395973.0, CM084276_1_2855158.0, CM084265_1_959807.1, CM084265_1_68808152.1, CM084274_1_5120623.1, CM084266_1_68320526.0, CM084269_1_15812959.0, CM084266_1_57882736.1","50","0.41","-0.24","-0.32","","1","FALSE"
"5","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B10-pH8.bam","adapter_trim.F3-J39-pH8.bam","CM084266_1_70400233.1, CM084264_1_15073604.1, CM084268_1_50323439.1, CM084274_1_4863343.0, CM084265_1_70798989.0, CM084276_1_38117392.1, CM084271_1_1033788.1, CM084266_1_68322200.1, CM084266_1_62460058.0, CM084266_1_69793931.1, CM084273_1_31862642.1, CM084277_1_29208392.1, CM084276_1_38775909.0, CM084265_1_70979988.1, CM084274_1_21938486.0, CM084265_1_72368258.1, CM084272_1_2072732.0, CM084268_1_3703420.0, CM084270_1_1559641.1, CM084274_1_4869924.0, CM084272_1_18194995.1, CM084265_1_73061238.1, CM084266_1_66418368.1, CM084271_1_257113.0, CM084269_1_1556138.0, CM084277_1_29780644.1, CM084269_1_43524104.0, CM084278_1_24948349.1, CM084272_1_33623932.0, CM084275_1_1304748.0, CM084279_1_1060874.1, CM084271_1_379032.1, CM084268_1_47694452.1, CM084276_1_38773525.1, CM084274_1_4708223.0, CM084265_1_58483282.0, CM084268_1_3702289.0, CM084272_1_36474233.1, CM084269_1_35642171.0, CM084265_1_68807639.1, CM084267_1_2908860.1, CM084267_1_832157.1, CM084277_1_10417520.1, CM084273_1_21179270.1, CM084279_1_1073128.1, CM084276_1_1625257.1, CM084264_1_68688356.1, CM084271_1_19655820.0, CM084276_1_38539465.0, CM084267_1_52593751.1","50","0.22","-0.49","-0.56","2","1","FALSE"
"6","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B10-pH8.bam","adapter_trim.F3-J27-pH8.bam","CM084269_1_45423014.0, CM084274_1_4796079.1, CM084264_1_69298657.1, CM084274_1_4793173.1, CM084268_1_28845782.1, CM084267_1_50994187.1, CM084269_1_45438488.0, CM084271_1_1033937.0, CM084267_1_832159.1, CM084274_1_4773486.0, CM084264_1_64875158.0, CM084266_1_64164372.0, CM084269_1_15809963.0, CM084268_1_50679570.1, CM084276_1_1510348.0, CM084269_1_15813150.1, CM084265_1_69381619.1, CM084265_1_71826940.0, CM084270_1_32126728.0, CM084274_1_4694239.0, CM084271_1_44066688.1, CM084264_1_73604407.0, CM084268_1_3699708.1, CM084269_1_12905572.1, CM084276_1_11709760.1, CM084279_1_1079183.1, CM084275_1_672856.0, CM084267_1_699404.0, CM084266_1_70706238.0, CM084270_1_8242309.0, CM084273_1_31865817.1, CM084264_1_71721959.1, CM084264_1_73926160.0, CM084274_1_7310951.1, CM084268_1_2713890.0, CM084265_1_71796271.1, CM084264_1_70175562.0, CM084264_1_73291504.1, CM084267_1_51919009.0, CM084268_1_50219227.1, CM084271_1_44228071.0, CM084274_1_5120580.0, CM084266_1_71317540.0, CM084278_1_20736236.1, CM084273_1_31864741.1, CM084271_1_7136548.0, CM084276_1_38772810.0, CM084265_1_72368298.0, CM084271_1_44190489.0, CM084275_1_660866.0","50","0.43","-0.63","-0.68","2","1","FALSE"
"7","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B3-pH8.bam","adapter_trim.F3-J28-pH8.bam","CM084273_1_21179215.1, CM084264_1_73926160.0, CM084265_1_71925470.0, CM084271_1_30532473.1, CM084264_1_70191778.1, CM084268_1_50693597.0, CM084265_1_64735421.0, CM084276_1_38960936.0, CM084270_1_9408154.1, CM084274_1_4788623.1, CM084270_1_42345710.1, CM084264_1_34294033.1, CM084266_1_70706208.0, CM084264_1_73311139.1, CM084271_1_274096.0, CM084277_1_30027550.0, CM084271_1_3821125.1, CM084266_1_62460034.0, CM084272_1_18170755.1, CM084268_1_24031324.0, CM084272_1_23644236.1, CM084269_1_12905587.1, CM084274_1_4694522.0, CM084267_1_13229742.0, CM084266_1_67239899.0, CM084279_1_32915293.1, CM084266_1_68319477.0, CM084273_1_32683016.0, CM084269_1_46688879.0, CM084277_1_30611563.1, CM084272_1_18191742.1, CM084274_1_4788084.0, CM084276_1_38785557.1, CM084271_1_44073407.1, CM084266_1_64164269.0, CM084273_1_42253133.0, CM084274_1_4694551.1, CM084264_1_69748575.1, CM084270_1_4751880.1, CM084265_1_58530104.0, CM084277_1_10628715.0, CM084271_1_256611.1, CM084270_1_39395973.0, CM084276_1_2855158.0, CM084265_1_959807.1, CM084265_1_68808152.1, CM084274_1_5120623.1, CM084266_1_68320526.0, CM084269_1_15812959.0, CM084266_1_57882736.1","50","0.18","-0.37","-0.14","","1","FALSE"
"8","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B16-pH8.bam","adapter_trim.F3-J1-pH8.bam","CM084277_1_30631454.0, CM084266_1_71149025.1, CM084275_1_39776486.1, CM084265_1_71925176.1, CM084268_1_50790919.1, CM084275_1_36064332.1, CM084265_1_69381619.1, CM084271_1_19655912.0, CM084274_1_4795112.1, CM084275_1_39502406.0, CM084269_1_4635071.1, CM084268_1_4026799.0, CM084277_1_30953033.1, CM084274_1_4694239.0, CM084278_1_5142968.0, CM084276_1_7202888.1, CM084276_1_1856654.0, CM084269_1_1577700.0, CM084265_1_59221229.1, CM084265_1_59221220.1, CM084266_1_69625511.0, CM084266_1_57886490.0, CM084275_1_19996655.0, CM084271_1_4574012.1, CM084278_1_22667307.0, CM084274_1_5046215.0, CM084275_1_35720341.0, CM084275_1_39502406.0, CM084266_1_57882780.1, CM084264_1_69903182.1, CM084269_1_46688909.0, CM084271_1_43816629.1, CM084274_1_4694239.1, CM084277_1_29208395.1, CM084272_1_2072732.1, CM084266_1_69051064.0, CM084269_1_39737144.0, CM084271_1_4574012.0, CM084270_1_47076332.1, CM084274_1_4793160.0, CM084265_1_70979980.1, CM084275_1_39394589.1, CM084266_1_69051090.0, CM084267_1_2163704.0, CM084266_1_70706208.0, CM084265_1_71265269.0, CM084266_1_63195191.0, CM084274_1_4730026.1, CM084271_1_379057.1, CM084272_1_18188792.1","50","0.16","-0.93","-1.01","4","1","FALSE"
"9","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B23-pH8.bam","adapter_trim.F3-J9-pH8.bam","CM084265_1_72636296.0, CM084266_1_58102684.1, CM084268_1_24031315.0, CM084273_1_31866816.1, CM084266_1_66377772.0, CM084265_1_71925470.1, CM084276_1_56673.1, CM084265_1_64969585.1, CM084272_1_43469575.0, CM084271_1_290001.0, CM084275_1_319814.1, CM084274_1_7449618.0, CM084271_1_274110.0, CM084276_1_2841292.1, CM084271_1_340894.0, CM084264_1_66077502.1, CM084264_1_8112660.0, CM084273_1_11267029.1, CM084267_1_2163720.1, CM084278_1_20625152.0, CM084266_1_57882573.0, CM084271_1_3819548.0, CM084265_1_72078910.0, CM084266_1_70706263.0, CM084264_1_34300372.1, CM084272_1_2928852.1, CM084274_1_4708063.1, CM084271_1_43868125.0, CM084269_1_43523950.1, CM084276_1_1856932.1, CM084265_1_66142270.1, CM084264_1_69287134.0, CM084269_1_43524375.1, CM084270_1_2585592.1, CM084270_1_4921106.0, CM084264_1_26773675.0, CM084271_1_44070313.1, CM084275_1_40706319.0, CM084267_1_5165677.1, CM084272_1_18191742.0, CM084275_1_23104495.1, CM084278_1_20867809.1, CM084269_1_15828546.0, CM084264_1_69287134.1, CM084266_1_68919260.1, CM084272_1_1726223.1, CM084269_1_15828545.0, CM084276_1_38489687.0, CM084274_1_21933035.0, CM084264_1_74800272.1","50","0.19","0.02","-0.17","2","1","FALSE"
"10","adapter_trim.F2-B11-pH8.bam","adapter_trim.F2-B1-pH8.bam","adapter_trim.F3-J48-pH8.bam","CM084267_1_6421241.1, CM084264_1_70456944.0, CM084269_1_15812960.1, CM084266_1_70181836.0, CM084265_1_3130640.0, CM084279_1_31075821.0, CM084275_1_524597.1, CM084266_1_57886153.0, CM084269_1_46692099.1, CM084272_1_33453804.0, CM084265_1_959807.0, CM084269_1_1549190.0, CM084278_1_16774412.0, CM084271_1_3816215.0, CM084265_1_68808152.1, CM084268_1_50679553.0, CM084266_1_58087797.0, CM084276_1_771542.1, CM084264_1_74076720.1, CM084278_1_20734513.0, CM084270_1_42345710.0, CM084273_1_31862787.0, CM084264_1_70175564.0, CM084267_1_5165711.0, CM084277_1_29780894.0, CM084266_1_70706235.1, CM084272_1_1883699.1, CM084267_1_699277.0, CM084272_1_33607000.0, CM084265_1_64735174.1, CM084273_1_31866816.0, CM084270_1_4751880.0, CM084264_1_8233152.0, CM084269_1_1526871.0, CM084268_1_3691693.0, CM084268_1_1326643.0, CM084274_1_4867255.1, CM084268_1_3697521.0, CM084275_1_4345059.0, CM084270_1_15641795.1, CM084265_1_73060812.1, CM084271_1_43849282.1, CM084267_1_50994193.1, CM084275_1_1304748.1, CM084267_1_2081906.0, CM084269_1_15827890.0, CM084266_1_70707515.0, CM084264_1_73929737.0, CM084271_1_44104310.0, CM084275_1_19996650.1","50","0.39","-0.06","-0.48","1","1","TRUE"
