"","id","dam","sire","LLRpair","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F3-J9-pH8.bam","adapter_trim.F2-B1-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.26","1","1","TRUE","CM084274_1_4863965.0, CM084267_1_52092638.0, CM084265_1_959807.0, CM084276_1_20156972.0, CM084265_1_68806425.1, CM084269_1_45310979.0, CM084266_1_71149029.1, CM084278_1_20679238.0, CM084264_1_69902276.1, CM084268_1_50739244.0, CM084272_1_9069881.1, CM084270_1_10495951.1, CM084275_1_35722058.1, CM084269_1_15827759.0, CM084265_1_71827765.1, CM084267_1_8118616.1, CM084265_1_69381524.0, CM084266_1_68919262.0, CM084266_1_69545761.0, CM084266_1_65401945.1, CM084270_1_46587624.0, CM084277_1_18545080.1, CM084276_1_1856066.0, CM084275_1_675783.1, CM084265_1_66141850.1, CM084264_1_75278291.0, CM084274_1_4708223.0, CM084270_1_9408158.0, CM084274_1_4694915.1, CM084266_1_71148891.1, CM084264_1_72054055.1, CM084265_1_70609247.1, CM084264_1_8112660.1, CM084269_1_15823421.1, CM084266_1_23321803.0, CM084264_1_8098050.1, CM084267_1_2309126.1, CM084277_1_1868699.0, CM084276_1_1500412.0, CM084266_1_59802398.1, CM084272_1_18574376.1, CM084274_1_42855653.0, CM084278_1_20734513.1, CM084271_1_43860497.0, CM084274_1_11619978.1, CM084271_1_44104716.1, CM084272_1_33616442.1, CM084265_1_46089269.0, CM084266_1_816291.0, CM084268_1_3699708.0"
"2","adapter_trim.F3-J33-pH8.bam","adapter_trim.F2-B3-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.41","","1","FALSE","CM084273_1_21179215.1, CM084264_1_73926160.0, CM084265_1_71925470.0, CM084271_1_30532473.1, CM084264_1_70191778.1, CM084268_1_50693597.0, CM084265_1_64735421.0, CM084276_1_38960936.0, CM084270_1_9408154.1, CM084274_1_4788623.1, CM084270_1_42345710.1, CM084264_1_34294033.1, CM084266_1_70706208.0, CM084264_1_73311139.1, CM084271_1_274096.0, CM084277_1_30027550.0, CM084271_1_3821125.1, CM084266_1_62460034.0, CM084272_1_18170755.1, CM084268_1_24031324.0, CM084272_1_23644236.1, CM084269_1_12905587.1, CM084274_1_4694522.0, CM084267_1_13229742.0, CM084266_1_67239899.0, CM084279_1_32915293.1, CM084266_1_68319477.0, CM084273_1_32683016.0, CM084269_1_46688879.0, CM084277_1_30611563.1, CM084272_1_18191742.1, CM084274_1_4788084.0, CM084276_1_38785557.1, CM084271_1_44073407.1, CM084266_1_64164269.0, CM084273_1_42253133.0, CM084274_1_4694551.1, CM084264_1_69748575.1, CM084270_1_4751880.1, CM084265_1_58530104.0, CM084277_1_10628715.0, CM084271_1_256611.1, CM084270_1_39395973.0, CM084276_1_2855158.0, CM084265_1_959807.1, CM084265_1_68808152.1, CM084274_1_5120623.1, CM084266_1_68320526.0, CM084269_1_15812959.0, CM084266_1_57882736.1"
"3","adapter_trim.F3-J39-pH8.bam","adapter_trim.F2-B10-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.22","2","1","FALSE","CM084266_1_70400233.1, CM084264_1_15073604.1, CM084268_1_50323439.1, CM084274_1_4863343.0, CM084265_1_70798989.0, CM084276_1_38117392.1, CM084271_1_1033788.1, CM084266_1_68322200.1, CM084266_1_62460058.0, CM084266_1_69793931.1, CM084273_1_31862642.1, CM084277_1_29208392.1, CM084276_1_38775909.0, CM084265_1_70979988.1, CM084274_1_21938486.0, CM084265_1_72368258.1, CM084272_1_2072732.0, CM084268_1_3703420.0, CM084270_1_1559641.1, CM084274_1_4869924.0, CM084272_1_18194995.1, CM084265_1_73061238.1, CM084266_1_66418368.1, CM084271_1_257113.0, CM084269_1_1556138.0, CM084277_1_29780644.1, CM084269_1_43524104.0, CM084278_1_24948349.1, CM084272_1_33623932.0, CM084275_1_1304748.0, CM084279_1_1060874.1, CM084271_1_379032.1, CM084268_1_47694452.1, CM084276_1_38773525.1, CM084274_1_4708223.0, CM084265_1_58483282.0, CM084268_1_3702289.0, CM084272_1_36474233.1, CM084269_1_35642171.0, CM084265_1_68807639.1, CM084267_1_2908860.1, CM084267_1_832157.1, CM084277_1_10417520.1, CM084273_1_21179270.1, CM084279_1_1073128.1, CM084276_1_1625257.1, CM084264_1_68688356.1, CM084271_1_19655820.0, CM084276_1_38539465.0, CM084267_1_52593751.1"
"4","adapter_trim.F3-J27-pH8.bam","adapter_trim.F2-B10-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.43","2","1","FALSE","CM084269_1_45423014.0, CM084274_1_4796079.1, CM084264_1_69298657.1, CM084274_1_4793173.1, CM084268_1_28845782.1, CM084267_1_50994187.1, CM084269_1_45438488.0, CM084271_1_1033937.0, CM084267_1_832159.1, CM084274_1_4773486.0, CM084264_1_64875158.0, CM084266_1_64164372.0, CM084269_1_15809963.0, CM084268_1_50679570.1, CM084276_1_1510348.0, CM084269_1_15813150.1, CM084265_1_69381619.1, CM084265_1_71826940.0, CM084270_1_32126728.0, CM084274_1_4694239.0, CM084271_1_44066688.1, CM084264_1_73604407.0, CM084268_1_3699708.1, CM084269_1_12905572.1, CM084276_1_11709760.1, CM084279_1_1079183.1, CM084275_1_672856.0, CM084267_1_699404.0, CM084266_1_70706238.0, CM084270_1_8242309.0, CM084273_1_31865817.1, CM084264_1_71721959.1, CM084264_1_73926160.0, CM084274_1_7310951.1, CM084268_1_2713890.0, CM084265_1_71796271.1, CM084264_1_70175562.0, CM084264_1_73291504.1, CM084267_1_51919009.0, CM084268_1_50219227.1, CM084271_1_44228071.0, CM084274_1_5120580.0, CM084266_1_71317540.0, CM084278_1_20736236.1, CM084273_1_31864741.1, CM084271_1_7136548.0, CM084276_1_38772810.0, CM084265_1_72368298.0, CM084271_1_44190489.0, CM084275_1_660866.0"
"5","adapter_trim.F3-J48-pH8.bam","adapter_trim.F2-B1-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.39","1","1","TRUE","CM084267_1_6421241.1, CM084264_1_70456944.0, CM084269_1_15812960.1, CM084266_1_70181836.0, CM084265_1_3130640.0, CM084279_1_31075821.0, CM084275_1_524597.1, CM084266_1_57886153.0, CM084269_1_46692099.1, CM084272_1_33453804.0, CM084265_1_959807.0, CM084269_1_1549190.0, CM084278_1_16774412.0, CM084271_1_3816215.0, CM084265_1_68808152.1, CM084268_1_50679553.0, CM084266_1_58087797.0, CM084276_1_771542.1, CM084264_1_74076720.1, CM084278_1_20734513.0, CM084270_1_42345710.0, CM084273_1_31862787.0, CM084264_1_70175564.0, CM084267_1_5165711.0, CM084277_1_29780894.0, CM084266_1_70706235.1, CM084272_1_1883699.1, CM084267_1_699277.0, CM084272_1_33607000.0, CM084265_1_64735174.1, CM084273_1_31866816.0, CM084270_1_4751880.0, CM084264_1_8233152.0, CM084269_1_1526871.0, CM084268_1_3691693.0, CM084268_1_1326643.0, CM084274_1_4867255.1, CM084268_1_3697521.0, CM084275_1_4345059.0, CM084270_1_15641795.1, CM084265_1_73060812.1, CM084271_1_43849282.1, CM084267_1_50994193.1, CM084275_1_1304748.1, CM084267_1_2081906.0, CM084269_1_15827890.0, CM084266_1_70707515.0, CM084264_1_73929737.0, CM084271_1_44104310.0, CM084275_1_19996650.1"
"6","adapter_trim.F3-J10-pH8.bam","adapter_trim.F2-B16-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.39","4","1","FALSE","CM084274_1_4863965.0, CM084267_1_52092638.0, CM084265_1_959807.0, CM084276_1_20156972.0, CM084265_1_68806425.1, CM084269_1_45310979.0, CM084266_1_71149029.1, CM084278_1_20679238.0, CM084264_1_69902276.1, CM084268_1_50739244.0, CM084272_1_9069881.1, CM084270_1_10495951.1, CM084275_1_35722058.1, CM084269_1_15827759.0, CM084265_1_71827765.1, CM084267_1_8118616.1, CM084265_1_69381524.0, CM084266_1_68919262.0, CM084266_1_69545761.0, CM084266_1_65401945.1, CM084270_1_46587624.0, CM084277_1_18545080.1, CM084276_1_1856066.0, CM084275_1_675783.1, CM084265_1_66141850.1, CM084264_1_75278291.0, CM084274_1_4708223.0, CM084270_1_9408158.0, CM084274_1_4694915.1, CM084266_1_71148891.1, CM084264_1_72054055.1, CM084265_1_70609247.1, CM084264_1_8112660.1, CM084269_1_15823421.1, CM084266_1_23321803.0, CM084264_1_8098050.1, CM084267_1_2309126.1, CM084277_1_1868699.0, CM084276_1_1500412.0, CM084266_1_59802398.1, CM084272_1_18574376.1, CM084274_1_42855653.0, CM084278_1_20734513.1, CM084271_1_43860497.0, CM084274_1_11619978.1, CM084271_1_44104716.1, CM084272_1_33616442.1, CM084265_1_46089269.0, CM084266_1_816291.0, CM084268_1_3699708.0"
"7","adapter_trim.F3-J4-pH8.bam","adapter_trim.F2-B10-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.32","2","1","FALSE","CM084276_1_38557410.0, CM084279_1_10156951.1, CM084264_1_64487824.0, CM084271_1_44066688.1, CM084269_1_15812960.0, CM084270_1_42348998.1, CM084267_1_700114.0, CM084268_1_3691693.1, CM084270_1_46588167.1, CM084272_1_33572878.1, CM084274_1_4715467.0, CM084275_1_2509962.1, CM084279_1_33759487.1, CM084274_1_4808183.0, CM084266_1_71319410.1, CM084274_1_4788623.1, CM084269_1_1558041.0, CM084277_1_29781980.1, CM084264_1_69287336.0, CM084264_1_72011613.1, CM084272_1_18194192.0, CM084278_1_20591128.1, CM084265_1_71853183.0, CM084269_1_43525399.1, CM084265_1_69004202.1, CM084279_1_32917232.0, CM084269_1_45438470.1, CM084274_1_4863936.1, CM084271_1_39685141.0, CM084275_1_35719388.0, CM084270_1_32126728.1, CM084270_1_19464672.1, CM084265_1_71899669.0, CM084275_1_327388.0, CM084265_1_19670958.1, CM084274_1_4863917.1, CM084265_1_54591404.1, CM084276_1_38072623.1, CM084269_1_1563962.0, CM084279_1_31409052.0, CM084279_1_28791311.1, CM084277_1_5804275.0, CM084269_1_45420345.0, CM084274_1_4694494.0, CM084264_1_26771521.0, CM084269_1_15812959.0, CM084275_1_1304711.1, CM084274_1_4694551.0, CM084275_1_29098876.0, CM084264_1_2738113.1"
"8","adapter_trim.F3-J18-pH8.bam","adapter_trim.F2-B23-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.7","2","1","FALSE","CM084274_1_34977123.1, CM084265_1_70975032.0, CM084279_1_32640625.0, CM084279_1_10149633.0, CM084276_1_38096618.0, CM084272_1_1704404.1, CM084264_1_65945.0, CM084271_1_3819548.1, CM084265_1_14403559.1, CM084269_1_15799394.0, CM084271_1_10301903.1, CM084264_1_73152528.0, CM084268_1_9292468.0, CM084278_1_5144637.1, CM084279_1_161386.1, CM084274_1_41688611.1, CM084264_1_66525951.0, CM084277_1_1856957.0, CM084270_1_10495406.0, CM084266_1_64725838.0, CM084266_1_70706238.1, CM084268_1_24031246.0, CM084274_1_5046195.0, CM084274_1_4694916.0, CM084266_1_58099055.1, CM084274_1_4730026.0, CM084265_1_72071409.0, CM084273_1_31865230.1, CM084268_1_3691704.0, CM084274_1_4694263.1, CM084279_1_32652220.1, CM084279_1_32915269.1, CM084276_1_37987468.0, CM084275_1_319819.1, CM084275_1_25396988.0, CM084273_1_31862642.1, CM084266_1_66377784.0, CM084268_1_22932621.0, CM084273_1_31862042.0, CM084265_1_64196870.0, CM084268_1_49719767.1, CM084266_1_23295925.1, CM084277_1_30623529.0, CM084265_1_65233046.0, CM084266_1_69051080.0, CM084267_1_699277.1, CM084267_1_4505260.0, CM084266_1_69545761.0, CM084264_1_70182851.0, CM084271_1_3819803.1"
"9","adapter_trim.F3-J37-pH8.bam","adapter_trim.F2-B8-pH8.bam","adapter_trim.F2-B11-pH8.bam","0.3","4","1","FALSE","CM084276_1_11709759.1, CM084275_1_25396988.0, CM084276_1_4238114.0, CM084270_1_12307506.1, CM084268_1_50224896.1, CM084268_1_1508049.0, CM084265_1_72898809.0, CM084269_1_40451682.0, CM084270_1_11478201.0, CM084268_1_2717677.1, CM084273_1_31863671.0, CM084267_1_30269806.1, CM084275_1_23095998.0, CM084276_1_1856932.1, CM084269_1_12905566.0, CM084275_1_38169337.1, CM084272_1_27414381.0, CM084271_1_10301903.1, CM084266_1_57882736.0, CM084269_1_1549190.0, CM084264_1_73180493.1, CM084269_1_15799390.1, CM084267_1_51248424.0, CM084274_1_4730203.1, CM084268_1_49735243.1, CM084278_1_16767353.1, CM084264_1_26771545.1, CM084268_1_275067.0, CM084268_1_2720940.1, CM084266_1_70940178.1, CM084271_1_19655912.0, CM084266_1_58087784.0, CM084265_1_68808152.1, CM084278_1_22645215.0, CM084269_1_35627061.0, CM084270_1_4751873.1, CM084279_1_1072351.0, CM084274_1_4868380.0, CM084265_1_69915221.0, CM084266_1_69623578.1, CM084265_1_66141850.0, CM084274_1_4709093.0, CM084276_1_1856932.0, CM084279_1_1064677.1, CM084265_1_73059931.1, CM084275_1_38995260.0, CM084276_1_38552579.0, CM084265_1_69004202.1, CM084268_1_3710137.1, CM084268_1_3261991.1"
"10","adapter_trim.F3-J32-pH8.bam","adapter_trim.F2-B13-pH8.bam","adapter_trim.F2-B12-pH8.bam","0.57","3","1","FALSE","CM084271_1_256611.1, CM084267_1_2652515.1, CM084279_1_31409578.0, CM084265_1_68072879.0, CM084265_1_64527991.1, CM084279_1_1064676.1, CM084264_1_66439628.0, CM084266_1_69141161.0, CM084273_1_32683023.1, CM084265_1_39553350.0, CM084276_1_38773530.1, CM084278_1_15228737.0, CM084265_1_69381455.0, CM084270_1_11478201.0, CM084278_1_20865574.0, CM084275_1_4345059.1, CM084268_1_50323846.0, CM084265_1_8362532.0, CM084271_1_3818665.1, CM084264_1_73931084.0, CM084274_1_4709671.1, CM084264_1_75338719.0, CM084269_1_40336207.1, CM084269_1_1549190.0, CM084274_1_4864682.1, CM084268_1_3710137.1, CM084264_1_70466179.1, CM084265_1_69913707.1, CM084271_1_10301903.0, CM084278_1_22665042.0, CM084274_1_4862014.1, CM084279_1_10156977.0, CM084271_1_43868125.1, CM084266_1_57884345.0, CM084270_1_47077479.0, CM084266_1_58111750.1, CM084277_1_30953057.1, CM084270_1_19464672.0, CM084273_1_42285577.1, CM084269_1_15823106.1, CM084274_1_3692385.1, CM084266_1_69056442.1, CM084269_1_39737155.0, CM084267_1_2910789.0, CM084278_1_20689080.1, CM084279_1_10147284.0, CM084274_1_4708748.1, CM084269_1_1549190.0, CM084276_1_1510348.1, CM084264_1_34300890.1"
