"","id","dam","sire","LLRpair","n.loci","loci"
"1","adapter_trim.F3-J12-pH8.bam","adapter_trim.F2-B5-pH8.bam","adapter_trim.F2-B16-pH8.bam",0.49,50,"CM084267_1_30270802.0, CM084274_1_4863996.0, CM084268_1_50224886.1, CM084271_1_44107457.0, CM084268_1_50219223.1, CM084269_1_1558041.1, CM084271_1_44190417.0, CM084267_1_52092638.1, CM084264_1_72912659.0, CM084274_1_4793160.0, CM084274_1_6125560.0, CM084274_1_4869977.1, CM084270_1_19461856.0, CM084279_1_10149633.1, CM084264_1_68634815.1, CM084276_1_38285696.0, CM084264_1_64875158.1, CM084267_1_2908966.1, CM084268_1_2832742.1, CM084264_1_73931025.1, CM084266_1_63468226.0, CM084270_1_42355495.0, CM084274_1_4773546.0, CM084270_1_9413173.1, CM084278_1_23541042.1, CM084270_1_10495406.0, CM084274_1_42293378.1, CM084273_1_32698894.0, CM084269_1_47255820.0, CM084278_1_22665046.1, CM084269_1_45423014.0, CM084265_1_72636291.1, CM084264_1_70466179.0, CM084270_1_4751856.0, CM084268_1_22932611.1, CM084273_1_32683005.0, CM084274_1_4769080.1, CM084268_1_276461.1, CM084274_1_6125560.1, CM084265_1_72368163.1, CM084270_1_46588177.0, CM084269_1_35627054.0, CM084266_1_70743740.1, CM084276_1_38772790.0, CM084271_1_44075863.0, CM084274_1_4795858.0, CM084272_1_1891465.0, CM084278_1_20861266.0, CM084264_1_74721232.1, CM084268_1_28845823.1"
"2","adapter_trim.F3-J50-pH8.bam","adapter_trim.F2-B12-pH8.bam","adapter_trim.F2-B8-pH8.bam",0.53,50,"CM084275_1_35722063.0, CM084275_1_39501427.1, CM084272_1_1596807.1, CM084265_1_71794141.0, CM084272_1_2928852.0, CM084279_1_32666410.1, CM084276_1_38558559.0, CM084275_1_400320.0, CM084267_1_52896140.0, CM084266_1_69141150.0, CM084264_1_69861978.1, CM084272_1_33515314.1, CM084277_1_29780641.1, CM084273_1_7839325.0, CM084268_1_42863.0, CM084265_1_64735440.1, CM084273_1_31862649.1, CM084275_1_312956.0, CM084271_1_3820373.1, CM084267_1_8687374.1, CM084273_1_31862476.0, CM084266_1_23295280.0, CM084266_1_70706263.1, CM084271_1_218843.0, CM084267_1_51033717.1, CM084267_1_832159.0, CM084264_1_70174668.1, CM084266_1_68519869.1, CM084265_1_71796317.0, CM084267_1_50993981.1, CM084265_1_69381619.0, CM084268_1_3704001.0, CM084272_1_33452076.1, CM084275_1_327911.1, CM084268_1_22932611.0, CM084277_1_17835716.1, CM084279_1_33014997.0, CM084277_1_29781979.0, CM084273_1_31862854.1, CM084267_1_699277.1, CM084269_1_43525214.0, CM084270_1_46588167.1, CM084279_1_32641182.1, CM084270_1_4921029.1, CM084264_1_69870956.1, CM084269_1_43524691.1, CM084272_1_33453891.0, CM084271_1_44070260.1, CM084267_1_50994193.1, CM084274_1_4862958.0"
"3","adapter_trim.F3-J42-pH8.bam","adapter_trim.F2-B23-pH8.bam","adapter_trim.F2-B12-pH8.bam",1.47,50,"CM084275_1_39781005.1, CM084266_1_71149029.0, CM084272_1_36474160.1, CM084264_1_73349423.0, CM084264_1_70174663.1, CM084274_1_4869924.0, CM084264_1_66439654.1, CM084266_1_58086157.0, CM084264_1_72117194.1, CM084270_1_8444546.0, CM084267_1_2908957.1, CM084265_1_68869491.0, CM084265_1_68869496.1, CM084274_1_4708043.0, CM084271_1_7137729.1, CM084277_1_29208392.1, CM084276_1_38775909.1, CM084269_1_45438499.0, CM084276_1_38558640.1, CM084264_1_34294472.0, CM084272_1_33452056.0, CM084268_1_28845446.0, CM084264_1_61167194.1, CM084269_1_1558052.0, CM084270_1_46588177.0, CM084265_1_68808156.1, CM084275_1_1303251.1, CM084269_1_41809353.0, CM084279_1_1073128.1, CM084272_1_18192676.1, CM084279_1_32666409.1, CM084267_1_1134424.0, CM084275_1_35720341.1, CM084275_1_327930.0, CM084269_1_40451676.0, CM084271_1_37240198.1, CM084272_1_18188700.0, CM084275_1_327388.1, CM084271_1_43849883.1, CM084267_1_2653040.1, CM084271_1_44077330.0, CM084268_1_298790.0, CM084269_1_43524375.0, CM084275_1_39394528.0, CM084278_1_23547493.0, CM084270_1_32126728.0, CM084265_1_1062091.0, CM084268_1_22040364.0, CM084266_1_66377772.1, CM084274_1_4727151.0"
"4","adapter_trim.F3-J17-pH8.bam","adapter_trim.F2-B13-pH8.bam","adapter_trim.F2-B8-pH8.bam",0.41,50,"CM084275_1_327936.1, CM084275_1_524597.1, CM084274_1_4795903.1, CM084270_1_42348997.1, CM084272_1_18574380.0, CM084270_1_4751873.0, CM084274_1_4795049.1, CM084268_1_28845336.1, CM084273_1_31865846.0, CM084268_1_47694452.0, CM084271_1_39685141.0, CM084276_1_38552504.0, CM084265_1_71800566.0, CM084267_1_832141.1, CM084264_1_70355057.1, CM084269_1_15809957.1, CM084266_1_69806306.0, CM084264_1_69863993.1, CM084277_1_4875899.0, CM084275_1_35720350.0, CM084270_1_26890196.1, CM084265_1_68074267.0, CM084278_1_277798.0, CM084268_1_50225502.0, CM084267_1_13261420.0, CM084271_1_44083010.1, CM084266_1_67097921.1, CM084279_1_32666409.0, CM084274_1_4686932.1, CM084268_1_298790.0, CM084269_1_41809353.0, CM084269_1_15823106.1, CM084276_1_4238114.0, CM084272_1_1891434.1, CM084269_1_40337595.1, CM084269_1_15798363.1, CM084272_1_25266666.0, CM084271_1_44134413.1, CM084265_1_70974986.0, CM084267_1_6420853.0, CM084269_1_43525341.1, CM084277_1_29782026.0, CM084273_1_268153.1, CM084272_1_18193991.1, CM084268_1_46382.0, CM084275_1_39491725.0, CM084269_1_12903174.1, CM084267_1_700114.1, CM084265_1_69913596.0, CM084265_1_39553345.0"
"5","adapter_trim.F3-J11-pH8.bam","adapter_trim.F2-B13-pH8.bam","adapter_trim.F2-B16-pH8.bam",1.03,50,"CM084276_1_2855799.1, CM084269_1_4635090.0, CM084267_1_1134424.0, CM084274_1_4798805.0, CM084264_1_72117199.1, CM084264_1_74266371.1, CM084270_1_46588177.1, CM084264_1_5215232.1, CM084277_1_5803906.1, CM084265_1_60215543.1, CM084265_1_70589360.0, CM084265_1_72898809.1, CM084265_1_70609248.0, CM084264_1_73604722.0, CM084274_1_4694916.1, CM084271_1_44075852.1, CM084264_1_69903182.1, CM084272_1_33452045.1, CM084264_1_69757037.0, CM084265_1_71925202.0, CM084277_1_6198970.0, CM084264_1_34294397.0, CM084264_1_26777912.0, CM084271_1_218855.0, CM084267_1_13226543.1, CM084271_1_44075853.0, CM084269_1_1567848.1, CM084264_1_26773690.1, CM084269_1_1556175.0, CM084272_1_41037487.1, CM084264_1_69298657.0, CM084271_1_43868181.0, CM084279_1_1063031.0, CM084269_1_1567848.1, CM084267_1_3748455.1, CM084276_1_38559646.0, CM084268_1_50216526.1, CM084275_1_29098652.0, CM084271_1_3822736.0, CM084274_1_4726242.1, CM084264_1_69863993.1, CM084274_1_4708223.1, CM084269_1_1567498.0, CM084275_1_39502406.0, CM084267_1_2163720.0, CM084267_1_591197.1, CM084268_1_24031408.0, CM084279_1_10147216.1, CM084264_1_12084160.0, CM084271_1_19655878.0"
"6","adapter_trim.F3-J25-pH8.bam","adapter_trim.F2-B8-pH8.bam","adapter_trim.F2-B11-pH8.bam",1.46,50,"CM084277_1_10628755.1, CM084272_1_7002402.0, CM084271_1_23942504.1, CM084275_1_39780958.1, CM084274_1_4726638.1, CM084267_1_13229666.1, CM084274_1_4868380.0, CM084265_1_19670958.1, CM084266_1_68919215.1, CM084264_1_70174613.0, CM084268_1_18512798.0, CM084265_1_69924624.1, CM084274_1_42859658.1, CM084266_1_68319474.1, CM084265_1_66141834.1, CM084278_1_20689098.0, CM084276_1_38787722.1, CM084267_1_2309126.0, CM084277_1_30953078.1, CM084271_1_3814120.0, CM084272_1_36474231.0, CM084268_1_28845509.1, CM084278_1_20734518.1, CM084276_1_38773493.1, CM084264_1_68688963.1, CM084268_1_24031433.1, CM084265_1_64832883.0, CM084266_1_71317540.0, CM084264_1_74266355.1, CM084269_1_15823100.1, CM084274_1_7449618.0, CM084267_1_52896264.0, CM084265_1_71926735.1, CM084267_1_4505260.1, CM084279_1_32666409.1, CM084268_1_4036222.0, CM084274_1_4870391.1, CM084271_1_44077319.0, CM084266_1_68322173.1, CM084267_1_699428.0, CM084265_1_68072879.1, CM084264_1_73311149.1, CM084279_1_1064680.1, CM084267_1_832141.0, CM084264_1_34294033.1, CM084274_1_4863936.1, CM084264_1_72117194.1, CM084264_1_68688357.1, CM084278_1_20736228.0, CM084272_1_1311984.1"
"7","adapter_trim.F3-J20-pH8.bam","adapter_trim.F2-B13-pH8.bam","adapter_trim.F2-B11-pH8.bam",0.55,50,"CM084264_1_69271981.0, CM084271_1_44104315.0, CM084269_1_1549393.1, CM084269_1_15813150.1, CM084265_1_72074244.1, CM084274_1_34977105.0, CM084271_1_19655927.1, CM084265_1_72636285.0, CM084276_1_38096618.1, CM084267_1_11257244.1, CM084276_1_38773527.0, CM084266_1_70930072.1, CM084272_1_18574376.0, CM084272_1_33453681.0, CM084268_1_42211.1, CM084274_1_5046195.1, CM084276_1_4125650.1, CM084271_1_44134607.0, CM084274_1_4720394.1, CM084276_1_56673.1, CM084272_1_33571767.0, CM084266_1_57883097.0, CM084266_1_69315495.1, CM084271_1_276716.1, CM084264_1_72117233.1, CM084278_1_5144630.0, CM084266_1_57882817.1, CM084274_1_4694202.0, CM084266_1_70396245.0, CM084274_1_4863903.1, CM084274_1_4788669.0, CM084271_1_37244938.1, CM084278_1_23540735.1, CM084274_1_11694910.1, CM084274_1_42855649.1, CM084276_1_12392692.1, CM084266_1_57884309.1, CM084271_1_30532519.1, CM084264_1_72011634.0, CM084265_1_68808156.0, CM084271_1_19656061.1, CM084276_1_38287449.1, CM084273_1_21179270.1, CM084266_1_23295280.1, CM084276_1_38096618.0, CM084278_1_22667323.1, CM084269_1_46733053.1, CM084272_1_1596710.0, CM084278_1_8558506.0, CM084271_1_379038.1"
"8","adapter_trim.F3-J49-pH8.bam","adapter_trim.F2-B12-pH8.bam","adapter_trim.F2-B16-pH8.bam",0.5,50,"CM084276_1_4238124.1, CM084269_1_41809353.0, CM084279_1_1072342.1, CM084274_1_4723647.0, CM084279_1_32666436.0, CM084276_1_12385340.1, CM084264_1_68689030.1, CM084271_1_256611.1, CM084275_1_42592938.1, CM084268_1_49719639.1, CM084267_1_5168533.0, CM084275_1_1303251.1, CM084265_1_64528148.1, CM084271_1_218843.0, CM084265_1_54591384.0, CM084266_1_68659872.1, CM084277_1_30027552.0, CM084269_1_15809964.1, CM084275_1_1304747.0, CM084265_1_60316158.1, CM084266_1_57888582.0, CM084267_1_5161036.1, CM084275_1_667604.0, CM084277_1_18546601.1, CM084267_1_4505277.0, CM084266_1_23295283.0, CM084269_1_36339693.1, CM084264_1_69903182.0, CM084266_1_58086157.1, CM084267_1_5952857.0, CM084271_1_7137856.0, CM084277_1_30611563.1, CM084269_1_43525146.1, CM084271_1_1033788.1, CM084271_1_10303572.1, CM084266_1_57888961.0, CM084279_1_1073381.1, CM084271_1_337322.0, CM084266_1_69793914.0, CM084264_1_2740173.1, CM084266_1_66377772.1, CM084269_1_12905587.1, CM084266_1_69085555.1, CM084269_1_40338566.0, CM084275_1_39774847.0, CM084264_1_8112660.1, CM084279_1_1064862.0, CM084272_1_18194129.0, CM084267_1_6421475.1, CM084267_1_2081906.0"
