"","id","dam","sire","LLRpair","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F2-J223-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.61","3","2, 4","FALSE","CM084266_1_66483893.0, CM084264_1_74266357.1, CM084275_1_312842.1, CM084276_1_1856066.1, CM084276_1_1852880.0, CM084265_1_66689301.1, CM084266_1_71149027.0, CM084266_1_68319474.1, CM084269_1_39737155.0, CM084266_1_69051092.0, CM084271_1_19934424.0, CM084273_1_31863792.1, CM084264_1_70471433.1, CM084265_1_68525973.0, CM084264_1_70185106.1, CM084271_1_44070252.0, CM084279_1_32662843.1, CM084268_1_938570.0, CM084264_1_74800241.1, CM084268_1_49721842.0, CM084267_1_13261500.1, CM084271_1_760000.0, CM084268_1_50681546.1, CM084278_1_30230906.1, CM084265_1_68806466.1, CM084276_1_38552515.1, CM084275_1_267983.1, CM084267_1_2910818.1, CM084268_1_50682932.1, CM084276_1_2874135.1, CM084274_1_4715467.1, CM084278_1_20591181.1, CM084269_1_1538788.0, CM084268_1_2717677.0, CM084271_1_43849282.1, CM084276_1_25975836.1, CM084266_1_70707515.0, CM084264_1_70210134.1, CM084276_1_1856094.1, CM084264_1_71189810.1, CM084279_1_1070294.1, CM084275_1_35717364.1, CM084274_1_21933150.1, CM084269_1_1563979.0, CM084271_1_3822772.1, CM084276_1_25809481.0, CM084265_1_71826940.1, CM084265_1_68868202.1, CM084276_1_25975836.0, CM084271_1_44190417.1"
"2","adapter_trim.F2-B25-pH7.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.18","2, 4","2, 4","TRUE","CM084268_1_276460.0, CM084276_1_1852865.1, CM084268_1_22040364.0, CM084272_1_33623932.0, CM084274_1_3692509.1, CM084279_1_1070294.1, CM084278_1_20732798.1, CM084270_1_9408158.0, CM084271_1_19655871.0, CM084268_1_42008.1, CM084270_1_47077465.1, CM084273_1_31865409.0, CM084269_1_15809963.1, CM084271_1_30532438.0, CM084271_1_44107457.1, CM084276_1_38970482.0, CM084271_1_19655927.0, CM084268_1_2713890.1, CM084264_1_6956767.1, CM084274_1_4867333.0, CM084268_1_24031315.0, CM084265_1_59221155.1, CM084265_1_71899669.1, CM084277_1_4876009.1, CM084264_1_73604407.1, CM084267_1_6418351.1, CM084265_1_72368258.0, CM084266_1_57888961.0, CM084271_1_37244915.1, CM084269_1_45238247.1, CM084267_1_51000174.1, CM084278_1_20742383.0, CM084265_1_71794141.0, CM084271_1_23942504.0, CM084264_1_73604722.0, CM084275_1_40706385.1, CM084264_1_68634815.0, CM084264_1_72075479.1, CM084266_1_64723799.1, CM084264_1_66439654.1, CM084265_1_71827738.1, CM084279_1_32915293.1, CM084279_1_32917232.0, CM084277_1_4875899.0, CM084271_1_19655226.0, CM084277_1_36519491.1, CM084271_1_257149.1, CM084264_1_69748575.1, CM084273_1_268148.1, CM084266_1_71166448.1"
"3","adapter_trim.F2-B2-pH7.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.22","1, 4","2, 4","TRUE","CM084265_1_69230172.0, CM084265_1_71899687.1, CM084276_1_4125650.1, CM084266_1_58087784.1, CM084266_1_69051092.1, CM084265_1_14403401.1, CM084276_1_4238124.0, CM084265_1_46089462.0, CM084276_1_20157075.0, CM084274_1_3691747.1, CM084269_1_15809964.1, CM084265_1_69924624.1, CM084265_1_59221229.0, CM084265_1_50947034.0, CM084274_1_4708735.0, CM084269_1_45310961.1, CM084265_1_73060663.1, CM084264_1_26771545.0, CM084276_1_1500414.1, CM084277_1_18535852.1, CM084265_1_70609247.1, CM084275_1_39781005.1, CM084271_1_44190420.1, CM084269_1_47255823.1, CM084271_1_44075859.1, CM084269_1_1558064.0, CM084264_1_66561935.0, CM084264_1_70171655.0, CM084273_1_31862314.1, CM084264_1_74191573.1, CM084273_1_32683023.0, CM084269_1_4626408.1, CM084269_1_4636406.0, CM084272_1_18188792.0, CM084265_1_60316158.0, CM084265_1_50947034.1, CM084278_1_4074299.0, CM084264_1_69870956.0, CM084274_1_4863726.1, CM084266_1_66377772.0, CM084277_1_1868381.1, CM084275_1_35717367.1, CM084265_1_66141834.0, CM084275_1_319193.0, CM084267_1_5881718.0, CM084264_1_34301201.1, CM084279_1_1060874.1, CM084272_1_18553651.0, CM084274_1_4788669.0, CM084274_1_4870391.1"
"4","adapter_trim.F2-J224-pH7.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.3","1, 4","2","FALSE","CM084266_1_23321803.1, CM084272_1_1883699.1, CM084275_1_667604.1, CM084264_1_73311139.1, CM084264_1_74191573.1, CM084271_1_37240204.0, CM084264_1_69870962.1, CM084278_1_23540735.0, CM084275_1_35719388.0, CM084276_1_38558585.1, CM084278_1_20591212.1, CM084267_1_50392657.0, CM084273_1_9136147.0, CM084276_1_20157320.1, CM084272_1_43469474.0, CM084266_1_23295918.1, CM084277_1_29782028.1, CM084269_1_46689548.0, CM084275_1_39776496.1, CM084264_1_34294472.0, CM084265_1_39553345.1, CM084279_1_28791311.0, CM084268_1_3704020.1, CM084276_1_56048.1, CM084264_1_70182852.0, CM084264_1_66561935.0, CM084265_1_794843.1, CM084268_1_50679469.0, CM084268_1_3697725.0, CM084269_1_42862797.1, CM084265_1_71827811.1, CM084271_1_44134607.1, CM084267_1_832157.1, CM084264_1_61227529.1, CM084266_1_57888563.0, CM084267_1_51248426.1, CM084276_1_20157320.1, CM084265_1_24901907.0, CM084264_1_66439654.0, CM084271_1_218855.0, CM084274_1_4796871.1, CM084277_1_30168102.0, CM084264_1_61167131.1, CM084270_1_9411945.1, CM084265_1_72071366.0, CM084276_1_31737936.1, CM084276_1_1625258.0, CM084266_1_58087775.0, CM084266_1_66383694.0, CM084273_1_31862787.0"
"5","adapter_trim.F2-J202-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.18","3","2","FALSE","CM084264_1_73349423.1, CM084279_1_20158977.0, CM084265_1_72368204.1, CM084264_1_73926177.0, CM084268_1_37774069.1, CM084274_1_4795112.0, CM084269_1_45238247.0, CM084267_1_5881762.1, CM084269_1_1577748.0, CM084268_1_28845855.0, CM084264_1_66439654.0, CM084272_1_33571757.1, CM084267_1_2426163.0, CM084272_1_33606995.0, CM084264_1_73604407.1, CM084265_1_71794444.0, CM084265_1_54591404.1, CM084274_1_34977132.1, CM084267_1_2646656.0, CM084267_1_2910813.0, CM084265_1_1816585.1, CM084268_1_49721854.0, CM084265_1_72368245.0, CM084270_1_9408154.1, CM084268_1_50224886.1, CM084279_1_1196450.0, CM084277_1_17835716.1, CM084274_1_34977131.1, CM084265_1_60316158.0, CM084266_1_66832562.0, CM084264_1_64269859.0, CM084278_1_8558506.1, CM084269_1_45420345.1, CM084264_1_69865995.1, CM084276_1_4238176.0, CM084272_1_43469486.1, CM084269_1_15798267.0, CM084273_1_42287238.1, CM084268_1_50202371.1, CM084270_1_47103324.0, CM084279_1_32666410.0, CM084275_1_35722058.1, CM084268_1_24030404.1, CM084267_1_6420851.1, CM084274_1_5028297.0, CM084277_1_35287266.1, CM084271_1_44090307.0, CM084268_1_49721957.1, CM084264_1_8112674.0, CM084269_1_42862695.1"
"6","adapter_trim.F2-B18-pH7.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.52","1, 4","4","TRUE","CM084273_1_32683016.0, CM084274_1_5028288.0, CM084275_1_23083657.1, CM084279_1_28791311.1, CM084274_1_4793177.0, CM084278_1_20679238.1, CM084266_1_59802321.1, CM084274_1_4694522.1, CM084274_1_4798803.1, CM084278_1_23536960.0, CM084275_1_39394589.1, CM084266_1_57888961.0, CM084274_1_4773492.0, CM084265_1_65232929.1, CM084270_1_26890196.1, CM084264_1_26773675.0, CM084270_1_47077463.0, CM084269_1_46692137.0, CM084268_1_3697725.0, CM084276_1_12392692.0, CM084264_1_72075476.0, CM084271_1_3823416.0, CM084271_1_30532481.1, CM084276_1_37353183.1, CM084271_1_3821109.1, CM084278_1_279479.0, CM084269_1_15799403.0, CM084277_1_10628755.1, CM084266_1_57884809.0, CM084279_1_32666409.0, CM084264_1_61227529.0, CM084273_1_31862397.1, CM084279_1_32665186.1, CM084275_1_2509498.1, CM084269_1_45280054.1, CM084267_1_2910789.0, CM084268_1_50225351.1, CM084269_1_42862798.0, CM084278_1_15228688.1, CM084269_1_46733053.1, CM084265_1_72368245.1, CM084265_1_1229890.0, CM084269_1_4626408.0, CM084274_1_4708745.0, CM084268_1_28855779.1, CM084267_1_2910818.0, CM084272_1_1584317.0, CM084271_1_43860497.0, CM084266_1_59802412.0, CM084278_1_281246.0"
"7","adapter_trim.F2-J187-pH7.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.52","2, 4","4","TRUE","CM084266_1_71160169.0, CM084266_1_66377772.1, CM084269_1_15798357.1, CM084274_1_11694583.0, CM084277_1_5804551.1, CM084267_1_2908962.1, CM084271_1_1054026.0, CM084265_1_65204740.0, CM084270_1_46590816.1, CM084278_1_20734518.0, CM084266_1_69793914.1, CM084268_1_42089.1, CM084271_1_44190489.1, CM084269_1_43528550.0, CM084279_1_32652113.0, CM084272_1_43469486.1, CM084279_1_161458.1, CM084265_1_71853183.0, CM084269_1_15809957.0, CM084266_1_71317540.1, CM084268_1_50681646.1, CM084279_1_1070761.0, CM084275_1_1304704.0, CM084276_1_4238114.1, CM084275_1_1218645.0, CM084264_1_70174663.0, CM084269_1_35627080.1, CM084274_1_4795058.0, CM084265_1_65233017.0, CM084266_1_65298589.1, CM084266_1_46766309.0, CM084265_1_72078910.1, CM084264_1_26771545.1, CM084266_1_69085566.0, CM084276_1_1500414.1, CM084265_1_71899241.0, CM084271_1_1034852.0, CM084275_1_319193.0, CM084270_1_32126731.0, CM084265_1_70799357.1, CM084269_1_43525341.1, CM084269_1_4626408.0, CM084276_1_59031.1, CM084264_1_34294033.1, CM084274_1_4066885.1, CM084269_1_1567133.1, CM084264_1_74800272.1, CM084273_1_42252907.0, CM084279_1_32652116.0, CM084270_1_8444572.0"
"8","adapter_trim.F2-B4-pH7.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.27","1","4","FALSE","CM084270_1_11478201.1, CM084274_1_41835817.0, CM084272_1_33452056.0, CM084268_1_3703420.1, CM084269_1_15823423.0, CM084278_1_22667324.1, CM084277_1_31296163.0, CM084273_1_21179215.1, CM084270_1_4751817.0, CM084276_1_38117244.1, CM084266_1_69314168.1, CM084269_1_12905572.1, CM084268_1_50219227.0, CM084269_1_15799390.0, CM084268_1_3704020.0, CM084267_1_6420945.1, CM084277_1_29780641.1, CM084265_1_73059931.0, CM084265_1_68525973.0, CM084270_1_4920968.1, CM084269_1_35627230.1, CM084265_1_72071376.1, CM084276_1_37353183.1, CM084271_1_37240204.1, CM084274_1_4686943.0, CM084266_1_69095441.1, CM084279_1_10147315.1, CM084266_1_66483880.0, CM084265_1_61648709.1, CM084275_1_1304702.0, CM084276_1_4855640.1, CM084264_1_26777914.1, CM084272_1_2073150.1, CM084264_1_73309412.1, CM084271_1_1033937.0, CM084266_1_65571765.0, CM084268_1_42089.0, CM084271_1_43849246.1, CM084265_1_70975032.1, CM084267_1_2653035.0, CM084278_1_22656620.0, CM084278_1_23541775.1, CM084268_1_50792945.1, CM084264_1_2737868.1, CM084267_1_48167433.0, CM084275_1_23095265.0, CM084274_1_4870197.0, CM084264_1_66525874.0, CM084265_1_68714893.1, CM084276_1_56048.1"
"9","adapter_trim.F2-J189-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.22","3","4","FALSE","CM084276_1_38787723.0, CM084276_1_38960936.1, CM084277_1_5804551.1, CM084270_1_42355534.0, CM084266_1_808035.1, CM084265_1_65268038.1, CM084278_1_31960704.1, CM084278_1_23554760.1, CM084271_1_37237148.1, CM084275_1_400320.1, CM084266_1_64726670.1, CM084265_1_2047919.0, CM084264_1_72054047.1, CM084278_1_20701467.1, CM084271_1_11500090.0, CM084269_1_43525341.1, CM084264_1_61167140.1, CM084264_1_2738116.0, CM084277_1_29208392.1, CM084267_1_30269806.0, CM084270_1_46587607.0, CM084267_1_2908860.1, CM084268_1_3691150.1, CM084271_1_340894.0, CM084275_1_35722051.0, CM084269_1_4628748.0, CM084271_1_3821109.1, CM084265_1_71926735.1, CM084278_1_15228688.0, CM084276_1_38943253.1, CM084264_1_72075479.1, CM084269_1_47716263.1, CM084274_1_12659113.0, CM084271_1_7136527.0, CM084270_1_10495406.0, CM084264_1_64487824.0, CM084264_1_66439662.0, CM084266_1_68519988.0, CM084276_1_38772805.1, CM084266_1_816291.1, CM084268_1_50681546.0, CM084271_1_44070252.0, CM084277_1_10417489.0, CM084276_1_7202997.1, CM084276_1_2855158.0, CM084276_1_1625292.0, CM084276_1_4238176.1, CM084265_1_71463753.0, CM084268_1_50321855.0, CM084264_1_70182852.0"
"10","adapter_trim.F2-J184-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B3-pH8.bam","0.28","3","3","TRUE","CM084269_1_43525440.0, CM084271_1_44105575.0, CM084278_1_20735956.1, CM084278_1_20736228.1, CM084265_1_71265269.0, CM084264_1_26773649.1, CM084278_1_20695466.1, CM084266_1_69056442.0, CM084269_1_40336207.0, CM084279_1_929045.0, CM084269_1_15823100.1, CM084268_1_24031433.1, CM084277_1_10628711.0, CM084273_1_37927756.0, CM084271_1_44090328.1, CM084278_1_23541042.0, CM084279_1_1063031.1, CM084274_1_42859635.0, CM084274_1_4066885.0, CM084266_1_66377772.0, CM084271_1_12812951.0, CM084269_1_1549405.1, CM084264_1_34301190.0, CM084264_1_68685021.0, CM084278_1_22667320.1, CM084272_1_33597669.1, CM084269_1_43524691.1, CM084268_1_28845509.1, CM084264_1_48147317.0, CM084277_1_31027250.0, CM084269_1_15818485.0, CM084279_1_30773321.1, CM084267_1_5168533.0, CM084264_1_6956700.1, CM084264_1_69539449.1, CM084273_1_42285391.1, CM084266_1_23296704.0, CM084264_1_70181718.0, CM084264_1_70175545.0, CM084271_1_43851333.1, CM084270_1_10496921.0, CM084271_1_337322.1, CM084276_1_2841292.0, CM084274_1_11619978.1, CM084271_1_218855.1, CM084266_1_68910397.0, CM084272_1_1311984.0, CM084269_1_43528607.0, CM084275_1_400320.0, CM084274_1_7310951.1"
