"","id","dam","sire","LLRpair","n.loci","loci"
"1","adapter_trim.F2-J162-pH7.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B11-pH8.bam",0.8,50,"CM084270_1_47076329.0, CM084279_1_31409239.0, CM084264_1_73180493.0, CM084278_1_22667362.1, CM084268_1_45604.1, CM084271_1_340905.1, CM084277_1_31027250.1, CM084277_1_18546604.1, CM084273_1_31863671.1, CM084275_1_23083657.0, CM084277_1_30643652.1, CM084266_1_69085566.0, CM084265_1_64528148.1, CM084275_1_2509950.1, CM084271_1_43860456.0, CM084265_1_72071376.0, CM084279_1_10151202.0, CM084276_1_25809361.0, CM084267_1_13229666.1, CM084268_1_273292.0, CM084264_1_72054052.0, CM084271_1_3814148.1, CM084265_1_68714893.0, CM084266_1_58086170.1, CM084278_1_23541042.1, CM084269_1_1555094.0, CM084267_1_5881751.0, CM084266_1_68322200.1, CM084278_1_20630020.1, CM084277_1_30626985.1, CM084269_1_43524558.0, CM084275_1_272975.1, CM084264_1_70174613.1, CM084264_1_64269859.0, CM084269_1_41809356.0, CM084277_1_5803909.1, CM084276_1_2855915.1, CM084274_1_42859658.1, CM084275_1_2509962.0, CM084276_1_1856902.0, CM084270_1_47076332.0, CM084271_1_3814120.0, CM084271_1_3823416.0, CM084269_1_45310979.1, CM084268_1_42089.0, CM084276_1_38558604.0, CM084274_1_4864445.1, CM084276_1_20157194.0, CM084266_1_57882780.0, CM084265_1_68807634.0"
"2","adapter_trim.F2-J166-pH7.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.51,50,"CM084264_1_70190068.0, CM084267_1_2163730.1, CM084270_1_9413290.1, CM084265_1_69915221.1, CM084267_1_51033717.1, CM084265_1_68868203.1, CM084266_1_50301553.0, CM084272_1_44059306.0, CM084266_1_50301523.0, CM084265_1_68798225.0, CM084277_1_30168106.0, CM084277_1_30953033.0, CM084272_1_43469575.0, CM084275_1_1304702.0, CM084270_1_42348998.1, CM084276_1_37353202.1, CM084276_1_38558640.1, CM084276_1_1625292.1, CM084277_1_29780116.1, CM084267_1_50392661.1, CM084271_1_3821130.1, CM084264_1_5215232.1, CM084278_1_20732803.1, CM084264_1_69870956.0, CM084265_1_794917.0, CM084272_1_18192676.1, CM084267_1_6421241.0, CM084271_1_44077341.1, CM084264_1_70174663.0, CM084271_1_379032.1, CM084266_1_25399242.1, CM084264_1_71718001.0, CM084264_1_69863993.1, CM084271_1_7136548.1, CM084274_1_4792092.0, CM084273_1_32683005.1, CM084279_1_1064861.1, CM084266_1_66418368.1, CM084268_1_9292527.0, CM084274_1_4863343.0, CM084271_1_44086137.0, CM084268_1_50225470.0, CM084279_1_1064861.1, CM084277_1_30168073.1, CM084265_1_68019714.0, CM084270_1_4751853.1, CM084276_1_38558690.0, CM084272_1_18194019.0, CM084266_1_57883008.0, CM084264_1_74721251.1"
"3","adapter_trim.F2-B16-pH7.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.7,50,"CM084269_1_43525116.0, CM084264_1_73926160.1, CM084277_1_10628715.1, CM084265_1_68798225.1, CM084273_1_268148.0, CM084275_1_25395462.1, CM084273_1_32698906.1, CM084274_1_4869825.0, CM084267_1_832141.1, CM084268_1_46448.0, CM084277_1_30626985.1, CM084266_1_57884345.0, CM084275_1_66842.0, CM084266_1_58087776.1, CM084264_1_73152528.0, CM084276_1_38072623.0, CM084265_1_60313980.0, CM084274_1_4863301.0, CM084274_1_4867255.1, CM084268_1_50693763.1, CM084266_1_68643398.0, CM084270_1_39395913.0, CM084265_1_790976.0, CM084276_1_38773525.1, CM084273_1_31862397.0, CM084267_1_2908982.0, CM084275_1_35722060.0, CM084273_1_42253181.0, CM084272_1_33453892.0, CM084271_1_3819398.0, CM084266_1_57882606.1, CM084276_1_25809541.1, CM084264_1_75338719.1, CM084264_1_8098050.1, CM084274_1_4727151.0, CM084276_1_2841296.1, CM084279_1_1196450.1, CM084272_1_1311984.1, CM084264_1_64487845.0, CM084271_1_344491.1, CM084271_1_43868149.1, CM084273_1_37927756.1, CM084271_1_257149.0, CM084266_1_69545761.0, CM084274_1_42294261.0, CM084274_1_4695002.0, CM084269_1_15806965.1, CM084279_1_1073112.0, CM084264_1_74191573.1, CM084270_1_42349010.0"
"4","adapter_trim.F2-B8-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B11-pH8.bam",0.76,50,"CM084265_1_59221229.0, CM084276_1_1856653.1, CM084264_1_2740171.0, CM084264_1_70188206.1, CM084275_1_39500153.1, CM084267_1_6420929.1, CM084267_1_50993881.0, CM084274_1_4795112.0, CM084264_1_73300783.1, CM084278_1_23555170.1, CM084274_1_21933138.1, CM084269_1_4628634.1, CM084271_1_37237149.0, CM084276_1_20157075.1, CM084264_1_69865995.1, CM084265_1_68806414.1, CM084265_1_794840.1, CM084277_1_18535877.1, CM084277_1_36521569.0, CM084268_1_50224886.1, CM084276_1_25809481.1, CM084276_1_25809512.0, CM084274_1_4694967.1, CM084274_1_4788646.0, CM084278_1_20735956.0, CM084275_1_23096151.0, CM084273_1_7839325.1, CM084266_1_65401967.1, CM084265_1_58487819.1, CM084269_1_4636883.0, CM084271_1_379011.0, CM084271_1_44086160.0, CM084267_1_50993981.0, CM084279_1_32666410.1, CM084264_1_26773648.1, CM084274_1_4862014.1, CM084279_1_32640622.0, CM084275_1_39501427.1, CM084264_1_12084114.0, CM084269_1_15827890.1, CM084277_1_36522229.1, CM084278_1_20734513.0, CM084268_1_28845855.0, CM084276_1_38943253.1, CM084268_1_45628.0, CM084276_1_1856078.0, CM084269_1_4635085.0, CM084264_1_66077502.1, CM084278_1_20736236.1, CM084276_1_38285682.1"
"5","adapter_trim.F2-J164-pH7.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B10-pH8.bam",0.87,50,"CM084275_1_19996863.1, CM084265_1_790962.0, CM084277_1_18546601.0, CM084279_1_32644179.1, CM084274_1_21933035.0, CM084265_1_1062161.1, CM084268_1_9292468.0, CM084276_1_38539465.1, CM084268_1_82411.0, CM084268_1_49719639.1, CM084264_1_2740285.1, CM084276_1_38772810.1, CM084271_1_44107457.1, CM084269_1_12905572.1, CM084268_1_298786.1, CM084265_1_65233017.0, CM084264_1_72075479.0, CM084269_1_1558064.0, CM084273_1_42287254.0, CM084264_1_61167161.0, CM084264_1_73300783.0, CM084271_1_26324154.1, CM084277_1_18535878.0, CM084266_1_65993526.0, CM084273_1_10424357.0, CM084275_1_1303251.0, CM084275_1_39780958.1, CM084265_1_69913596.0, CM084269_1_35627205.0, CM084275_1_39776469.0, CM084266_1_69723117.1, CM084278_1_5144637.0, CM084274_1_4704387.1, CM084265_1_70595162.0, CM084265_1_59221275.1, CM084279_1_1064680.0, CM084270_1_4751817.1, CM084269_1_43524104.1, CM084274_1_3692513.1, CM084274_1_4694558.0, CM084269_1_15817354.1, CM084274_1_4864709.1, CM084266_1_71160177.1, CM084276_1_1856932.0, CM084278_1_16774023.0, CM084279_1_1079183.1, CM084272_1_1307854.0, CM084269_1_10663251.1, CM084264_1_34292374.0, CM084272_1_33597692.1"
"6","adapter_trim.F2-B12-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B8-pH8.bam",0.83,50,"CM084275_1_1304711.1, CM084275_1_39394589.0, CM084267_1_11257262.1, CM084267_1_6420929.1, CM084267_1_11257220.1, CM084270_1_2585592.1, CM084267_1_1134424.0, CM084265_1_70977429.0, CM084271_1_43851366.0, CM084279_1_10149628.1, CM084278_1_279479.1, CM084272_1_18191738.0, CM084270_1_15641798.0, CM084275_1_8878521.1, CM084275_1_23095308.1, CM084266_1_57889035.1, CM084265_1_71795209.0, CM084275_1_2509962.0, CM084268_1_9292468.1, CM084269_1_46693817.0, CM084265_1_64196855.0, CM084265_1_59221301.1, CM084279_1_1063031.0, CM084276_1_2841296.1, CM084265_1_959807.0, CM084267_1_51242797.0, CM084264_1_48147317.1, CM084266_1_58087045.1, CM084278_1_22665572.1, CM084270_1_4921106.1, CM084276_1_20157194.1, CM084269_1_1572344.0, CM084268_1_3695260.1, CM084268_1_1326515.1, CM084264_1_65945.0, CM084275_1_36064337.0, CM084265_1_73060898.0, CM084269_1_15823421.1, CM084266_1_71148884.0, CM084276_1_54402.0, CM084278_1_17460152.0, CM084271_1_346616.0, CM084275_1_25395524.1, CM084265_1_59221155.1, CM084276_1_1625254.1, CM084264_1_34297313.1, CM084265_1_72368298.1, CM084266_1_70396060.0, CM084274_1_6125560.1, CM084279_1_32648014.1"
"7","adapter_trim.F2-J227-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B7-pH8.bam",1.37,50,"CM084277_1_10417524.1, CM084279_1_31065250.1, CM084274_1_4694202.1, CM084271_1_43812187.0, CM084274_1_4788661.0, CM084266_1_70400406.1, CM084265_1_66141859.0, CM084278_1_16773822.0, CM084264_1_66522465.1, CM084278_1_22660266.0, CM084274_1_4812546.0, CM084265_1_71820616.0, CM084268_1_50321855.1, CM084274_1_4773495.1, CM084270_1_15641795.1, CM084274_1_4704387.1, CM084269_1_15823188.1, CM084269_1_36339693.1, CM084264_1_74076720.0, CM084274_1_4694202.0, CM084272_1_1894337.1, CM084274_1_34977132.0, CM084269_1_15809963.0, CM084269_1_1567360.0, CM084269_1_42862695.0, CM084269_1_4626408.1, CM084279_1_32641182.1, CM084267_1_48167433.0, CM084266_1_57882847.0, CM084265_1_72368245.1, CM084271_1_379032.0, CM084278_1_23541775.1, CM084269_1_43528607.1, CM084278_1_32252684.1, CM084270_1_12307506.0, CM084275_1_2509962.0, CM084271_1_26325707.0, CM084276_1_12392691.1, CM084270_1_19464627.0, CM084266_1_69632417.0, CM084271_1_26325716.1, CM084279_1_1196450.0, CM084264_1_69870956.1, CM084270_1_10496921.0, CM084275_1_38169321.0, CM084274_1_4864709.1, CM084267_1_50392661.0, CM084267_1_2135737.0, CM084272_1_29972645.0, CM084275_1_35722060.1"
"8","adapter_trim.F2-B7-pH7.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B5-pH8.bam",0.53,50,"CM084264_1_74800241.0, CM084277_1_30165082.1, CM084271_1_43868181.0, CM084273_1_31862314.1, CM084269_1_43524375.1, CM084266_1_61737006.1, CM084267_1_2653040.1, CM084278_1_281238.1, CM084271_1_43934405.1, CM084274_1_4796888.1, CM084265_1_58531646.0, CM084278_1_23555170.0, CM084269_1_47265300.1, CM084270_1_39395894.0, CM084268_1_22932623.1, CM084278_1_30230906.0, CM084268_1_42024.1, CM084279_1_10156984.0, CM084266_1_58086157.0, CM084266_1_70181820.1, CM084272_1_33597669.1, CM084275_1_36059252.1, CM084264_1_74266371.0, CM084272_1_18191738.1, CM084278_1_20732798.1, CM084278_1_23541053.0, CM084264_1_68688975.1, CM084266_1_68919260.1, CM084270_1_4920915.1, CM084273_1_7839417.1, CM084277_1_29782028.1, CM084273_1_31862312.0, CM084269_1_43525341.1, CM084275_1_675783.1, CM084279_1_10147216.1, CM084276_1_38117387.0, CM084274_1_11619945.1, CM084274_1_42293378.0, CM084270_1_972098.0, CM084267_1_48167433.0, CM084274_1_4808183.1, CM084265_1_71265301.0, CM084278_1_22665042.1, CM084268_1_43541.1, CM084277_1_10628755.1, CM084279_1_32666444.1, CM084265_1_68808047.1, CM084271_1_10301903.1, CM084265_1_66143673.1, CM084269_1_1567834.1"
"9","adapter_trim.F2-B19-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B9-pH8.bam",0.4,50,"CM084271_1_12812951.1, CM084279_1_1062150.0, CM084269_1_1567396.1, CM084269_1_47265506.0, CM084264_1_69287125.0, CM084264_1_26777914.1, CM084264_1_70471433.1, CM084275_1_29098876.1, CM084279_1_10147354.1, CM084266_1_66383710.0, CM084269_1_47265482.0, CM084268_1_46448.0, CM084264_1_34292374.1, CM084274_1_4708733.0, CM084270_1_2585592.1, CM084265_1_64196870.1, CM084264_1_70466154.1, CM084266_1_69052205.1, CM084273_1_42253133.1, CM084271_1_43338888.1, CM084276_1_2855799.1, CM084266_1_68642404.1, CM084269_1_41809356.1, CM084266_1_70930072.1, CM084264_1_66439654.1, CM084274_1_4788623.0, CM084265_1_72368172.1, CM084275_1_1303251.1, CM084265_1_64586069.0, CM084277_1_17835716.1, CM084266_1_64725837.1, CM084278_1_23555170.1, CM084273_1_21179215.1, CM084277_1_1869733.1, CM084271_1_26325720.0, CM084274_1_4808081.0, CM084268_1_37774069.0, CM084278_1_32252684.1, CM084267_1_13261500.1, CM084264_1_74076720.1, CM084265_1_14403401.1, CM084267_1_6421243.1, CM084272_1_1704343.0, CM084273_1_31863792.1, CM084272_1_33497675.1, CM084268_1_9292474.0, CM084266_1_1230887.1, CM084265_1_71827811.1, CM084264_1_70173621.0, CM084279_1_32666409.1"
