"","id","dam","sire","LLRpair","n.loci","loci"
"1","adapter_trim.F3-J83-pH7.bam","adapter_trim.F2-B4-pH7.bam","adapter_trim.F2-B5-pH7.bam",1.05,50,"CM084274_1_4787926.1, CM084271_1_37237146.1, CM084269_1_35642171.1, CM084267_1_727876.0, CM084272_1_36474160.1, CM084265_1_68808047.1, CM084267_1_2908982.1, CM084268_1_28845782.0, CM084264_1_74800265.0, CM084274_1_4869974.1, CM084279_1_32640576.0, CM084265_1_71899669.0, CM084264_1_74183870.0, CM084265_1_71795209.1, CM084276_1_31737936.1, CM084275_1_25393266.1, CM084272_1_1891482.1, CM084267_1_2163704.1, CM084276_1_62221.0, CM084271_1_37237146.0, CM084264_1_70182851.1, CM084271_1_3821109.1, CM084268_1_49721842.1, CM084264_1_73152512.0, CM084274_1_4734036.1, CM084268_1_22932621.0, CM084268_1_37774069.0, CM084276_1_4238176.1, CM084275_1_39338236.0, CM084266_1_57883008.0, CM084269_1_42862718.1, CM084270_1_4920968.0, CM084265_1_1816569.1, CM084271_1_7136527.0, CM084265_1_785374.1, CM084265_1_68806446.1, CM084279_1_32652116.0, CM084276_1_4125650.0, CM084266_1_71319410.0, CM084270_1_47076329.1, CM084275_1_25395465.0, CM084264_1_73152605.1, CM084276_1_61679.0, CM084267_1_52896140.1, CM084266_1_58099055.1, CM084277_1_29208301.1, CM084271_1_289999.1, CM084269_1_43525189.1, CM084277_1_30611605.0, CM084274_1_4686943.0"
"2","adapter_trim.F3-J76-pH7.bam","adapter_trim.F2-B19-pH7.bam","adapter_trim.F2-B25-pH7.bam",0.56,50,"CM084265_1_794877.0, CM084268_1_28845789.1, CM084266_1_62460034.1, CM084276_1_1856082.0, CM084276_1_38539342.0, CM084274_1_4869791.1, CM084269_1_43523945.1, CM084274_1_42855649.0, CM084264_1_70188206.1, CM084278_1_279490.1, CM084274_1_4869897.1, CM084269_1_15828546.1, CM084274_1_4795052.0, CM084271_1_43934405.1, CM084267_1_30270830.0, CM084264_1_73604686.0, CM084265_1_67424061.0, CM084273_1_32698906.0, CM084266_1_68519988.0, CM084276_1_1500412.0, CM084278_1_23540722.0, CM084275_1_39491725.1, CM084277_1_36521569.1, CM084265_1_791030.1, CM084265_1_68808047.0, CM084269_1_15809963.0, CM084274_1_6125439.1, CM084276_1_38558670.1, CM084275_1_1303251.0, CM084273_1_42287132.1, CM084264_1_69748575.0, CM084266_1_23295992.0, CM084271_1_44090328.0, CM084264_1_6990362.1, CM084277_1_35287266.0, CM084269_1_4626408.0, CM084273_1_10381194.0, CM084278_1_20734376.0, CM084265_1_59221213.1, CM084279_1_10149628.1, CM084266_1_50301559.1, CM084264_1_74989681.0, CM084269_1_15798267.1, CM084266_1_59356462.0, CM084269_1_42862718.0, CM084264_1_72054047.0, CM084266_1_65347078.0, CM084274_1_4795903.0, CM084277_1_29208395.1, CM084269_1_43527808.1"
"3","adapter_trim.F3-J66-pH7.bam","adapter_trim.F2-B19-pH7.bam","adapter_trim.F2-B4-pH7.bam",0.47,50,"CM084274_1_4694263.1, CM084268_1_298790.0, CM084265_1_71794141.0, CM084265_1_71265328.1, CM084278_1_17460152.0, CM084268_1_1326515.1, CM084275_1_39776496.1, CM084272_1_33454573.0, CM084272_1_1704343.1, CM084265_1_72636296.0, CM084275_1_2509950.1, CM084266_1_70707518.1, CM084269_1_42862798.1, CM084268_1_45604.0, CM084267_1_2652523.1, CM084275_1_327930.0, CM084272_1_18553681.1, CM084268_1_3703420.0, CM084265_1_786811.1, CM084269_1_1544562.1, CM084274_1_4789233.1, CM084279_1_10157014.0, CM084270_1_47077595.1, CM084268_1_50225470.0, CM084264_1_64487824.0, CM084279_1_32652116.0, CM084265_1_61648602.0, CM084278_1_277798.0, CM084268_1_3691704.0, CM084265_1_71792056.0, CM084264_1_65418.1, CM084266_1_57884309.1, CM084265_1_790962.0, CM084267_1_13226543.0, CM084268_1_49721842.1, CM084264_1_66439662.1, CM084264_1_70182852.0, CM084265_1_69913596.1, CM084267_1_699404.0, CM084269_1_47255758.1, CM084274_1_4734036.1, CM084266_1_50301468.0, CM084265_1_71265340.1, CM084274_1_4792256.0, CM084265_1_69230172.1, CM084270_1_8242309.0, CM084266_1_68322173.0, CM084276_1_38787722.1, CM084276_1_38558640.0, CM084267_1_30270802.1"
"4","adapter_trim.F3-J94-pH7.bam","adapter_trim.F2-B7-pH7.bam","adapter_trim.F2-B10-pH7.bam",0.16,50,"CM084269_1_15828548.0, CM084278_1_20635947.1, CM084265_1_68072879.0, CM084271_1_379038.1, CM084266_1_62460034.1, CM084269_1_43524168.0, CM084268_1_28855779.1, CM084276_1_37987468.1, CM084266_1_69095441.0, CM084270_1_32126731.1, CM084266_1_64002578.1, CM084270_1_1559802.0, CM084267_1_6420929.1, CM084265_1_69913596.0, CM084279_1_1062135.0, CM084267_1_2908962.1, CM084267_1_5165671.1, CM084266_1_69794604.1, CM084265_1_71265340.1, CM084277_1_31027256.1, CM084266_1_58088040.0, CM084271_1_26332979.0, CM084267_1_700114.1, CM084279_1_10151202.0, CM084269_1_45310961.1, CM084276_1_12392692.0, CM084275_1_8878521.1, CM084269_1_42862707.0, CM084268_1_2832736.1, CM084264_1_71721959.0, CM084276_1_25813402.1, CM084265_1_67424061.0, CM084266_1_57882486.1, CM084265_1_70798125.1, CM084277_1_30642880.1, CM084265_1_71796317.1, CM084266_1_68642404.0, CM084273_1_31865409.1, CM084277_1_30611496.0, CM084265_1_69924480.0, CM084277_1_1868699.1, CM084274_1_4862784.0, CM084273_1_32698894.0, CM084275_1_675849.1, CM084274_1_4868366.1, CM084271_1_344406.1, CM084274_1_42859668.0, CM084276_1_38772810.1, CM084274_1_4694494.1, CM084265_1_68869214.1"
