"","id","dam","sire","LLRpair","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F3-J91-pH7.bam","adapter_trim.F2-B19-pH7.bam","adapter_trim.F2-B1-pH7.bam","0.65","4","2","FALSE","CM084266_1_68322194.1, CM084269_1_4635012.0, CM084277_1_17835716.1, CM084271_1_379028.1, CM084270_1_4921029.1, CM084266_1_58087045.1, CM084265_1_69915221.0, CM084273_1_42285391.1, CM084269_1_4635090.1, CM084266_1_23321801.1, CM084264_1_72054205.1, CM084268_1_9292527.0, CM084278_1_23536520.1, CM084274_1_3691337.0, CM084279_1_31065257.0, CM084274_1_42859664.0, CM084271_1_1033937.1, CM084264_1_66525951.1, CM084279_1_1064680.1, CM084265_1_68074364.1, CM084269_1_35627100.1, CM084268_1_24030545.1, CM084278_1_22657588.1, CM084278_1_281238.0, CM084268_1_23612506.0, CM084265_1_14403550.1, CM084265_1_64736906.1, CM084268_1_28855770.0, CM084276_1_38552579.1, CM084277_1_31296163.1, CM084271_1_19656025.0, CM084266_1_62460058.0, CM084279_1_1070322.1, CM084274_1_4720394.0, CM084270_1_42345710.0, CM084274_1_4694915.0, CM084265_1_68073022.1, CM084272_1_18194995.1, CM084265_1_58484259.1, CM084270_1_8444546.0, CM084265_1_19670958.1, CM084269_1_1556935.0, CM084265_1_72178237.1, CM084268_1_9292527.1, CM084267_1_2163704.1, CM084265_1_64736906.1, CM084275_1_39776469.0, CM084277_1_36519491.0, CM084269_1_4636406.1, CM084265_1_71828881.0"
"2","adapter_trim.F3-J60-pH7.bam","adapter_trim.F2-B19-pH7.bam","adapter_trim.F2-B1-pH7.bam","0.66","4","2","FALSE","CM084265_1_59221301.1, CM084265_1_68806450.0, CM084270_1_4921106.0, CM084277_1_29782026.1, CM084271_1_257113.1, CM084264_1_26773648.1, CM084271_1_44086160.0, CM084266_1_57884309.1, CM084264_1_73308596.0, CM084268_1_28845439.1, CM084264_1_69271984.1, CM084267_1_50993981.1, CM084264_1_70191778.1, CM084276_1_38960928.1, CM084271_1_43934352.1, CM084278_1_20858390.1, CM084276_1_38558590.1, CM084265_1_72368299.0, CM084264_1_70355122.1, CM084269_1_43524558.0, CM084264_1_73927104.0, CM084274_1_4773486.1, CM084274_1_4694916.0, CM084265_1_71797896.0, CM084275_1_39774878.0, CM084272_1_18553681.0, CM084278_1_5142968.0, CM084279_1_1073381.1, CM084266_1_69063995.1, CM084264_1_72054053.1, CM084266_1_62460100.0, CM084276_1_20157194.0, CM084266_1_66377784.1, CM084272_1_33503418.0, CM084274_1_34977105.0, CM084264_1_61227529.0, CM084264_1_72075482.0, CM084271_1_43816629.0, CM084264_1_2738036.1, CM084266_1_69085644.1, CM084265_1_71926735.1, CM084268_1_276380.0, CM084264_1_69862119.0, CM084266_1_69085644.0, CM084266_1_58111750.1, CM084272_1_1894276.0, CM084276_1_38558590.0, CM084269_1_46733053.1, CM084271_1_44190417.0, CM084266_1_69806306.0"
"3","adapter_trim.F3-J77-pH7.bam","adapter_trim.F2-B15-pH7.bam","adapter_trim.F2-B1-pH7.bam","0.43","4","2","FALSE","CM084272_1_33453891.0, CM084275_1_327911.0, CM084265_1_61648598.0, CM084277_1_4875753.1, CM084265_1_72091635.1, CM084265_1_59220865.0, CM084275_1_312849.1, CM084271_1_43860460.0, CM084267_1_51248425.1, CM084264_1_34293009.0, CM084266_1_71319410.1, CM084275_1_35722051.1, CM084277_1_30168106.1, CM084266_1_23296704.0, CM084265_1_71926735.1, CM084267_1_13229742.0, CM084266_1_59364074.0, CM084276_1_2855915.1, CM084271_1_19656025.1, CM084274_1_4709636.1, CM084273_1_31862042.1, CM084268_1_22932611.0, CM084274_1_21933150.0, CM084275_1_400262.1, CM084268_1_2717677.0, CM084264_1_69902963.1, CM084267_1_52591726.0, CM084270_1_8242350.1, CM084264_1_2740285.1, CM084277_1_30168102.1, CM084265_1_68786095.1, CM084277_1_29781980.1, CM084269_1_4636404.0, CM084275_1_66834.0, CM084267_1_2081902.0, CM084268_1_3691160.1, CM084269_1_47265482.1, CM084275_1_267983.0, CM084275_1_40519747.1, CM084273_1_7839210.1, CM084270_1_9408158.1, CM084274_1_4788669.1, CM084278_1_15228688.1, CM084274_1_4726242.0, CM084271_1_30532481.1, CM084267_1_4505260.0, CM084269_1_1526871.0, CM084266_1_68960407.1, CM084279_1_31073085.0, CM084274_1_3691349.1"
"4","adapter_trim.F3-J92-pH7.bam","adapter_trim.F2-B15-pH7.bam","adapter_trim.F2-B1-pH7.bam","0.5","4","2","FALSE","CM084276_1_38864870.0, CM084278_1_20867809.0, CM084278_1_22667324.1, CM084275_1_312842.1, CM084273_1_31862762.1, CM084268_1_50679469.1, CM084271_1_37170448.0, CM084276_1_25532347.0, CM084264_1_34293018.0, CM084265_1_64735166.1, CM084274_1_34976974.0, CM084268_1_50323442.1, CM084277_1_1869733.1, CM084276_1_38970473.1, CM084276_1_1625257.1, CM084272_1_29973150.0, CM084272_1_1891434.1, CM084264_1_71721959.0, CM084265_1_14403401.1, CM084268_1_3699589.1, CM084267_1_2910789.0, CM084271_1_19655964.1, CM084275_1_36064337.1, CM084264_1_73311139.0, CM084264_1_71718001.0, CM084276_1_38961028.0, CM084277_1_30611605.1, CM084274_1_4708733.0, CM084268_1_273292.0, CM084266_1_68919262.0, CM084267_1_2426144.1, CM084268_1_2832736.0, CM084269_1_1549190.1, CM084273_1_31863671.0, CM084277_1_10417520.0, CM084279_1_10147738.0, CM084274_1_4869968.0, CM084278_1_22654720.0, CM084264_1_73152528.1, CM084268_1_28851946.0, CM084267_1_700114.1, CM084277_1_36521175.0, CM084271_1_19655912.0, CM084274_1_4773546.0, CM084274_1_4793173.1, CM084272_1_7002400.1, CM084266_1_68884692.1, CM084268_1_24031246.0, CM084267_1_51242797.1, CM084277_1_35287257.0"
"5","adapter_trim.F3-J89-pH7.bam","adapter_trim.F2-B12-pH7.bam","adapter_trim.F2-B10-pH7.bam","0.5","3","3","TRUE","CM084271_1_43851366.0, CM084264_1_8098050.0, CM084269_1_12905592.1, CM084269_1_35627219.1, CM084276_1_1625258.1, CM084268_1_49719767.1, CM084268_1_24031315.1, CM084264_1_74191573.1, CM084272_1_1894338.1, CM084272_1_18193864.1, CM084266_1_65571765.1, CM084272_1_18194972.0, CM084274_1_12659113.1, CM084278_1_22667307.1, CM084275_1_1303251.0, CM084266_1_67239927.1, CM084268_1_3710137.0, CM084279_1_10149547.0, CM084269_1_35642171.0, CM084265_1_71794444.0, CM084271_1_346606.1, CM084269_1_39737144.1, CM084274_1_4793084.0, CM084276_1_1856078.1, CM084279_1_161458.0, CM084265_1_71794141.1, CM084265_1_64969584.1, CM084264_1_72054052.1, CM084264_1_69757037.0, CM084272_1_1883699.0, CM084278_1_20734392.0, CM084276_1_25809477.1, CM084265_1_785368.0, CM084270_1_47076329.1, CM084277_1_1856957.1, CM084275_1_38169337.1, CM084271_1_344406.0, CM084277_1_10628755.1, CM084268_1_28845336.0, CM084266_1_68643450.0, CM084276_1_38558658.1, CM084264_1_75338734.1, CM084270_1_4920968.1, CM084264_1_74076720.1, CM084271_1_44090335.0, CM084274_1_4732023.0, CM084264_1_73349432.1, CM084269_1_1526868.1, CM084265_1_69381524.0, CM084274_1_4798803.0"
"6","adapter_trim.F3-J63-pH7.bam","adapter_trim.F2-B12-pH7.bam","adapter_trim.F2-B10-pH7.bam","0.25","3","3","TRUE","CM084267_1_2135741.1, CM084275_1_39774900.1, CM084269_1_46688972.1, CM084267_1_50392699.0, CM084277_1_30168106.1, CM084268_1_50679551.1, CM084277_1_36521583.1, CM084266_1_62460055.1, CM084264_1_26771547.0, CM084265_1_70798989.1, CM084270_1_4920911.0, CM084266_1_68519869.1, CM084265_1_50947034.0, CM084267_1_6421422.0, CM084278_1_20735956.0, CM084276_1_38775936.1, CM084272_1_23644236.0, CM084279_1_1196450.1, CM084272_1_43469487.0, CM084264_1_69303594.0, CM084268_1_1326515.1, CM084265_1_65233046.0, CM084264_1_2740137.0, CM084276_1_38960928.1, CM084269_1_15827890.1, CM084278_1_23554765.0, CM084266_1_68642404.1, CM084275_1_39776646.0, CM084265_1_69007603.1, CM084270_1_42355504.0, CM084266_1_23295949.0, CM084272_1_11675288.0, CM084266_1_63195162.1, CM084276_1_1510348.0, CM084274_1_4730026.0, CM084267_1_699404.1, CM084268_1_1326519.0, CM084264_1_74995015.1, CM084274_1_4864682.0, CM084276_1_714435.1, CM084268_1_1508049.1, CM084267_1_52591726.1, CM084275_1_672856.1, CM084269_1_4636406.1, CM084265_1_70609247.0, CM084266_1_69085555.0, CM084264_1_70174663.0, CM084268_1_9292468.1, CM084269_1_12905592.1, CM084269_1_46688972.0"
"7","adapter_trim.F3-J71-pH7.bam","adapter_trim.F2-B15-pH7.bam","adapter_trim.F2-B10-pH7.bam","0.33","4","3","FALSE","CM084266_1_68919270.0, CM084264_1_70171655.1, CM084264_1_74800265.0, CM084269_1_46692099.0, CM084269_1_12905566.1, CM084277_1_10628711.0, CM084272_1_33452076.1, CM084274_1_4788084.0, CM084266_1_69085559.1, CM084265_1_71796317.1, CM084276_1_38557410.1, CM084274_1_4788669.1, CM084273_1_42253133.0, CM084275_1_25393266.0, CM084275_1_39776469.1, CM084267_1_50994309.0, CM084277_1_18545014.0, CM084264_1_2740137.1, CM084271_1_290001.0, CM084264_1_26771545.0, CM084274_1_42859635.1, CM084268_1_24030545.1, CM084267_1_2652774.0, CM084276_1_38785504.1, CM084266_1_69052185.1, CM084273_1_33585263.0, CM084268_1_3691704.0, CM084274_1_7310951.1, CM084279_1_31068246.0, CM084271_1_274096.1, CM084264_1_6990362.1, CM084279_1_1070264.0, CM084267_1_2081906.1, CM084269_1_1526868.1, CM084271_1_44090302.1, CM084272_1_36474242.0, CM084270_1_4751853.1, CM084265_1_68808156.1, CM084274_1_4694202.0, CM084268_1_50321855.0, CM084273_1_31866087.0, CM084270_1_42345710.1, CM084279_1_33014997.1, CM084276_1_38558690.1, CM084265_1_70974986.1, CM084265_1_71831401.1, CM084270_1_46587616.0, CM084278_1_29698402.0, CM084268_1_43541.1, CM084264_1_74191574.1"
"8","adapter_trim.F3-J67-pH7.bam","adapter_trim.F2-B7-pH7.bam","adapter_trim.F2-B2-pH7.bam","0.43","3","2","FALSE","CM084264_1_2738116.0, CM084266_1_66377772.0, CM084270_1_4751856.1, CM084269_1_40336207.0, CM084274_1_4812118.1, CM084276_1_1852865.0, CM084279_1_10147354.1, CM084275_1_327919.0, CM084269_1_43523897.1, CM084265_1_64527973.0, CM084270_1_42348998.0, CM084275_1_39781005.1, CM084275_1_319814.1, CM084276_1_25532347.1, CM084267_1_699277.0, CM084271_1_44104310.1, CM084274_1_4785935.1, CM084274_1_4694855.0, CM084271_1_1033937.1, CM084269_1_1567834.0, CM084268_1_45604.0, CM084276_1_38785557.1, CM084269_1_41809353.0, CM084267_1_6420945.1, CM084276_1_38773530.1, CM084278_1_22667297.0, CM084264_1_72054053.1, CM084267_1_699449.0, CM084265_1_64765147.1, CM084265_1_58530104.0, CM084266_1_64723817.0, CM084266_1_64002578.1, CM084266_1_62460055.0, CM084269_1_1567833.1, CM084271_1_274110.1, CM084275_1_36059374.0, CM084271_1_44083010.0, CM084269_1_46688879.0, CM084267_1_52776062.0, CM084273_1_32683001.0, CM084274_1_4695098.1, CM084279_1_10149534.1, CM084271_1_19655964.0, CM084265_1_72990731.0, CM084265_1_69230172.0, CM084271_1_44228071.1, CM084270_1_4921103.1, CM084269_1_43524472.0, CM084264_1_69303600.1, CM084276_1_1856082.0"
"9","adapter_trim.F3-J70-pH7.bam","adapter_trim.F2-B12-pH7.bam","adapter_trim.F2-B2-pH7.bam","0.5","3","2","FALSE","CM084266_1_68322194.1, CM084269_1_4635012.0, CM084277_1_17835716.1, CM084271_1_379028.1, CM084270_1_4921029.1, CM084266_1_58087045.1, CM084265_1_69915221.0, CM084273_1_42285391.1, CM084269_1_4635090.1, CM084266_1_23321801.1, CM084264_1_72054205.1, CM084268_1_9292527.0, CM084278_1_23536520.1, CM084274_1_3691337.0, CM084279_1_31065257.0, CM084274_1_42859664.0, CM084271_1_1033937.1, CM084264_1_66525951.1, CM084279_1_1064680.1, CM084265_1_68074364.1, CM084269_1_35627100.1, CM084268_1_24030545.1, CM084278_1_22657588.1, CM084278_1_281238.0, CM084268_1_23612506.0, CM084265_1_14403550.1, CM084265_1_64736906.1, CM084268_1_28855770.0, CM084276_1_38552579.1, CM084277_1_31296163.1, CM084271_1_19656025.0, CM084266_1_62460058.0, CM084279_1_1070322.1, CM084274_1_4720394.0, CM084270_1_42345710.0, CM084274_1_4694915.0, CM084265_1_68073022.1, CM084272_1_18194995.1, CM084265_1_58484259.1, CM084270_1_8444546.0, CM084265_1_19670958.1, CM084269_1_1556935.0, CM084265_1_72178237.1, CM084268_1_9292527.1, CM084267_1_2163704.1, CM084265_1_64736906.1, CM084275_1_39776469.0, CM084277_1_36519491.0, CM084269_1_4636406.1, CM084265_1_71828881.0"
"10","adapter_trim.F3-J68-pH7.bam","adapter_trim.F2-B18-pH7.bam","adapter_trim.F2-B2-pH7.bam","0.65","3","2","FALSE","CM084266_1_71149025.0, CM084279_1_32666436.0, CM084265_1_790962.1, CM084266_1_69625521.1, CM084267_1_50392699.1, CM084267_1_51248500.0, CM084265_1_790976.1, CM084269_1_15799394.0, CM084266_1_69632434.1, CM084266_1_67097920.0, CM084273_1_31865208.0, CM084269_1_1556267.0, CM084266_1_69052082.0, CM084264_1_8112660.1, CM084276_1_38773493.1, CM084265_1_68806466.1, CM084271_1_342830.1, CM084268_1_276460.1, CM084268_1_50225025.1, CM084274_1_4795903.1, CM084265_1_59221220.0, CM084270_1_42355495.1, CM084265_1_64765147.0, CM084275_1_1212337.0, CM084276_1_1856630.0, CM084276_1_1625215.1, CM084275_1_39774860.0, CM084264_1_15073840.1, CM084264_1_66439654.0, CM084270_1_47103324.0, CM084268_1_3261991.1, CM084267_1_51248425.0, CM084267_1_13261420.0, CM084277_1_4875899.0, CM084274_1_4793087.0, CM084272_1_33452069.1, CM084268_1_42009.0, CM084266_1_66832562.0, CM084265_1_71899687.0, CM084266_1_58098009.1, CM084271_1_43860456.0, CM084275_1_1304750.0, CM084265_1_60215543.1, CM084266_1_71317540.1, CM084279_1_33759502.0, CM084278_1_23536923.0, CM084268_1_50219223.1, CM084266_1_65347060.1, CM084279_1_1063031.1, CM084264_1_70210134.1"
