"","id","dam","sire","LLRpair","n.loci","loci"
"1","adapter_trim.F2-J89-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B7-pH8.bam",0.61,50,"CM084268_1_9292474.0, CM084275_1_38169338.0, CM084277_1_1868384.1, CM084272_1_11675308.0, CM084269_1_43524691.0, CM084265_1_64733395.0, CM084274_1_4778592.1, CM084275_1_39394589.0, CM084266_1_63468234.0, CM084266_1_70396245.0, CM084273_1_31863671.1, CM084265_1_65322091.1, CM084269_1_1555094.1, CM084265_1_72926026.0, CM084265_1_1229890.1, CM084276_1_7202997.0, CM084264_1_73931171.0, CM084273_1_31865957.1, CM084270_1_46587592.0, CM084268_1_28845816.0, CM084276_1_62473.1, CM084266_1_70930072.0, CM084276_1_38558507.0, CM084269_1_42862716.0, CM084266_1_57884309.1, CM084278_1_5144752.0, CM084278_1_23542095.0, CM084264_1_70185106.0, CM084271_1_19934424.0, CM084271_1_19655878.1, CM084271_1_337322.0, CM084269_1_47265300.1, CM084270_1_47077479.0, CM084264_1_70391024.0, CM084264_1_66561935.1, CM084273_1_214008.0, CM084269_1_46688892.1, CM084274_1_4863301.0, CM084265_1_59221220.0, CM084265_1_59221308.0, CM084269_1_4628634.0, CM084275_1_39491725.0, CM084264_1_73929737.1, CM084273_1_42253133.0, CM084274_1_4695106.1, CM084274_1_4708063.0, CM084276_1_38072621.0, CM084267_1_2652523.0, CM084268_1_28845513.0, CM084276_1_25532347.0"
"2","adapter_trim.F2-J142-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.58,50,"CM084277_1_29208305.1, CM084265_1_66146092.1, CM084271_1_44090328.1, CM084279_1_10157010.0, CM084271_1_3821269.0, CM084279_1_10156984.0, CM084265_1_58484259.1, CM084265_1_72071381.0, CM084269_1_43525146.0, CM084271_1_19656061.0, CM084276_1_38539465.1, CM084265_1_69916644.1, CM084264_1_73931024.1, CM084279_1_10150695.1, CM084265_1_72071409.0, CM084271_1_44090335.1, CM084279_1_1196441.0, CM084275_1_400325.1, CM084266_1_68319456.0, CM084278_1_20733311.0, CM084266_1_69314168.0, CM084269_1_15812959.0, CM084266_1_58093839.0, CM084271_1_3820373.1, CM084271_1_26325720.1, CM084268_1_50790925.1, CM084264_1_2740171.0, CM084265_1_71265328.0, CM084265_1_791018.0, CM084278_1_20742383.1, CM084271_1_11500058.1, CM084264_1_73931173.1, CM084267_1_50392661.0, CM084275_1_23096151.1, CM084270_1_42355495.1, CM084266_1_57882606.0, CM084266_1_65298589.1, CM084271_1_274110.0, CM084267_1_5161036.1, CM084279_1_32973101.0, CM084275_1_25397320.0, CM084274_1_4686943.0, CM084267_1_2652774.1, CM084264_1_74183870.0, CM084265_1_66688742.0, CM084264_1_70174613.1, CM084273_1_32698908.1, CM084269_1_45420483.1, CM084264_1_73604686.0, CM084266_1_63195191.0"
"3","adapter_trim.F2-B1-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B5-pH8.bam",0.42,50,"CM084269_1_45238132.1, CM084278_1_23555170.0, CM084278_1_32252678.0, CM084268_1_3699708.0, CM084264_1_69298657.0, CM084275_1_327918.0, CM084271_1_379011.0, CM084271_1_44134413.1, CM084264_1_70190068.1, CM084275_1_400325.1, CM084264_1_15073604.1, CM084277_1_30631457.1, CM084264_1_8112674.0, CM084277_1_18546601.1, CM084278_1_279354.0, CM084265_1_71827738.0, CM084264_1_64489814.0, CM084278_1_20858390.0, CM084270_1_47103340.0, CM084270_1_42348997.0, CM084264_1_34301190.1, CM084276_1_2841292.0, CM084268_1_50219223.1, CM084276_1_61700.1, CM084269_1_12905562.0, CM084274_1_4788669.1, CM084271_1_37240204.1, CM084279_1_992716.1, CM084279_1_10157014.1, CM084269_1_45238247.0, CM084270_1_4920961.1, CM084279_1_32666410.1, CM084279_1_1073400.0, CM084269_1_35627061.0, CM084270_1_4921025.1, CM084276_1_4238114.0, CM084275_1_126552.0, CM084276_1_7202888.0, CM084265_1_1816564.1, CM084266_1_69141121.0, CM084275_1_328864.0, CM084274_1_4708033.1, CM084267_1_2652515.1, CM084275_1_312851.0, CM084264_1_74035920.1, CM084268_1_22932621.0, CM084265_1_794840.1, CM084274_1_4869974.0, CM084269_1_1558034.1, CM084279_1_10156984.1"
"4","adapter_trim.F2-B5-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B3-pH8.bam",0.63,50,"CM084266_1_23294618.1, CM084267_1_51242797.1, CM084271_1_44077330.1, CM084279_1_1060874.1, CM084270_1_32126724.0, CM084266_1_69806294.0, CM084266_1_68322200.0, CM084273_1_31862642.0, CM084277_1_31027256.0, CM084279_1_10149534.0, CM084265_1_72071366.0, CM084266_1_57889053.1, CM084277_1_30953078.0, CM084265_1_72368204.0, CM084274_1_4795858.0, CM084270_1_8444534.1, CM084264_1_66439902.0, CM084266_1_57882736.0, CM084269_1_4628639.1, CM084264_1_2740171.1, CM084273_1_32683023.0, CM084268_1_3697725.0, CM084272_1_2073150.0, CM084278_1_22667331.1, CM084268_1_2717677.0, CM084270_1_26884058.0, CM084269_1_15827759.0, CM084266_1_68919270.0, CM084266_1_23411289.0, CM084270_1_4921089.0, CM084275_1_327936.0, CM084273_1_31863596.0, CM084266_1_23295925.1, CM084269_1_12905597.1, CM084269_1_15820188.0, CM084268_1_42010.0, CM084272_1_1894276.0, CM084277_1_30505565.1, CM084265_1_70597838.0, CM084275_1_39774860.0, CM084265_1_69230172.0, CM084267_1_699277.1, CM084276_1_56048.1, CM084265_1_71796271.0, CM084266_1_64725838.1, CM084275_1_23095998.1, CM084275_1_1218645.1, CM084268_1_47694452.0, CM084274_1_4863048.1, CM084265_1_72636291.0"
"5","adapter_trim.F2-B15-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B9-pH8.bam",0.69,50,"CM084265_1_68074592.0, CM084272_1_33623932.0, CM084265_1_72368298.0, CM084269_1_39737118.0, CM084264_1_2740137.0, CM084276_1_38775924.1, CM084278_1_20732805.0, CM084269_1_1556138.0, CM084269_1_39737144.1, CM084265_1_68806425.0, CM084275_1_39394564.0, CM084265_1_66143640.0, CM084266_1_69063996.1, CM084272_1_1584317.1, CM084266_1_68919241.0, CM084271_1_257113.0, CM084268_1_50202371.0, CM084265_1_790962.1, CM084268_1_23612506.1, CM084275_1_40706319.1, CM084274_1_4863048.0, CM084275_1_312853.0, CM084266_1_68659872.0, CM084271_1_3818665.0, CM084276_1_25809481.1, CM084279_1_1079183.0, CM084274_1_4869944.1, CM084270_1_4921018.1, CM084274_1_4695204.1, CM084265_1_64735183.1, CM084265_1_71831409.0, CM084269_1_43523893.0, CM084267_1_3748455.0, CM084270_1_39396029.1, CM084275_1_126552.0, CM084267_1_2652523.0, CM084269_1_46733053.1, CM084279_1_32644179.0, CM084264_1_8099096.0, CM084273_1_31865682.0, CM084268_1_50216562.0, CM084270_1_8242343.1, CM084268_1_82245.1, CM084266_1_68643450.1, CM084266_1_68661769.1, CM084278_1_20865574.1, CM084265_1_72071366.0, CM084265_1_70589360.0, CM084269_1_15823423.1, CM084270_1_8444546.1"
"6","adapter_trim.F2-J88-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B9-pH8.bam",0.74,50,"CM084269_1_45238247.0, CM084278_1_19961223.1, CM084269_1_1544433.0, CM084275_1_39491725.1, CM084274_1_4708749.0, CM084272_1_33578227.1, CM084271_1_10301903.1, CM084269_1_1544433.1, CM084269_1_12905597.0, CM084265_1_71796271.0, CM084264_1_74266355.1, CM084269_1_39736980.0, CM084276_1_38775909.1, CM084269_1_42862704.1, CM084264_1_69271980.0, CM084265_1_64969584.0, CM084271_1_10303572.1, CM084264_1_2740287.1, CM084266_1_70706235.1, CM084272_1_18553651.0, CM084274_1_4863861.0, CM084274_1_42859635.0, CM084270_1_46588167.1, CM084275_1_25393263.1, CM084267_1_2652515.0, CM084277_1_30027550.1, CM084265_1_71925452.1, CM084274_1_34977132.1, CM084265_1_71796271.0, CM084276_1_7202888.1, CM084268_1_3699589.1, CM084266_1_59802321.0, CM084269_1_1549398.0, CM084278_1_23542095.1, CM084275_1_667604.0, CM084278_1_20858397.0, CM084265_1_59221291.0, CM084274_1_4708749.1, CM084279_1_1073128.1, CM084277_1_29780093.0, CM084264_1_34303458.1, CM084269_1_39737118.1, CM084265_1_71925442.0, CM084268_1_22040366.1, CM084266_1_23317745.1, CM084278_1_31960662.1, CM084266_1_69085644.1, CM084269_1_1567498.0, CM084266_1_57888961.1, CM084275_1_327936.1"
