"","id","dam","sire","LLRpair","n.loci","loci"
"1","adapter_trim.F3-J100-pH75.bam","adapter_trim.F2-B3-pH75.bam","adapter_trim.F2-B22-pH75.bam",0.72,50,"CM084271_1_43868125.0, CM084270_1_4921103.1, CM084271_1_30532429.1, CM084269_1_1558034.0, CM084264_1_73349423.1, CM084265_1_73060812.0, CM084269_1_46745707.1, CM084265_1_59221320.1, CM084264_1_72929492.0, CM084266_1_62468799.0, CM084274_1_4869825.1, CM084264_1_61167131.1, CM084264_1_75278242.0, CM084277_1_30168102.1, CM084269_1_1577748.1, CM084266_1_64723817.0, CM084266_1_68882944.1, CM084268_1_22040364.0, CM084278_1_20861266.0, CM084277_1_4875753.1, CM084269_1_1555094.1, CM084272_1_18194979.0, CM084271_1_44077305.0, CM084279_1_1070322.1, CM084276_1_1856639.0, CM084271_1_11500090.1, CM084264_1_70182858.0, CM084276_1_1625272.1, CM084273_1_32683023.0, CM084276_1_60278.1, CM084264_1_70175562.0, CM084265_1_71926735.1, CM084268_1_3704020.1, CM084275_1_35722058.1, CM084269_1_15820188.1, CM084271_1_218843.1, CM084274_1_42859635.1, CM084265_1_1118730.0, CM084265_1_69004214.0, CM084265_1_8362532.0, CM084271_1_44090328.1, CM084279_1_10147315.1, CM084274_1_4708735.1, CM084274_1_4869924.0, CM084268_1_50200545.1, CM084271_1_289999.1, CM084267_1_50993981.0, CM084265_1_54595186.0, CM084265_1_72992173.0, CM084276_1_25813402.1"
"2","adapter_trim.F3-J116-pH75.bam","adapter_trim.F2-B6-pH75.bam","adapter_trim.F2-B19-pH75.bam",-0.06,50,"CM084277_1_1868384.1, CM084274_1_4694263.0, CM084279_1_30773321.1, CM084268_1_82411.1, CM084265_1_14403532.1, CM084277_1_30026693.1, CM084274_1_4863301.1, CM084273_1_31862179.1, CM084274_1_4795903.1, CM084275_1_39394564.0, CM084277_1_30611507.1, CM084270_1_32126729.0, CM084271_1_43860422.1, CM084272_1_1308664.1, CM084268_1_50224896.1, CM084271_1_44086139.0, CM084270_1_972098.0, CM084276_1_38773530.1, CM084277_1_30611561.1, CM084269_1_43524472.1, CM084267_1_51242798.1, CM084264_1_39013.1, CM084270_1_47076332.1, CM084270_1_8242350.0, CM084264_1_70471578.0, CM084273_1_42285571.1, CM084265_1_60215543.0, CM084275_1_272975.1, CM084266_1_58102684.0, CM084278_1_22667324.1, CM084264_1_66522465.1, CM084275_1_38169337.0, CM084272_1_27414394.1, CM084265_1_59221322.0, CM084268_1_3703420.0, CM084267_1_5168533.0, CM084278_1_23540735.0, CM084264_1_69870956.1, CM084265_1_64736906.1, CM084271_1_44077319.1, CM084277_1_30611507.0, CM084271_1_3821161.0, CM084268_1_50225470.1, CM084273_1_32683016.1, CM084270_1_46587591.1, CM084274_1_4795468.1, CM084266_1_61737006.0, CM084264_1_70471566.0, CM084276_1_1856094.1, CM084270_1_46589385.0"
"3","adapter_trim.F3-J137-pH75.bam","adapter_trim.F2-B3-pH75.bam","adapter_trim.F2-B19-pH75.bam",0.76,50,"CM084279_1_33759516.1, CM084273_1_11267029.0, CM084268_1_42008.1, CM084267_1_6421241.1, CM084267_1_6420915.1, CM084272_1_33515314.1, CM084264_1_70466154.1, CM084265_1_73061238.0, CM084266_1_68519869.0, CM084266_1_23411289.1, CM084277_1_29208392.1, CM084266_1_69095441.1, CM084275_1_327911.0, CM084270_1_8242296.1, CM084271_1_26325742.0, CM084269_1_46733053.0, CM084276_1_38772791.0, CM084275_1_35720341.0, CM084268_1_50679570.0, CM084274_1_42855649.0, CM084279_1_10156977.1, CM084272_1_33515302.0, CM084268_1_50681637.1, CM084278_1_16774020.0, CM084271_1_3818665.1, CM084269_1_47255823.1, CM084275_1_39394564.0, CM084274_1_4708063.1, CM084274_1_34977105.1, CM084275_1_39774900.1, CM084264_1_72118697.0, CM084270_1_9411945.1, CM084278_1_31960704.0, CM084270_1_46589386.0, CM084266_1_58087794.1, CM084277_1_5804570.1, CM084265_1_50947034.1, CM084265_1_1816564.1, CM084269_1_15827788.0, CM084279_1_32652113.0, CM084275_1_23083657.1, CM084264_1_70182858.1, CM084268_1_18519472.0, CM084264_1_70175564.1, CM084276_1_38785557.0, CM084278_1_22654601.0, CM084270_1_35204451.1, CM084266_1_816291.0, CM084268_1_28851913.0, CM084266_1_65401967.1"
"4","adapter_trim.F3-J133-pH75.bam","adapter_trim.F2-B3-pH75.bam","adapter_trim.F2-B16-pH75.bam",0.6,50,"CM084264_1_15064482.1, CM084272_1_1584311.0, CM084265_1_66141859.0, CM084277_1_29208305.1, CM084265_1_66141859.1, CM084271_1_43868179.0, CM084271_1_19655912.0, CM084277_1_30027057.1, CM084266_1_68919241.0, CM084270_1_26890196.1, CM084268_1_3695238.0, CM084274_1_4686930.0, CM084278_1_22657612.1, CM084269_1_4628634.1, CM084274_1_4862951.1, CM084272_1_18170755.0, CM084273_1_31865717.0, CM084266_1_65993531.1, CM084266_1_46766313.1, CM084264_1_6956767.0, CM084275_1_327919.1, CM084274_1_4864682.1, CM084272_1_18193899.1, CM084277_1_18546601.0, CM084265_1_73061282.0, CM084266_1_64726584.1, CM084269_1_43527808.0, CM084271_1_44086152.1, CM084277_1_10628711.0, CM084264_1_61167161.1, CM084271_1_3807705.1, CM084275_1_35722074.0, CM084268_1_28845855.1, CM084265_1_72368298.0, CM084265_1_71925442.0, CM084264_1_72054052.1, CM084269_1_47265300.0, CM084266_1_65993526.1, CM084274_1_3691763.1, CM084270_1_8242296.0, CM084279_1_992716.1, CM084279_1_1070294.1, CM084267_1_832165.1, CM084271_1_3820373.1, CM084279_1_31409239.0, CM084271_1_257113.1, CM084273_1_31865817.0, CM084273_1_31864741.0, CM084274_1_4795460.0, CM084269_1_1556935.1"
