"","sire","dam","id","loci","n.loci","LLRpair","LLRdam","LLRsire","dam.batch","sire.batch","Fertilization_pairs"
"1","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B5-pH75.bam","adapter_trim.F3-J98-pH75.bam","CM084268_1_42010.0, CM084269_1_36339693.0, CM084269_1_46688879.0, CM084265_1_64736906.1, CM084276_1_38552504.0, CM084264_1_70471566.1, CM084264_1_26773690.1, CM084279_1_10150672.0, CM084265_1_69004214.0, CM084267_1_52776062.1, CM084276_1_7202888.0, CM084266_1_71149025.0, CM084264_1_8112674.0, CM084264_1_70390974.1, CM084270_1_9408154.1, CM084268_1_18512751.0, CM084279_1_10156977.1, CM084268_1_45628.0, CM084273_1_32683002.1, CM084274_1_4792351.0, CM084269_1_47563826.1, CM084269_1_46688909.0, CM084269_1_1556175.0, CM084264_1_70190068.0, CM084268_1_50681537.0, CM084278_1_22660266.1, CM084278_1_20630020.0, CM084276_1_38558670.1, CM084265_1_58531646.0, CM084269_1_45310961.1, CM084265_1_19670958.1, CM084276_1_38552504.1, CM084265_1_71800566.1, CM084269_1_42862798.0, CM084275_1_8878521.1, CM084271_1_3819544.1, CM084268_1_50739238.1, CM084274_1_4066885.0, CM084267_1_2908060.1, CM084267_1_2908130.1, CM084275_1_39502454.1, CM084275_1_39774860.0, CM084266_1_67097920.1, CM084272_1_44059306.0, CM084272_1_33452056.1, CM084264_1_74989689.1, CM084272_1_27414394.0, CM084279_1_32971482.0, CM084266_1_23294618.1, CM084274_1_4788646.1","50","0.27","-0.35","-0.55","2","3","FALSE"
"2","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B5-pH75.bam","adapter_trim.F3-J112-pH75.bam","CM084269_1_1555094.1, CM084276_1_2857930.1, CM084271_1_44086152.1, CM084264_1_72054053.1, CM084276_1_1856653.0, CM084271_1_257176.1, CM084274_1_4686932.0, CM084267_1_2165108.0, CM084278_1_23539431.1, CM084269_1_46688892.1, CM084271_1_39686056.0, CM084265_1_59221281.0, CM084273_1_42285391.1, CM084267_1_5168533.0, CM084265_1_72636285.0, CM084267_1_11257252.1, CM084264_1_69748575.0, CM084265_1_71899680.0, CM084279_1_10149628.0, CM084278_1_20734519.0, CM084270_1_4920968.1, CM084272_1_33597658.0, CM084276_1_1849333.0, CM084264_1_64487839.0, CM084275_1_23104495.0, CM084266_1_68910397.0, CM084265_1_72178250.0, CM084268_1_49533758.0, CM084276_1_1625258.1, CM084267_1_2908860.0, CM084266_1_68519988.0, CM084269_1_15823188.1, CM084264_1_68634780.0, CM084272_1_41046375.0, CM084268_1_46422.0, CM084271_1_340894.1, CM084275_1_327930.1, CM084276_1_38558670.1, CM084274_1_42473136.0, CM084276_1_38558559.1, CM084274_1_4788084.0, CM084276_1_2855903.1, CM084271_1_39686056.0, CM084265_1_70597838.0, CM084265_1_66141834.0, CM084279_1_33759502.1, CM084270_1_2585592.0, CM084273_1_32683002.0, CM084274_1_3688102.0, CM084269_1_1558034.0","50","0.1","-0.93","-0.43","2","3","FALSE"
"3","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F3-J104-pH75.bam","CM084266_1_57882581.1, CM084265_1_68806466.1, CM084271_1_1033792.1, CM084270_1_32126728.1, CM084266_1_25399242.0, CM084276_1_38775936.1, CM084279_1_161386.0, CM084274_1_3691763.1, CM084275_1_39776486.1, CM084269_1_43525189.1, CM084272_1_26336261.0, CM084266_1_57883008.1, CM084265_1_69915221.1, CM084271_1_1033797.1, CM084265_1_72078910.0, CM084266_1_71149029.1, CM084265_1_66143629.0, CM084275_1_39774878.0, CM084266_1_67098131.1, CM084266_1_71166435.1, CM084266_1_70743740.1, CM084274_1_4793084.1, CM084265_1_70799357.1, CM084264_1_70190068.1, CM084272_1_18574380.1, CM084267_1_51248426.0, CM084268_1_42745.1, CM084266_1_23317745.0, CM084268_1_28845439.1, CM084266_1_23295918.0, CM084276_1_38117244.1, CM084279_1_10153273.1, CM084264_1_34294487.0, CM084267_1_2165108.0, CM084276_1_1856066.1, CM084275_1_400276.0, CM084276_1_25813397.0, CM084265_1_68074592.0, CM084264_1_26777912.0, CM084264_1_34294402.1, CM084267_1_50993981.1, CM084275_1_1304704.0, CM084266_1_71149025.0, CM084273_1_37927756.1, CM084264_1_66525951.0, CM084271_1_274033.1, CM084269_1_40451676.1, CM084271_1_379057.1, CM084269_1_15809932.1, CM084266_1_69806293.1","50","0.51","-0.38","-0.38","3","3","TRUE"
"4","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F3-J98-pH75.bam","CM084268_1_2706209.0, CM084265_1_68808156.1, CM084265_1_61648602.1, CM084276_1_38558590.1, CM084271_1_1052214.0, CM084264_1_68685021.0, CM084266_1_808035.1, CM084277_1_18546604.0, CM084279_1_32640578.1, CM084276_1_38775936.1, CM084278_1_23547493.0, CM084269_1_35627205.1, CM084271_1_43868125.1, CM084276_1_38539465.0, CM084266_1_67097921.0, CM084279_1_1070322.0, CM084264_1_26773650.1, CM084265_1_68525973.0, CM084276_1_1856639.0, CM084278_1_23542552.0, CM084278_1_20625152.0, CM084266_1_23411289.0, CM084268_1_276460.0, CM084275_1_8878555.0, CM084271_1_1033792.0, CM084271_1_3816215.0, CM084264_1_6990394.1, CM084276_1_38559646.1, CM084268_1_28845509.0, CM084278_1_23547493.0, CM084279_1_1072330.0, CM084277_1_30631457.0, CM084278_1_22657588.1, CM084270_1_4751756.1, CM084264_1_73312740.1, CM084270_1_4921031.1, CM084272_1_9069880.1, CM084274_1_3691337.1, CM084268_1_28851913.0, CM084278_1_20591181.1, CM084269_1_43528607.0, CM084276_1_38558458.0, CM084272_1_33572878.0, CM084277_1_31296172.0, CM084268_1_82245.0, CM084279_1_20158977.0, CM084268_1_2720940.0, CM084276_1_4125650.0, CM084268_1_50693597.1, CM084274_1_4869974.0","50","0.29","-0.22","-0.27","3","3","TRUE"
"5","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B2-pH75.bam","adapter_trim.F3-J144-pH75.bam","CM084271_1_26332979.1, CM084266_1_65401967.0, CM084276_1_1500412.0, CM084271_1_340894.1, CM084277_1_5804275.1, CM084276_1_38489687.0, CM084267_1_6421227.0, CM084267_1_8687423.0, CM084269_1_12904900.1, CM084265_1_8362532.0, CM084265_1_69924480.1, CM084278_1_8558566.1, CM084264_1_73349432.1, CM084264_1_73349423.0, CM084276_1_38117387.0, CM084269_1_43525116.0, CM084272_1_18193899.1, CM084269_1_35627219.0, CM084264_1_64269859.1, CM084278_1_279490.1, CM084275_1_2509498.1, CM084271_1_1054026.0, CM084269_1_15812959.0, CM084265_1_64585921.1, CM084275_1_35722051.0, CM084264_1_64269859.1, CM084266_1_69141202.0, CM084279_1_32640578.0, CM084266_1_65347099.1, CM084274_1_4769080.1, CM084274_1_4864753.0, CM084273_1_9136147.0, CM084269_1_43523897.1, CM084273_1_42253151.0, CM084266_1_70400406.0, CM084275_1_66811.0, CM084275_1_529161.1, CM084269_1_45280054.0, CM084264_1_65418.0, CM084273_1_32683005.1, CM084277_1_1869733.0, CM084266_1_70400406.1, CM084268_1_28851913.0, CM084265_1_1229890.1, CM084273_1_268148.1, CM084264_1_73931084.1, CM084265_1_58036225.0, CM084265_1_71899241.1, CM084268_1_50323442.0, CM084264_1_69903182.1","50","0.24","-0.5","-0.42","1","3","FALSE"
"6","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F3-J101-pH75.bam","CM084276_1_1847190.1, CM084278_1_5144747.1, CM084266_1_68661534.0, CM084269_1_1567360.1, CM084276_1_4125650.0, CM084266_1_69095441.0, CM084267_1_51167057.1, CM084279_1_10151202.1, CM084275_1_8878522.1, CM084274_1_4863041.0, CM084272_1_33571767.1, CM084264_1_73926177.0, CM084277_1_31296172.1, CM084265_1_64196855.0, CM084269_1_1558052.1, CM084273_1_42287238.1, CM084279_1_10150672.0, CM084265_1_71796309.0, CM084278_1_23539431.1, CM084269_1_4628634.0, CM084271_1_19655871.0, CM084269_1_4636404.1, CM084274_1_3691337.0, CM084275_1_20000958.0, CM084273_1_32683001.0, CM084279_1_32652116.0, CM084278_1_20625154.1, CM084274_1_3692509.0, CM084274_1_4793177.1, CM084278_1_30230906.0, CM084274_1_4868385.1, CM084269_1_4628748.1, CM084271_1_7136527.1, CM084265_1_69230159.0, CM084269_1_47563826.1, CM084279_1_10156950.1, CM084265_1_786811.1, CM084279_1_649298.1, CM084274_1_4671994.0, CM084275_1_19996863.0, CM084264_1_8099092.1, CM084277_1_36521175.1, CM084267_1_2135741.1, CM084269_1_42862797.0, CM084279_1_32666444.1, CM084274_1_4674050.1, CM084278_1_29698402.1, CM084271_1_43812187.0, CM084264_1_34293018.1, CM084268_1_298790.1","50","0.55","0.09","0.09","3","3","TRUE"
"7","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F3-J109-pH75.bam","CM084269_1_1555094.1, CM084276_1_2857930.1, CM084271_1_44086152.1, CM084264_1_72054053.1, CM084276_1_1856653.0, CM084271_1_257176.1, CM084274_1_4686932.0, CM084267_1_2165108.0, CM084278_1_23539431.1, CM084269_1_46688892.1, CM084271_1_39686056.0, CM084265_1_59221281.0, CM084273_1_42285391.1, CM084267_1_5168533.0, CM084265_1_72636285.0, CM084267_1_11257252.1, CM084264_1_69748575.0, CM084265_1_71899680.0, CM084279_1_10149628.0, CM084278_1_20734519.0, CM084270_1_4920968.1, CM084272_1_33597658.0, CM084276_1_1849333.0, CM084264_1_64487839.0, CM084275_1_23104495.0, CM084266_1_68910397.0, CM084265_1_72178250.0, CM084268_1_49533758.0, CM084276_1_1625258.1, CM084267_1_2908860.0, CM084266_1_68519988.0, CM084269_1_15823188.1, CM084264_1_68634780.0, CM084272_1_41046375.0, CM084268_1_46422.0, CM084271_1_340894.1, CM084275_1_327930.1, CM084276_1_38558670.1, CM084274_1_42473136.0, CM084276_1_38558559.1, CM084274_1_4788084.0, CM084276_1_2855903.1, CM084271_1_39686056.0, CM084265_1_70597838.0, CM084265_1_66141834.0, CM084279_1_33759502.1, CM084270_1_2585592.0, CM084273_1_32683002.0, CM084274_1_3688102.0, CM084269_1_1558034.0","50","0.37","-0.84","-0.44","3","3","TRUE"
"8","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F3-J106-pH75.bam","CM084268_1_2706209.0, CM084265_1_68808156.1, CM084265_1_61648602.1, CM084276_1_38558590.1, CM084271_1_1052214.0, CM084264_1_68685021.0, CM084266_1_808035.1, CM084277_1_18546604.0, CM084279_1_32640578.1, CM084276_1_38775936.1, CM084278_1_23547493.0, CM084269_1_35627205.1, CM084271_1_43868125.1, CM084276_1_38539465.0, CM084266_1_67097921.0, CM084279_1_1070322.0, CM084264_1_26773650.1, CM084265_1_68525973.0, CM084276_1_1856639.0, CM084278_1_23542552.0, CM084278_1_20625152.0, CM084266_1_23411289.0, CM084268_1_276460.0, CM084275_1_8878555.0, CM084271_1_1033792.0, CM084271_1_3816215.0, CM084264_1_6990394.1, CM084276_1_38559646.1, CM084268_1_28845509.0, CM084278_1_23547493.0, CM084279_1_1072330.0, CM084277_1_30631457.0, CM084278_1_22657588.1, CM084270_1_4751756.1, CM084264_1_73312740.1, CM084270_1_4921031.1, CM084272_1_9069880.1, CM084274_1_3691337.1, CM084268_1_28851913.0, CM084278_1_20591181.1, CM084269_1_43528607.0, CM084276_1_38558458.0, CM084272_1_33572878.0, CM084277_1_31296172.0, CM084268_1_82245.0, CM084279_1_20158977.0, CM084268_1_2720940.0, CM084276_1_4125650.0, CM084268_1_50693597.1, CM084274_1_4869974.0","50","0.52","-0.42","-0.14","3","3","TRUE"
"9","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F3-J139-pH75.bam","CM084279_1_1079183.1, CM084272_1_33597692.1, CM084264_1_8112731.0, CM084272_1_33617991.0, CM084271_1_19655939.0, CM084274_1_4066885.1, CM084271_1_1033926.0, CM084267_1_699449.1, CM084265_1_46089269.0, CM084274_1_4694855.0, CM084267_1_9175515.0, CM084264_1_71189798.0, CM084268_1_46382.1, CM084266_1_57882616.0, CM084276_1_1856066.1, CM084274_1_4796871.0, CM084270_1_4920968.0, CM084264_1_75278300.1, CM084275_1_328861.1, CM084265_1_58487818.0, CM084276_1_62244.1, CM084264_1_69303594.0, CM084273_1_31862197.0, CM084273_1_11263082.0, CM084265_1_64733351.1, CM084265_1_72898809.0, CM084278_1_20689080.0, CM084264_1_69902275.0, CM084271_1_274096.0, CM084275_1_400325.0, CM084271_1_1052214.0, CM084274_1_4694254.1, CM084269_1_42862803.1, CM084277_1_29782028.0, CM084264_1_74035920.1, CM084275_1_529178.1, CM084272_1_33515302.1, CM084264_1_61167189.1, CM084268_1_50790925.0, CM084275_1_23083657.0, CM084274_1_4792352.1, CM084274_1_4863048.1, CM084279_1_1892713.0, CM084264_1_69275359.1, CM084277_1_17835716.0, CM084278_1_4074392.0, CM084266_1_1230887.1, CM084264_1_70173621.1, CM084276_1_38787722.0, CM084264_1_65418.1","50","0.65","-0.48","-0.26","3","3","TRUE"
"10","adapter_trim.F2-B1-pH75.bam","adapter_trim.F2-B5-pH75.bam","adapter_trim.F3-J142-pH75.bam","CM084276_1_38558640.1, CM084264_1_73309412.1, CM084269_1_12905597.0, CM084267_1_2910818.1, CM084266_1_70396245.1, CM084279_1_10151202.1, CM084264_1_64487839.1, CM084266_1_46766307.0, CM084279_1_32666444.0, CM084278_1_16767343.0, CM084271_1_337322.1, CM084268_1_28855770.0, CM084265_1_71820726.1, CM084266_1_64723817.0, CM084270_1_47103340.0, CM084265_1_1062091.1, CM084265_1_39553345.0, CM084278_1_23542548.1, CM084273_1_31864741.0, CM084279_1_32915259.1, CM084274_1_3691763.0, CM084264_1_73604722.0, CM084265_1_69913707.1, CM084271_1_7137729.1, CM084279_1_16586120.1, CM084266_1_57888582.1, CM084278_1_22667297.1, CM084267_1_50994187.1, CM084275_1_328864.1, CM084272_1_1891482.0, CM084276_1_38787722.1, CM084278_1_20591128.1, CM084265_1_72368172.0, CM084272_1_33606995.1, CM084265_1_66143640.1, CM084273_1_31866087.1, CM084266_1_69052185.0, CM084267_1_2908130.1, CM084266_1_64723748.1, CM084276_1_38559646.1, CM084267_1_956424.1, CM084266_1_23321830.0, CM084271_1_3814148.0, CM084279_1_10147354.0, CM084267_1_2653040.0, CM084265_1_54591404.1, CM084278_1_20600197.0, CM084278_1_20591181.0, CM084271_1_43849246.1, CM084276_1_1856066.0","50","0.27","-0.29","-0.93","2","3","FALSE"
