"","id","dam","sire","LLRpair","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F3-J104-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F2-B1-pH75.bam","0.51","3","3","TRUE","CM084266_1_57882581.1, CM084265_1_68806466.1, CM084271_1_1033792.1, CM084270_1_32126728.1, CM084266_1_25399242.0, CM084276_1_38775936.1, CM084279_1_161386.0, CM084274_1_3691763.1, CM084275_1_39776486.1, CM084269_1_43525189.1, CM084272_1_26336261.0, CM084266_1_57883008.1, CM084265_1_69915221.1, CM084271_1_1033797.1, CM084265_1_72078910.0, CM084266_1_71149029.1, CM084265_1_66143629.0, CM084275_1_39774878.0, CM084266_1_67098131.1, CM084266_1_71166435.1, CM084266_1_70743740.1, CM084274_1_4793084.1, CM084265_1_70799357.1, CM084264_1_70190068.1, CM084272_1_18574380.1, CM084267_1_51248426.0, CM084268_1_42745.1, CM084266_1_23317745.0, CM084268_1_28845439.1, CM084266_1_23295918.0, CM084276_1_38117244.1, CM084279_1_10153273.1, CM084264_1_34294487.0, CM084267_1_2165108.0, CM084276_1_1856066.1, CM084275_1_400276.0, CM084276_1_25813397.0, CM084265_1_68074592.0, CM084264_1_26777912.0, CM084264_1_34294402.1, CM084267_1_50993981.1, CM084275_1_1304704.0, CM084266_1_71149025.0, CM084273_1_37927756.1, CM084264_1_66525951.0, CM084271_1_274033.1, CM084269_1_40451676.1, CM084271_1_379057.1, CM084269_1_15809932.1, CM084266_1_69806293.1"
"2","adapter_trim.F3-J109-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F2-B1-pH75.bam","0.37","3","3","TRUE","CM084269_1_1555094.1, CM084276_1_2857930.1, CM084271_1_44086152.1, CM084264_1_72054053.1, CM084276_1_1856653.0, CM084271_1_257176.1, CM084274_1_4686932.0, CM084267_1_2165108.0, CM084278_1_23539431.1, CM084269_1_46688892.1, CM084271_1_39686056.0, CM084265_1_59221281.0, CM084273_1_42285391.1, CM084267_1_5168533.0, CM084265_1_72636285.0, CM084267_1_11257252.1, CM084264_1_69748575.0, CM084265_1_71899680.0, CM084279_1_10149628.0, CM084278_1_20734519.0, CM084270_1_4920968.1, CM084272_1_33597658.0, CM084276_1_1849333.0, CM084264_1_64487839.0, CM084275_1_23104495.0, CM084266_1_68910397.0, CM084265_1_72178250.0, CM084268_1_49533758.0, CM084276_1_1625258.1, CM084267_1_2908860.0, CM084266_1_68519988.0, CM084269_1_15823188.1, CM084264_1_68634780.0, CM084272_1_41046375.0, CM084268_1_46422.0, CM084271_1_340894.1, CM084275_1_327930.1, CM084276_1_38558670.1, CM084274_1_42473136.0, CM084276_1_38558559.1, CM084274_1_4788084.0, CM084276_1_2855903.1, CM084271_1_39686056.0, CM084265_1_70597838.0, CM084265_1_66141834.0, CM084279_1_33759502.1, CM084270_1_2585592.0, CM084273_1_32683002.0, CM084274_1_3688102.0, CM084269_1_1558034.0"
"3","adapter_trim.F3-J106-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F2-B1-pH75.bam","0.52","3","3","TRUE","CM084268_1_2706209.0, CM084265_1_68808156.1, CM084265_1_61648602.1, CM084276_1_38558590.1, CM084271_1_1052214.0, CM084264_1_68685021.0, CM084266_1_808035.1, CM084277_1_18546604.0, CM084279_1_32640578.1, CM084276_1_38775936.1, CM084278_1_23547493.0, CM084269_1_35627205.1, CM084271_1_43868125.1, CM084276_1_38539465.0, CM084266_1_67097921.0, CM084279_1_1070322.0, CM084264_1_26773650.1, CM084265_1_68525973.0, CM084276_1_1856639.0, CM084278_1_23542552.0, CM084278_1_20625152.0, CM084266_1_23411289.0, CM084268_1_276460.0, CM084275_1_8878555.0, CM084271_1_1033792.0, CM084271_1_3816215.0, CM084264_1_6990394.1, CM084276_1_38559646.1, CM084268_1_28845509.0, CM084278_1_23547493.0, CM084279_1_1072330.0, CM084277_1_30631457.0, CM084278_1_22657588.1, CM084270_1_4751756.1, CM084264_1_73312740.1, CM084270_1_4921031.1, CM084272_1_9069880.1, CM084274_1_3691337.1, CM084268_1_28851913.0, CM084278_1_20591181.1, CM084269_1_43528607.0, CM084276_1_38558458.0, CM084272_1_33572878.0, CM084277_1_31296172.0, CM084268_1_82245.0, CM084279_1_20158977.0, CM084268_1_2720940.0, CM084276_1_4125650.0, CM084268_1_50693597.1, CM084274_1_4869974.0"
"4","adapter_trim.F3-J139-pH75.bam","adapter_trim.F2-B21-pH75.bam","adapter_trim.F2-B1-pH75.bam","0.65","3","3","TRUE","CM084279_1_1079183.1, CM084272_1_33597692.1, CM084264_1_8112731.0, CM084272_1_33617991.0, CM084271_1_19655939.0, CM084274_1_4066885.1, CM084271_1_1033926.0, CM084267_1_699449.1, CM084265_1_46089269.0, CM084274_1_4694855.0, CM084267_1_9175515.0, CM084264_1_71189798.0, CM084268_1_46382.1, CM084266_1_57882616.0, CM084276_1_1856066.1, CM084274_1_4796871.0, CM084270_1_4920968.0, CM084264_1_75278300.1, CM084275_1_328861.1, CM084265_1_58487818.0, CM084276_1_62244.1, CM084264_1_69303594.0, CM084273_1_31862197.0, CM084273_1_11263082.0, CM084265_1_64733351.1, CM084265_1_72898809.0, CM084278_1_20689080.0, CM084264_1_69902275.0, CM084271_1_274096.0, CM084275_1_400325.0, CM084271_1_1052214.0, CM084274_1_4694254.1, CM084269_1_42862803.1, CM084277_1_29782028.0, CM084264_1_74035920.1, CM084275_1_529178.1, CM084272_1_33515302.1, CM084264_1_61167189.1, CM084268_1_50790925.0, CM084275_1_23083657.0, CM084274_1_4792352.1, CM084274_1_4863048.1, CM084279_1_1892713.0, CM084264_1_69275359.1, CM084277_1_17835716.0, CM084278_1_4074392.0, CM084266_1_1230887.1, CM084264_1_70173621.1, CM084276_1_38787722.0, CM084264_1_65418.1"
"5","adapter_trim.F3-J108-pH75.bam","adapter_trim.F2-B6-pH75.bam","adapter_trim.F2-B1-pH75.bam","0.23","3","3","TRUE","CM084275_1_667184.1, CM084276_1_37352420.0, CM084272_1_1883067.1, CM084278_1_279354.1, CM084265_1_39553350.1, CM084267_1_5168533.1, CM084271_1_43860417.0, CM084268_1_3699708.1, CM084279_1_10149611.1, CM084264_1_70182851.0, CM084276_1_56075.1, CM084266_1_70396060.0, CM084266_1_57885009.0, CM084269_1_41809360.1, CM084274_1_4773486.1, CM084268_1_28858766.0, CM084268_1_28855770.0, CM084269_1_43524393.1, CM084268_1_3691160.0, CM084264_1_26771545.1, CM084277_1_10417524.0, CM084271_1_1033926.0, CM084265_1_71827765.0, CM084269_1_1558041.1, CM084264_1_70355122.1, CM084270_1_46587624.0, CM084275_1_39501427.1, CM084270_1_46589385.0, CM084277_1_31027263.1, CM084269_1_1556253.1, CM084264_1_70355052.1, CM084274_1_4695098.1, CM084274_1_4863779.0, CM084265_1_59221291.0, CM084277_1_29208392.0, CM084265_1_69230159.0, CM084273_1_10381194.0, CM084266_1_46766307.0, CM084264_1_70174663.1, CM084276_1_59031.1, CM084279_1_31409037.0, CM084276_1_38489687.1, CM084265_1_71265230.1, CM084278_1_23539431.0, CM084273_1_42285577.0, CM084276_1_38552515.1, CM084272_1_33616442.1, CM084266_1_69051092.0, CM084265_1_24898734.0, CM084270_1_10495977.1"
"6","adapter_trim.F3-J144-pH75.bam","adapter_trim.F2-B2-pH75.bam","adapter_trim.F2-B1-pH75.bam","0.41","1","3","FALSE","CM084269_1_43524168.0, CM084264_1_6151084.1, CM084279_1_992716.1, CM084278_1_22657612.1, CM084265_1_1062161.0, CM084268_1_49719742.1, CM084272_1_33603798.1, CM084272_1_11675308.1, CM084265_1_73060807.1, CM084267_1_591197.0, CM084265_1_71794015.0, CM084269_1_39737144.1, CM084267_1_13231056.0, CM084266_1_69089438.1, CM084277_1_29782029.1, CM084270_1_39395913.0, CM084268_1_24030545.1, CM084279_1_32666410.0, CM084274_1_42294261.0, CM084266_1_65347099.0, CM084266_1_816291.0, CM084277_1_30168380.0, CM084266_1_71166435.0, CM084274_1_4788621.1, CM084267_1_9176202.0, CM084265_1_68806466.0, CM084274_1_4727151.0, CM084271_1_44077305.0, CM084276_1_37353162.1, CM084269_1_35627219.1, CM084275_1_675783.1, CM084264_1_8099096.1, CM084278_1_32252661.1, CM084269_1_43525146.1, CM084269_1_4636404.1, CM084266_1_57882079.1, CM084274_1_4730203.1, CM084275_1_312853.1, CM084265_1_71899687.1, CM084277_1_10417524.1, CM084277_1_30611605.0, CM084270_1_9411945.1, CM084276_1_25809512.0, CM084276_1_38772790.0, CM084271_1_44104300.0, CM084278_1_8558506.1, CM084275_1_272975.0, CM084275_1_8878555.0, CM084269_1_42862798.1, CM084268_1_9292527.0"
"7","adapter_trim.F3-J113-pH75.bam","adapter_trim.F2-B3-pH75.bam","adapter_trim.F2-B1-pH75.bam","0.19","4","3","FALSE","CM084272_1_33578227.1, CM084264_1_64487818.1, CM084275_1_38995260.1, CM084265_1_976180.0, CM084279_1_32973101.0, CM084267_1_51242798.0, CM084265_1_68072879.0, CM084270_1_9413173.0, CM084271_1_43868201.0, CM084273_1_37927756.0, CM084268_1_50216562.1, CM084275_1_25393263.1, CM084279_1_1073112.1, CM084270_1_10495977.1, CM084276_1_38539465.1, CM084271_1_346616.1, CM084276_1_38788200.0, CM084276_1_38773493.0, CM084277_1_5804551.0, CM084264_1_73152605.0, CM084265_1_72071366.1, CM084279_1_32640564.0, CM084271_1_19934424.1, CM084265_1_72071409.0, CM084268_1_1508040.1, CM084265_1_70801101.0, CM084265_1_71794015.0, CM084265_1_71827765.0, CM084266_1_69051092.1, CM084275_1_35722638.0, CM084266_1_70707515.1, CM084278_1_20701467.1, CM084275_1_39781005.0, CM084265_1_71265301.0, CM084276_1_62221.1, CM084264_1_69303600.0, CM084264_1_71189810.1, CM084266_1_23321806.0, CM084276_1_20157325.1, CM084267_1_50993981.1, CM084277_1_30168102.1, CM084278_1_22654265.1, CM084271_1_379052.1, CM084266_1_57883008.1, CM084279_1_1064861.0, CM084274_1_11694910.0, CM084269_1_15827759.0, CM084272_1_33623932.1, CM084269_1_35627080.1, CM084272_1_33453804.1"
"8","adapter_trim.F3-J101-pH75.bam","adapter_trim.F2-B11-pH75.bam","adapter_trim.F2-B10-pH75.bam","0.85","1","3","FALSE","CM084267_1_52896140.1, CM084268_1_18519471.0, CM084266_1_69063995.1, CM084264_1_66522464.1, CM084269_1_39737118.1, CM084271_1_340905.1, CM084276_1_2841292.1, CM084270_1_46589385.1, CM084265_1_68806425.0, CM084276_1_1856888.1, CM084275_1_39776469.0, CM084275_1_36064337.1, CM084276_1_56048.1, CM084276_1_38788200.0, CM084264_1_61167131.1, CM084266_1_70706235.0, CM084271_1_44090328.1, CM084264_1_8099096.0, CM084266_1_68478650.1, CM084277_1_5804570.0, CM084265_1_66141859.0, CM084269_1_35627219.1, CM084267_1_3748455.1, CM084268_1_82245.0, CM084272_1_1891499.0, CM084267_1_8118540.0, CM084271_1_44070260.1, CM084275_1_19996655.1, CM084277_1_4876009.0, CM084271_1_19655964.0, CM084271_1_3814120.1, CM084277_1_30953033.1, CM084266_1_63167173.0, CM084271_1_37244915.1, CM084279_1_1079183.0, CM084265_1_65232929.0, CM084274_1_4723647.1, CM084266_1_69141161.0, CM084264_1_70182851.1, CM084267_1_5881718.1, CM084264_1_71721959.0, CM084278_1_23541775.0, CM084265_1_54591404.0, CM084264_1_70175564.1, CM084268_1_49082756.0, CM084270_1_4751853.1, CM084269_1_15799390.1, CM084265_1_794843.0, CM084267_1_30269806.0, CM084275_1_40519747.0"
"9","adapter_trim.F3-J102-pH75.bam","adapter_trim.F2-B5-pH75.bam","adapter_trim.F2-B10-pH75.bam","0.3","2","3","FALSE","CM084264_1_69875456.1, CM084274_1_4708063.0, CM084276_1_38558604.0, CM084275_1_327919.0, CM084277_1_31296163.0, CM084276_1_38787722.1, CM084269_1_40338566.1, CM084267_1_2426163.0, CM084270_1_8242350.1, CM084264_1_26771547.1, CM084275_1_38995254.0, CM084264_1_64269877.0, CM084271_1_44073407.1, CM084269_1_45420483.1, CM084266_1_68960407.1, CM084275_1_25397320.0, CM084267_1_3204556.1, CM084279_1_10159270.1, CM084275_1_36064337.1, CM084264_1_70471566.0, CM084275_1_40706385.1, CM084271_1_3819398.1, CM084271_1_30532473.0, CM084265_1_65268038.1, CM084272_1_43469487.0, CM084266_1_57882817.0, CM084272_1_33452045.0, CM084275_1_1304711.0, CM084265_1_66689301.1, CM084276_1_1625258.0, CM084266_1_69793914.0, CM084279_1_10159270.1, CM084269_1_43523945.0, CM084264_1_73308596.1, CM084264_1_6956700.0, CM084272_1_18194957.1, CM084264_1_34301190.1, CM084266_1_70531191.0, CM084269_1_15812965.1, CM084271_1_44070260.1, CM084264_1_74266371.1, CM084270_1_10496921.1, CM084267_1_2165108.0, CM084271_1_44104310.1, CM084274_1_5046195.0, CM084277_1_1868381.1, CM084267_1_6418250.1, CM084272_1_33578227.1, CM084269_1_45280054.0, CM084264_1_2740285.0"
"10","adapter_trim.F3-J111-pH75.bam","adapter_trim.F2-B14-pH75.bam","adapter_trim.F2-B10-pH75.bam","0.34","2","3","FALSE","CM084269_1_1549405.0, CM084264_1_70175545.1, CM084269_1_1558034.0, CM084265_1_68806414.0, CM084270_1_42348999.0, CM084265_1_68869491.1, CM084278_1_20732803.1, CM084275_1_272975.1, CM084267_1_30269806.1, CM084265_1_71827738.1, CM084264_1_34301201.1, CM084278_1_22665042.1, CM084264_1_34294652.1, CM084272_1_33597692.1, CM084274_1_3691349.1, CM084276_1_20156972.1, CM084272_1_33617974.0, CM084273_1_21179270.1, CM084271_1_44077341.0, CM084264_1_8099096.1, CM084275_1_312851.1, CM084266_1_70195701.0, CM084264_1_64875158.0, CM084276_1_37353162.0, CM084276_1_12383618.0, CM084278_1_23536520.0, CM084266_1_57886823.1, CM084271_1_44190489.0, CM084265_1_73061238.0, CM084270_1_10495977.0, CM084268_1_2720906.1, CM084274_1_4730089.0, CM084265_1_58487819.1, CM084265_1_59221275.1, CM084267_1_13261449.1, CM084269_1_4625303.0, CM084268_1_50739258.0, CM084266_1_58087045.1, CM084275_1_400325.1, CM084274_1_4686930.1, CM084279_1_1196450.1, CM084277_1_29208301.1, CM084266_1_70706235.1, CM084274_1_4708834.0, CM084265_1_66143629.1, CM084264_1_70175500.0, CM084265_1_72368293.1, CM084276_1_38943253.0, CM084272_1_18194192.0, CM084270_1_39395913.0"
