"","id","dam","sire","LLRpair","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F2-B19-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.68","2","1, 4","FALSE","CM084264_1_69275359.1, CM084270_1_47077463.0, CM084270_1_4751873.0, CM084271_1_43851333.1, CM084273_1_32698879.1, CM084279_1_10149547.0, CM084270_1_12307506.1, CM084265_1_72078910.0, CM084267_1_8687446.1, CM084272_1_33453892.1, CM084276_1_25809361.1, CM084269_1_15828545.0, CM084275_1_40706385.0, CM084276_1_38271842.1, CM084279_1_1196450.1, CM084269_1_43525116.1, CM084266_1_70396245.0, CM084267_1_2135741.1, CM084269_1_46688909.1, CM084269_1_40451682.0, CM084274_1_7449618.1, CM084279_1_1073400.1, CM084279_1_32666409.1, CM084264_1_73283219.1, CM084265_1_64585921.1, CM084271_1_19655927.1, CM084273_1_32683023.1, CM084266_1_69051090.1, CM084264_1_34291216.0, CM084268_1_3702289.0, CM084265_1_64733351.0, CM084264_1_6990394.0, CM084276_1_38970473.0, CM084276_1_38558546.0, CM084265_1_3130643.0, CM084273_1_31862787.1, CM084266_1_68910397.1, CM084264_1_66561947.0, CM084266_1_57883008.1, CM084267_1_48167433.1, CM084269_1_1556138.0, CM084265_1_8361584.0, CM084266_1_69050667.1, CM084264_1_69271980.1, CM084266_1_69315469.1, CM084268_1_2717677.1, CM084268_1_24030404.1, CM084265_1_71797896.1, CM084268_1_298786.0, CM084269_1_45423025.0"
"2","adapter_trim.F2-J48-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.11","2","1, 4","FALSE","CM084268_1_28845789.0, CM084266_1_69794604.0, CM084266_1_65993531.1, CM084274_1_4867333.0, CM084276_1_4238165.1, CM084275_1_328864.0, CM084271_1_274033.0, CM084271_1_44077330.1, CM084268_1_28845501.0, CM084267_1_52593733.0, CM084269_1_35627068.1, CM084275_1_319819.0, CM084278_1_277789.1, CM084266_1_57882573.0, CM084276_1_37144250.1, CM084264_1_70174663.0, CM084276_1_38970482.1, CM084265_1_59221301.0, CM084274_1_4708748.1, CM084269_1_4636406.0, CM084265_1_71926735.0, CM084271_1_30532438.0, CM084271_1_344606.1, CM084279_1_1064861.0, CM084271_1_1054026.0, CM084275_1_319819.1, CM084269_1_15827787.0, CM084275_1_1212337.1, CM084266_1_68643450.1, CM084267_1_727876.1, CM084269_1_40451676.1, CM084265_1_66688742.0, CM084269_1_1538788.0, CM084264_1_73349432.0, CM084269_1_39737118.0, CM084265_1_64733395.1, CM084273_1_31862642.1, CM084271_1_43816629.1, CM084274_1_4694190.1, CM084267_1_11257260.1, CM084269_1_43528587.0, CM084274_1_4795049.1, CM084267_1_728194.0, CM084264_1_70390974.1, CM084274_1_4694522.1, CM084264_1_69902275.0, CM084266_1_816291.1, CM084271_1_218835.0, CM084265_1_73061238.1, CM084277_1_31027263.1"
"3","adapter_trim.F2-J6-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.28","2, 4","1, 4","TRUE","CM084275_1_126552.0, CM084274_1_5033051.1, CM084276_1_6688311.0, CM084271_1_26332979.0, CM084279_1_32650016.0, CM084279_1_31073068.0, CM084266_1_68919262.1, CM084278_1_22654720.0, CM084276_1_20157323.0, CM084279_1_16586120.0, CM084272_1_36474233.0, CM084267_1_832165.1, CM084274_1_4727318.0, CM084271_1_274110.0, CM084266_1_38532340.0, CM084271_1_19655927.1, CM084272_1_33607000.0, CM084276_1_12399731.0, CM084275_1_39394564.0, CM084271_1_1033926.0, CM084274_1_4869791.1, CM084274_1_4792256.1, CM084273_1_7839325.1, CM084277_1_31027250.1, CM084277_1_31027250.1, CM084266_1_71166449.1, CM084266_1_59356462.1, CM084274_1_4694239.1, CM084265_1_70594980.0, CM084266_1_71148891.0, CM084267_1_51366722.1, CM084274_1_4864445.0, CM084265_1_1062071.1, CM084269_1_1556175.0, CM084275_1_35722063.1, CM084267_1_52092644.1, CM084276_1_20157071.0, CM084276_1_935645.0, CM084268_1_50323439.1, CM084270_1_2585592.1, CM084264_1_65408.0, CM084269_1_1558041.1, CM084268_1_2720906.0, CM084266_1_57841523.1, CM084279_1_10156946.0, CM084268_1_24031315.0, CM084278_1_19961223.0, CM084273_1_31862642.1, CM084271_1_43868179.1, CM084276_1_38787722.0"
"4","adapter_trim.F2-J63-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.45","2","1, 4","FALSE","CM084266_1_50301559.1, CM084272_1_1726223.0, CM084274_1_4795858.1, CM084265_1_69924480.1, CM084272_1_18170761.1, CM084264_1_66525875.1, CM084269_1_45310979.0, CM084265_1_64196888.1, CM084266_1_68320526.0, CM084265_1_72636278.0, CM084274_1_21933138.1, CM084268_1_50315.1, CM084269_1_1563962.1, CM084265_1_59221301.1, CM084274_1_4732023.0, CM084264_1_66525875.1, CM084265_1_68798214.1, CM084264_1_64269859.1, CM084264_1_72075479.1, CM084270_1_15641798.1, CM084269_1_43525341.0, CM084277_1_30168398.1, CM084278_1_25830477.0, CM084264_1_66439568.1, CM084275_1_20000958.1, CM084271_1_26332979.1, CM084275_1_39780930.1, CM084274_1_4869944.1, CM084268_1_46448.1, CM084274_1_4709636.0, CM084264_1_6151081.0, CM084265_1_71926735.0, CM084278_1_20600197.0, CM084274_1_41688609.0, CM084276_1_38558559.0, CM084266_1_64725871.0, CM084279_1_161458.0, CM084265_1_794843.1, CM084264_1_74989681.0, CM084274_1_42855649.0, CM084274_1_42855649.0, CM084269_1_15826462.1, CM084264_1_15073840.1, CM084264_1_70173613.1, CM084265_1_70801089.1, CM084269_1_1563979.0, CM084275_1_39774878.1, CM084271_1_44073407.0, CM084272_1_18193899.0, CM084269_1_46692120.1"
"5","adapter_trim.F2-B1-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.82","2","1, 4","FALSE","CM084279_1_1070761.0, CM084273_1_214007.0, CM084264_1_69863993.1, CM084269_1_46745707.1, CM084269_1_43524676.0, CM084269_1_42862718.0, CM084267_1_51167077.0, CM084266_1_59356462.0, CM084271_1_342830.0, CM084276_1_54402.0, CM084265_1_71899669.0, CM084276_1_38772790.0, CM084273_1_11263082.1, CM084274_1_4867333.0, CM084267_1_51167096.1, CM084274_1_4732023.1, CM084275_1_39500153.1, CM084274_1_4870197.1, CM084277_1_30168106.0, CM084272_1_18189795.1, CM084264_1_26777912.1, CM084274_1_42855653.0, CM084265_1_64735421.1, CM084271_1_44075859.0, CM084274_1_4727318.0, CM084266_1_59356462.1, CM084269_1_1558064.1, CM084272_1_33453804.0, CM084278_1_22667331.0, CM084279_1_33014997.1, CM084271_1_342830.1, CM084278_1_31960635.0, CM084274_1_4723640.0, CM084269_1_12904900.0, CM084267_1_52593751.1, CM084268_1_276460.0, CM084275_1_8878521.0, CM084271_1_3819548.0, CM084274_1_4720394.1, CM084276_1_1500490.1, CM084274_1_42855649.1, CM084271_1_290001.0, CM084269_1_47265300.1, CM084268_1_28845336.0, CM084272_1_43469474.0, CM084279_1_31409052.1, CM084269_1_43524472.0, CM084266_1_70396245.0, CM084271_1_43816629.1, CM084274_1_4734035.1"
"6","adapter_trim.F2-J26-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.19","3","1, 4","FALSE","CM084273_1_32698894.1, CM084265_1_64196870.1, CM084269_1_4625303.1, CM084270_1_26890196.1, CM084271_1_44190489.0, CM084264_1_65424.0, CM084277_1_10417524.1, CM084268_1_50739244.0, CM084269_1_15798267.0, CM084275_1_400320.1, CM084277_1_30953078.0, CM084265_1_71899687.1, CM084265_1_71926735.1, CM084272_1_41037487.1, CM084264_1_66525875.0, CM084264_1_70174613.1, CM084266_1_68319456.0, CM084265_1_68074259.1, CM084268_1_42745.1, CM084274_1_4694967.1, CM084268_1_3695238.0, CM084266_1_50301523.0, CM084266_1_23295280.0, CM084264_1_70390974.1, CM084274_1_4734036.0, CM084272_1_2073150.0, CM084264_1_69271981.0, CM084267_1_8118616.0, CM084269_1_15798363.0, CM084272_1_43331300.0, CM084264_1_72011613.0, CM084267_1_6418351.1, CM084271_1_3819398.0, CM084264_1_65408.1, CM084269_1_1556935.0, CM084269_1_47265506.1, CM084274_1_21933150.0, CM084276_1_1847305.0, CM084274_1_4778592.1, CM084269_1_43525133.0, CM084271_1_274110.0, CM084269_1_43524375.0, CM084275_1_39394564.1, CM084278_1_15228738.0, CM084279_1_32915293.1, CM084266_1_70531191.1, CM084264_1_66439628.1, CM084269_1_45238247.1, CM084271_1_43849282.1, CM084271_1_30532401.0"
"7","adapter_trim.F2-J5-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.68","2","1, 4","FALSE","CM084275_1_267983.1, CM084265_1_72986756.0, CM084276_1_2855799.1, CM084264_1_64487824.0, CM084270_1_47076365.0, CM084271_1_4574012.1, CM084276_1_36515301.1, CM084279_1_32644251.0, CM084269_1_4628748.1, CM084278_1_23536960.0, CM084265_1_72071381.1, CM084271_1_19655909.1, CM084265_1_1816612.0, CM084270_1_9408154.1, CM084276_1_1625254.1, CM084271_1_44069759.0, CM084267_1_2653035.1, CM084278_1_22657612.1, CM084279_1_10153273.0, CM084269_1_1567129.1, CM084277_1_29208301.1, CM084268_1_2720906.1, CM084265_1_64733351.0, CM084267_1_13261464.0, CM084271_1_276716.0, CM084269_1_1549398.1, CM084268_1_50739258.1, CM084265_1_58487818.0, CM084264_1_74266331.0, CM084266_1_64725837.0, CM084272_1_43469487.0, CM084274_1_4694578.1, CM084270_1_19461856.1, CM084269_1_43525116.1, CM084265_1_73060895.0, CM084273_1_31863792.1, CM084276_1_38096618.1, CM084269_1_15809963.0, CM084269_1_4625303.1, CM084273_1_32683002.0, CM084270_1_42348997.1, CM084268_1_28855794.1, CM084265_1_24901907.0, CM084269_1_15823954.1, CM084269_1_47563826.0, CM084278_1_20623588.1, CM084277_1_30623529.0, CM084275_1_23096151.0, CM084274_1_4694551.0, CM084266_1_66483880.0"
"8","adapter_trim.F2-J51-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.35","1","1, 4","TRUE","CM084272_1_36474160.1, CM084268_1_23612508.1, CM084276_1_935645.1, CM084264_1_34292374.1, CM084264_1_70456947.0, CM084269_1_39737144.1, CM084266_1_66383611.0, CM084271_1_44086160.1, CM084277_1_30027552.0, CM084267_1_2652523.0, CM084269_1_43525116.1, CM084264_1_70173621.1, CM084269_1_45438499.1, CM084265_1_68074592.1, CM084264_1_70191778.1, CM084278_1_23539431.0, CM084276_1_37353162.0, CM084274_1_4792130.1, CM084272_1_7002402.1, CM084271_1_26324154.1, CM084275_1_38995260.0, CM084266_1_58111750.1, CM084270_1_47077588.1, CM084269_1_47265300.1, CM084265_1_959807.0, CM084271_1_43849282.0, CM084271_1_19656061.0, CM084277_1_10628425.0, CM084269_1_43523784.1, CM084266_1_61737006.1, CM084265_1_70609248.1, CM084269_1_15817354.1, CM084266_1_70706238.0, CM084271_1_3819548.0, CM084265_1_72368258.0, CM084269_1_43524068.1, CM084268_1_50323442.1, CM084267_1_11257244.0, CM084275_1_38169337.0, CM084278_1_20736236.1, CM084275_1_25393263.1, CM084267_1_6420828.1, CM084276_1_25813397.1, CM084276_1_37352420.0, CM084278_1_5144752.0, CM084269_1_46692137.0, CM084273_1_11267029.0, CM084264_1_74721251.0, CM084265_1_73060807.1, CM084268_1_50202339.0"
"9","adapter_trim.F2-J50-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B1-pH75.bam","0.25","1","1, 4","TRUE","CM084279_1_32917232.0, CM084274_1_3691337.0, CM084266_1_70706263.1, CM084279_1_1892713.1, CM084276_1_2841296.1, CM084278_1_5144747.1, CM084273_1_9136147.1, CM084271_1_43816629.1, CM084265_1_70798989.0, CM084271_1_44086152.0, CM084276_1_11705154.0, CM084267_1_30270830.1, CM084269_1_45238254.1, CM084266_1_57888640.1, CM084275_1_400262.0, CM084267_1_2910789.1, CM084274_1_4795479.1, CM084275_1_25400810.0, CM084268_1_50225017.1, CM084271_1_19656061.1, CM084272_1_18170761.0, CM084265_1_68806450.1, CM084277_1_30168398.0, CM084268_1_9292474.1, CM084272_1_1891499.1, CM084271_1_43860460.0, CM084279_1_161176.1, CM084273_1_33585263.1, CM084265_1_794917.1, CM084278_1_20858390.1, CM084279_1_1196450.0, CM084265_1_64969585.0, CM084266_1_69793931.1, CM084271_1_44086152.0, CM084272_1_1891482.1, CM084267_1_2081904.0, CM084277_1_30168102.1, CM084271_1_43934352.0, CM084272_1_18574380.0, CM084275_1_25393422.1, CM084278_1_4074311.1, CM084266_1_57885009.0, CM084269_1_47265482.0, CM084264_1_69682047.0, CM084271_1_1052214.1, CM084270_1_46590816.1, CM084267_1_50392692.0, CM084266_1_68478650.1, CM084275_1_1303251.1, CM084278_1_22667330.0"
"10","adapter_trim.F2-B10-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B14-pH75.bam","0.1","3","1, 4","FALSE","CM084268_1_50200519.1, CM084266_1_70686279.0, CM084265_1_71794015.1, CM084273_1_31862649.1, CM084265_1_73059931.1, CM084276_1_1847190.1, CM084271_1_3819803.1, CM084275_1_400276.1, CM084269_1_41809353.0, CM084269_1_40447963.0, CM084265_1_59221291.1, CM084268_1_28845522.0, CM084265_1_70597838.0, CM084265_1_72071381.1, CM084277_1_30168398.0, CM084270_1_42348997.1, CM084273_1_9136147.1, CM084276_1_38558602.0, CM084269_1_15799403.0, CM084274_1_4795460.1, CM084276_1_12399731.1, CM084272_1_9070882.1, CM084268_1_9292474.0, CM084267_1_48167440.0, CM084265_1_72368172.1, CM084272_1_43331300.1, CM084274_1_42859664.1, CM084277_1_29208310.1, CM084266_1_68910397.0, CM084268_1_28858766.0, CM084266_1_23295925.1, CM084273_1_32683016.1, CM084273_1_21179270.0, CM084278_1_22644747.1, CM084274_1_4867333.1, CM084266_1_57888742.1, CM084268_1_282153.0, CM084266_1_57888166.1, CM084272_1_33597669.0, CM084267_1_51248500.0, CM084266_1_38532340.0, CM084274_1_4862958.0, CM084279_1_32917233.0, CM084271_1_3821130.1, CM084275_1_23095265.1, CM084267_1_50993881.1, CM084269_1_1558041.0, CM084273_1_7826703.1, CM084271_1_340894.1, CM084279_1_10156950.1"
