"","id","dam","sire","LLRpair","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F1-B9-pH8.bam","adapter_trim.F0-B10.bam","adapter_trim.F0-B1.bam","0.45","2, 3, 5","3, 4, 5","TRUE","CM084268_1_14768218.0, CM084272_1_33515314.1, CM084265_1_70801089.1, CM084266_1_71166448.0, CM084269_1_12904900.1, CM084271_1_26324168.0, CM084269_1_12904900.0, CM084264_1_73927104.0, CM084266_1_69793914.0, CM084274_1_21938486.0, CM084264_1_69275359.1, CM084276_1_62244.1, CM084274_1_4863903.0, CM084266_1_63468218.1, CM084267_1_51033717.0, CM084271_1_44134413.0, CM084265_1_65233017.0, CM084272_1_18194306.0, CM084271_1_44091713.0, CM084271_1_44190417.1, CM084265_1_70799357.1, CM084266_1_57885009.0, CM084274_1_4694263.1, CM084279_1_10150672.1, CM084269_1_35627219.0, CM084269_1_45310996.0, CM084266_1_71148891.0, CM084270_1_2585592.1, CM084279_1_1070763.1, CM084274_1_41688611.0, CM084274_1_34976974.1, CM084275_1_1304704.0, CM084279_1_32915259.0, CM084272_1_41037487.1, CM084275_1_25388888.0, CM084267_1_699404.0, CM084271_1_44075863.1, CM084267_1_51366722.0, CM084271_1_43860497.0, CM084267_1_2908130.1, CM084268_1_50202371.1, CM084266_1_67239897.0, CM084265_1_64528148.1, CM084264_1_70466179.0, CM084268_1_3699589.0, CM084277_1_10628755.0, CM084271_1_346616.0, CM084274_1_4795049.0, CM084269_1_46689548.1, CM084269_1_1549398.1"
"2","adapter_trim.F1-J313-pH75.bam","adapter_trim.F0-B14.bam","adapter_trim.F0-B1.bam","0.57","2, 3, 4, 5","3, 4, 5","TRUE","CM084265_1_70798125.1, CM084276_1_1625254.0, CM084264_1_12084151.0, CM084265_1_794840.1, CM084276_1_38559646.1, CM084279_1_10149547.1, CM084266_1_816291.1, CM084277_1_30953045.0, CM084264_1_70355122.1, CM084266_1_68884692.1, CM084278_1_20695466.1, CM084274_1_4730081.0, CM084269_1_1544433.0, CM084267_1_6421555.1, CM084268_1_82411.0, CM084269_1_12905597.0, CM084266_1_70743740.1, CM084279_1_10156984.0, CM084279_1_32673936.0, CM084268_1_298786.0, CM084272_1_44059285.0, CM084276_1_1856932.0, CM084278_1_20867809.0, CM084271_1_3805848.1, CM084271_1_26332994.0, CM084270_1_39395973.1, CM084272_1_36474160.1, CM084265_1_65322091.0, CM084267_1_8118559.1, CM084272_1_1307854.1, CM084264_1_34293009.1, CM084271_1_44069759.1, CM084273_1_42253181.1, CM084264_1_34301159.0, CM084275_1_38169338.1, CM084267_1_48167433.1, CM084276_1_38772790.1, CM084268_1_24030546.1, CM084268_1_49719639.0, CM084267_1_11257252.1, CM084275_1_39394589.1, CM084279_1_1882771.0, CM084271_1_257149.1, CM084267_1_4505260.1, CM084267_1_48167433.1, CM084272_1_1891463.0, CM084269_1_46858338.1, CM084279_1_1070294.1, CM084275_1_39502454.1, CM084268_1_50679469.0"
"3","adapter_trim.F1-J255-pH75.bam","adapter_trim.F0-B20.bam","adapter_trim.F0-B1.bam","0.56","2, 4","3, 4, 5","TRUE","CM084275_1_120896.1, CM084275_1_39776646.0, CM084276_1_2841302.0, CM084264_1_26773650.1, CM084265_1_64735421.0, CM084276_1_11705154.1, CM084266_1_64164380.0, CM084274_1_4788084.1, CM084274_1_42294261.0, CM084274_1_4788084.0, CM084265_1_64585926.0, CM084274_1_4726638.1, CM084269_1_41819713.1, CM084268_1_3699589.0, CM084266_1_57882736.0, CM084269_1_43527808.0, CM084265_1_65322123.0, CM084264_1_34294476.1, CM084267_1_2908852.0, CM084276_1_38559646.0, CM084264_1_66439568.0, CM084264_1_34300493.1, CM084267_1_832165.0, CM084266_1_63468226.0, CM084279_1_31068246.1, CM084264_1_73927181.0, CM084275_1_25395465.0, CM084264_1_66077502.0, CM084266_1_63466127.1, CM084266_1_816291.0, CM084268_1_28845823.1, CM084271_1_44086160.1, CM084269_1_15823954.0, CM084264_1_8112674.0, CM084267_1_5168533.1, CM084265_1_58530104.0, CM084265_1_68074592.1, CM084268_1_938570.0, CM084278_1_22644846.0, CM084264_1_34294660.0, CM084275_1_35722638.0, CM084267_1_6418250.1, CM084265_1_58036225.1, CM084265_1_46089462.1, CM084269_1_41823136.1, CM084279_1_16586120.1, CM084265_1_69381455.1, CM084271_1_1052235.1, CM084276_1_1855851.1, CM084264_1_70471577.1"
"4","adapter_trim.3.bam","adapter_trim.F0-B27.bam","adapter_trim.F0-B1.bam","0.71","3","3, 4, 5","TRUE","CM084270_1_10496921.1, CM084275_1_25397333.0, CM084277_1_29781980.1, CM084267_1_48167433.0, CM084271_1_19655226.1, CM084272_1_33571767.1, CM084275_1_19996863.1, CM084271_1_3819803.0, CM084271_1_340905.1, CM084264_1_73291570.1, CM084268_1_50679469.1, CM084275_1_524614.1, CM084277_1_17835716.0, CM084274_1_3691747.0, CM084277_1_1858867.1, CM084267_1_52092638.0, CM084277_1_36521583.1, CM084277_1_31027256.0, CM084264_1_66439628.0, CM084273_1_32698879.1, CM084265_1_72091374.0, CM084268_1_1508040.1, CM084268_1_42008.0, CM084264_1_64269877.0, CM084266_1_70396245.1, CM084279_1_1072380.0, CM084271_1_344406.1, CM084265_1_73060663.1, CM084277_1_31027250.1, CM084267_1_5168533.1, CM084274_1_4863048.0, CM084264_1_34301190.0, CM084275_1_39501427.1, CM084274_1_4795468.1, CM084270_1_26890196.0, CM084264_1_70471566.0, CM084271_1_43849246.0, CM084269_1_41823136.1, CM084267_1_52593775.1, CM084269_1_15812958.0, CM084275_1_319814.1, CM084278_1_22667307.0, CM084276_1_1856888.0, CM084265_1_68798225.0, CM084264_1_69902275.0, CM084277_1_30168380.1, CM084268_1_1326515.0, CM084279_1_32652113.0, CM084269_1_35627080.1, CM084267_1_51167077.1"
"5","adapter_trim.F1-J210-pH75.bam","adapter_trim.F0-B10.bam","adapter_trim.F0-B1.bam","0.41","2, 3, 5","3, 4, 5","TRUE","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1"
"6","adapter_trim.5.bam","adapter_trim.F0-B10.bam","adapter_trim.F0-B11.bam","0.3","2, 3, 5","1, 2, 3","TRUE","CM084267_1_5161036.0, CM084279_1_10147284.0, CM084268_1_24031315.0, CM084265_1_61648598.0, CM084270_1_46589386.1, CM084265_1_70799357.1, CM084274_1_4796079.1, CM084267_1_5882424.0, CM084268_1_50679551.0, CM084266_1_68322194.0, CM084264_1_70471577.1, CM084265_1_1816578.0, CM084274_1_4694558.0, CM084265_1_69230159.0, CM084264_1_64489814.0, CM084268_1_28851946.0, CM084268_1_1326643.1, CM084267_1_50392699.0, CM084264_1_72118697.0, CM084273_1_31865846.1, CM084265_1_71796271.0, CM084278_1_22644846.0, CM084275_1_327918.0, CM084265_1_72636278.1, CM084276_1_38558658.0, CM084264_1_69271981.1, CM084276_1_20157071.1, CM084277_1_30611511.0, CM084274_1_42859637.0, CM084265_1_72926026.0, CM084267_1_2653032.1, CM084270_1_4920935.1, CM084268_1_50225502.0, CM084264_1_68685021.0, CM084266_1_70181820.1, CM084272_1_1894340.0, CM084270_1_46587591.1, CM084264_1_73926160.0, CM084266_1_70706235.0, CM084279_1_31073085.0, CM084276_1_37353183.1, CM084268_1_28845782.1, CM084271_1_3820382.1, CM084264_1_66439662.0, CM084265_1_71265269.0, CM084279_1_31073085.1, CM084266_1_63468235.0, CM084265_1_69230159.1, CM084272_1_33617974.0, CM084268_1_24031324.0"
"7","adapter_trim.F1-B12-pH75.bam","adapter_trim.F0-B27.bam","adapter_trim.F0-B11.bam","0.21","3","1, 2, 3","TRUE","CM084271_1_44090307.1, CM084275_1_327911.0, CM084279_1_32666410.0, CM084276_1_12385340.1, CM084275_1_327388.0, CM084267_1_2652774.1, CM084270_1_8242343.1, CM084274_1_21933150.0, CM084271_1_44086152.0, CM084267_1_956424.1, CM084268_1_24030404.1, CM084271_1_4574012.1, CM084275_1_667604.0, CM084269_1_15812965.1, CM084267_1_2653035.0, CM084268_1_276460.0, CM084270_1_39395913.1, CM084278_1_20734513.0, CM084271_1_3820313.1, CM084266_1_71149027.1, CM084279_1_10153273.0, CM084271_1_379009.1, CM084266_1_63466127.0, CM084271_1_43849282.0, CM084268_1_50225498.0, CM084265_1_72368293.1, CM084274_1_42859664.1, CM084270_1_26884058.1, CM084278_1_34806817.0, CM084264_1_69903182.0, CM084279_1_32666441.1, CM084269_1_15827788.0, CM084279_1_31073068.1, CM084274_1_4704387.1, CM084265_1_70594980.0, CM084273_1_7839386.0, CM084271_1_43860505.0, CM084277_1_1868694.0, CM084275_1_8878522.1, CM084270_1_9408154.0, CM084269_1_15828548.1, CM084277_1_6198970.1, CM084265_1_58531646.0, CM084266_1_69314168.1, CM084269_1_4628639.0, CM084266_1_68661769.0, CM084265_1_69230159.1, CM084264_1_68688975.1, CM084271_1_44104310.1, CM084264_1_26777912.1"
"8","adapter_trim.F1-B6-pH75.bam","adapter_trim.F0-B10.bam","adapter_trim.F0-B11.bam","0.49","2, 3, 5","1, 2, 3","TRUE","CM084269_1_1572991.1, CM084279_1_10157010.0, CM084276_1_38797641.0, CM084265_1_68869208.1, CM084278_1_281214.1, CM084275_1_25395524.0, CM084264_1_61167140.0, CM084276_1_38961028.0, CM084265_1_66141850.0, CM084266_1_69806294.0, CM084265_1_8361562.1, CM084276_1_37352348.1, CM084266_1_70531188.1, CM084265_1_68869208.0, CM084269_1_46688892.0, CM084276_1_38970473.0, CM084274_1_4792256.0, CM084272_1_2072764.1, CM084265_1_8361584.0, CM084276_1_38558458.0, CM084268_1_2713890.1, CM084266_1_63466127.0, CM084265_1_60313980.1, CM084269_1_43523897.1, CM084270_1_4920918.0, CM084271_1_7136506.1, CM084278_1_23541026.0, CM084269_1_47716263.1, CM084264_1_69748575.0, CM084269_1_43525440.1, CM084274_1_4695002.1, CM084265_1_68806450.0, CM084270_1_9408154.1, CM084269_1_1567462.1, CM084269_1_41819713.1, CM084275_1_23075960.0, CM084265_1_68806466.1, CM084276_1_38961028.0, CM084271_1_218855.1, CM084271_1_43817223.1, CM084265_1_70980049.1, CM084279_1_30773321.1, CM084272_1_1891465.0, CM084279_1_10149596.1, CM084276_1_20157216.0, CM084274_1_4709636.0, CM084275_1_524647.1, CM084264_1_72912659.1, CM084270_1_47077595.1, CM084276_1_25807604.1"
"9","adapter_trim.104.bam","adapter_trim.F0-B26.bam","adapter_trim.F0-B11.bam","0.7","2, 4, 5","1, 2, 3","TRUE","CM084272_1_1308683.0, CM084264_1_64489814.1, CM084268_1_2832742.1, CM084270_1_39395913.0, CM084274_1_4795049.0, CM084274_1_4769100.1, CM084275_1_120888.1, CM084274_1_5046195.1, CM084271_1_344493.0, CM084271_1_1033797.0, CM084265_1_64832885.0, CM084267_1_2908852.1, CM084279_1_1064680.1, CM084277_1_18545014.1, CM084266_1_57888166.0, CM084276_1_12392691.1, CM084268_1_276460.1, CM084279_1_10151201.0, CM084275_1_35722060.1, CM084266_1_57882838.0, CM084264_1_71189798.0, CM084264_1_15064482.1, CM084271_1_44077341.0, CM084275_1_272975.0, CM084269_1_45420345.0, CM084270_1_42355504.1, CM084266_1_63468235.0, CM084270_1_47076329.1, CM084266_1_65347099.0, CM084265_1_66143640.0, CM084274_1_4870197.1, CM084268_1_28845501.1, CM084274_1_4793445.0, CM084275_1_20000990.0, CM084266_1_57883008.0, CM084266_1_69315499.0, CM084271_1_30532401.0, CM084264_1_66561947.0, CM084274_1_3691747.0, CM084276_1_38773493.0, CM084267_1_1134553.0, CM084269_1_40447978.0, CM084279_1_32665186.0, CM084265_1_71827765.1, CM084272_1_1891463.1, CM084269_1_47255823.0, CM084272_1_1891465.0, CM084265_1_68869491.0, CM084268_1_47694452.0, CM084278_1_29698392.0"
"10","adapter_trim.204.bam","adapter_trim.F0-B27.bam","adapter_trim.F0-B11.bam","0.58","3","1, 2, 3","TRUE","CM084275_1_675849.0, CM084272_1_33515302.0, CM084269_1_15818485.1, CM084269_1_45238254.0, CM084264_1_72011634.0, CM084266_1_58087045.1, CM084266_1_57882817.1, CM084274_1_4793173.1, CM084272_1_25266666.0, CM084272_1_33515314.1, CM084264_1_75338734.0, CM084267_1_2081902.0, CM084268_1_3699581.1, CM084275_1_312849.0, CM084271_1_44104315.1, CM084269_1_12905592.0, CM084267_1_52593775.0, CM084266_1_69095441.1, CM084268_1_3704020.1, CM084265_1_71925203.0, CM084272_1_33616443.1, CM084266_1_71166411.1, CM084275_1_120896.1, CM084266_1_69794604.0, CM084274_1_6125439.1, CM084269_1_42862707.1, CM084275_1_39502406.0, CM084265_1_46089443.0, CM084266_1_64726584.0, CM084268_1_50216562.1, CM084274_1_4869825.0, CM084276_1_37352348.1, CM084268_1_28851946.0, CM084275_1_524594.1, CM084274_1_4796884.0, CM084276_1_37353183.1, CM084278_1_20625152.0, CM084269_1_43524676.0, CM084278_1_29698402.1, CM084265_1_71795209.0, CM084264_1_69682047.1, CM084264_1_73926180.1, CM084272_1_18553651.0, CM084265_1_24898691.1, CM084271_1_1052214.1, CM084265_1_1229890.0, CM084265_1_64586069.1, CM084274_1_4788669.1, CM084271_1_274033.1, CM084268_1_45613.0"
