"","sire","dam","id","loci","n.loci","LLRpair","LLRdam","LLRsire","dam.batch","sire.batch","Fertilization_pairs"
"1","adapter_trim.F0-B1.bam","adapter_trim.F0-B20.bam","adapter_trim.F1-J67-pH8.bam","CM084265_1_59221308.0, CM084270_1_4921029.1, CM084267_1_13229742.0, CM084279_1_10147284.0, CM084274_1_5028288.1, CM084267_1_2908966.1, CM084277_1_30168398.0, CM084272_1_33503448.1, CM084274_1_4788623.0, CM084269_1_12905572.1, CM084264_1_69861955.1, CM084277_1_30505537.0, CM084277_1_5803945.1, CM084265_1_1062091.1, CM084276_1_1500414.0, CM084278_1_22667297.0, CM084271_1_44104310.1, CM084266_1_50301559.0, CM084274_1_4686932.0, CM084267_1_5161036.1, CM084276_1_38775920.0, CM084273_1_214007.1, CM084267_1_2653040.1, CM084269_1_35642171.1, CM084274_1_4869977.1, CM084269_1_47255820.1, CM084273_1_42287254.1, CM084273_1_31862599.1, CM084267_1_5165677.0, CM084271_1_43860497.1, CM084265_1_70595157.1, CM084266_1_71317540.0, CM084270_1_1553326.1, CM084271_1_289999.1, CM084275_1_319814.0, CM084275_1_319814.1, CM084278_1_23542543.1, CM084267_1_9175515.1, CM084274_1_4788084.1, CM084268_1_50679551.0, CM084273_1_32683001.1, CM084266_1_69623578.0, CM084271_1_44090307.1, CM084269_1_1580179.0, CM084275_1_400276.1, CM084270_1_4921103.0, CM084274_1_42293378.0, CM084274_1_4730203.0, CM084266_1_46766313.1, CM084265_1_70589365.1","50","0.46","-0.3","-0.56","2, 4","3, 4, 5","TRUE"
"2","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.304.bam","CM084265_1_69924480.1, CM084266_1_23321829.1, CM084267_1_6421422.0, CM084274_1_4792352.1, CM084265_1_64527991.1, CM084265_1_64581822.0, CM084266_1_65347060.1, CM084272_1_11675308.1, CM084276_1_62244.1, CM084268_1_50216537.0, CM084274_1_42859583.1, CM084275_1_327935.1, CM084273_1_32698908.1, CM084265_1_66141834.1, CM084267_1_2652774.0, CM084264_1_70173621.0, CM084279_1_10151201.1, CM084265_1_71265269.0, CM084279_1_32640566.1, CM084266_1_57882780.1, CM084266_1_69085644.1, CM084274_1_4792974.1, CM084264_1_34294487.1, CM084269_1_46688972.0, CM084275_1_25395479.1, CM084274_1_4862958.0, CM084267_1_11257260.1, CM084273_1_31862042.1, CM084264_1_69539449.1, CM084269_1_43523784.1, CM084266_1_66418368.1, CM084274_1_4869897.0, CM084265_1_70979988.0, CM084265_1_71925470.0, CM084271_1_344606.1, CM084274_1_4709650.1, CM084265_1_8362532.0, CM084272_1_11675288.0, CM084271_1_44190489.1, CM084264_1_61167194.0, CM084279_1_33759516.1, CM084267_1_52776062.1, CM084274_1_4787926.1, CM084264_1_73929737.0, CM084277_1_1868384.1, CM084268_1_22932621.1, CM084275_1_35722060.0, CM084275_1_2509498.0, CM084274_1_4778496.1, CM084277_1_10417489.1","50","0.1","-0.49","-0.5","2, 3, 5","3, 4, 5","TRUE"
"3","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.F1-B16-pH75.bam","CM084269_1_1549398.0, CM084267_1_5168533.1, CM084265_1_64196855.1, CM084276_1_38943253.0, CM084273_1_268153.0, CM084267_1_13261449.1, CM084273_1_42253133.0, CM084264_1_69275359.1, CM084267_1_30270802.1, CM084274_1_4694558.1, CM084269_1_4625303.1, CM084267_1_9175848.0, CM084265_1_794917.1, CM084276_1_38558603.0, CM084271_1_30532519.1, CM084276_1_38558640.1, CM084273_1_31865846.0, CM084265_1_72636278.1, CM084276_1_62473.1, CM084267_1_2081904.1, CM084266_1_50301553.1, CM084272_1_33453891.0, CM084267_1_52593733.1, CM084269_1_40451682.1, CM084268_1_22040364.0, CM084271_1_340905.1, CM084274_1_4862951.0, CM084274_1_34976974.1, CM084265_1_72368245.1, CM084268_1_2696122.0, CM084267_1_51248425.1, CM084276_1_11705154.1, CM084276_1_2841302.0, CM084264_1_2738113.1, CM084273_1_31863596.1, CM084269_1_35627096.0, CM084270_1_26890196.1, CM084271_1_26324154.0, CM084264_1_70466147.1, CM084269_1_35627080.0, CM084266_1_58093839.1, CM084269_1_40338578.0, CM084278_1_20591128.1, CM084266_1_70707506.0, CM084265_1_70979994.0, CM084275_1_39781005.1, CM084272_1_18553651.0, CM084271_1_37237146.0, CM084274_1_4862014.1, CM084264_1_75512053.1","50","0.54","-0.45","-0.46","2, 3, 5","3, 4, 5","TRUE"
"4","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.F1-B20-pH8.bam","CM084275_1_39774927.0, CM084267_1_2908957.0, CM084276_1_38943253.0, CM084278_1_22667323.0, CM084264_1_61167161.0, CM084268_1_28851946.1, CM084271_1_44077341.0, CM084265_1_70979994.1, CM084268_1_50219227.0, CM084265_1_54595174.1, CM084274_1_4694558.1, CM084266_1_70221170.1, CM084278_1_23541049.0, CM084270_1_46589386.1, CM084272_1_23578669.1, CM084268_1_282153.1, CM084276_1_1625292.1, CM084266_1_59802398.1, CM084265_1_69230159.1, CM084268_1_50679469.1, CM084275_1_272975.1, CM084272_1_18189795.0, CM084266_1_69793914.0, CM084270_1_47077588.1, CM084277_1_1856957.1, CM084264_1_34300372.0, CM084274_1_4869924.0, CM084274_1_4863175.1, CM084278_1_20735956.0, CM084266_1_69085566.0, CM084276_1_1500490.1, CM084276_1_1856888.1, CM084266_1_69050667.0, CM084278_1_22667296.1, CM084271_1_30532429.0, CM084276_1_1856094.0, CM084276_1_37144250.1, CM084268_1_50682932.0, CM084267_1_2104179.0, CM084266_1_68319456.0, CM084269_1_42862707.0, CM084276_1_25809361.1, CM084272_1_18189795.0, CM084268_1_28845782.0, CM084267_1_5165671.0, CM084276_1_38960936.0, CM084270_1_39395913.1, CM084276_1_38072633.1, CM084264_1_34300372.0, CM084274_1_34977132.1","50","0.44","-0.24","-0.04","2, 3, 5","3, 4, 5","TRUE"
"5","adapter_trim.F0-B1.bam","adapter_trim.F0-B16.bam","adapter_trim.F1-B1-pH8.bam","CM084269_1_40336207.0, CM084271_1_3805848.0, CM084278_1_17460152.0, CM084264_1_70190068.0, CM084265_1_54595174.0, CM084276_1_25809481.1, CM084265_1_72368299.1, CM084275_1_25397304.0, CM084266_1_68659587.1, CM084264_1_15064482.0, CM084274_1_4792256.1, CM084268_1_18519471.0, CM084275_1_529161.0, CM084272_1_18188792.0, CM084275_1_529178.1, CM084265_1_58036225.1, CM084272_1_1894338.0, CM084269_1_43528607.1, CM084268_1_50323442.1, CM084271_1_3821267.0, CM084275_1_66834.1, CM084273_1_10381194.0, CM084277_1_29208305.1, CM084277_1_36519423.1, CM084275_1_327935.1, CM084274_1_4862958.0, CM084267_1_5168533.1, CM084274_1_4792092.0, CM084274_1_4778609.1, CM084264_1_71189798.0, CM084269_1_43525189.1, CM084271_1_276716.1, CM084274_1_4863048.1, CM084271_1_44070313.1, CM084271_1_340905.0, CM084274_1_4869924.0, CM084269_1_1572335.1, CM084269_1_47265300.0, CM084265_1_64735335.0, CM084265_1_66143673.1, CM084269_1_15818485.1, CM084264_1_70466147.1, CM084274_1_4864709.1, CM084265_1_64969585.1, CM084275_1_19996650.0, CM084268_1_3704020.1, CM084273_1_42252907.0, CM084277_1_29781980.1, CM084265_1_72071409.0, CM084275_1_38169321.0","50","0.45","-0.42","-0.73","2, 3, 4, 5","3, 4, 5","TRUE"
"6","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.F1-B9-pH8.bam","CM084268_1_14768218.0, CM084272_1_33515314.1, CM084265_1_70801089.1, CM084266_1_71166448.0, CM084269_1_12904900.1, CM084271_1_26324168.0, CM084269_1_12904900.0, CM084264_1_73927104.0, CM084266_1_69793914.0, CM084274_1_21938486.0, CM084264_1_69275359.1, CM084276_1_62244.1, CM084274_1_4863903.0, CM084266_1_63468218.1, CM084267_1_51033717.0, CM084271_1_44134413.0, CM084265_1_65233017.0, CM084272_1_18194306.0, CM084271_1_44091713.0, CM084271_1_44190417.1, CM084265_1_70799357.1, CM084266_1_57885009.0, CM084274_1_4694263.1, CM084279_1_10150672.1, CM084269_1_35627219.0, CM084269_1_45310996.0, CM084266_1_71148891.0, CM084270_1_2585592.1, CM084279_1_1070763.1, CM084274_1_41688611.0, CM084274_1_34976974.1, CM084275_1_1304704.0, CM084279_1_32915259.0, CM084272_1_41037487.1, CM084275_1_25388888.0, CM084267_1_699404.0, CM084271_1_44075863.1, CM084267_1_51366722.0, CM084271_1_43860497.0, CM084267_1_2908130.1, CM084268_1_50202371.1, CM084266_1_67239897.0, CM084265_1_64528148.1, CM084264_1_70466179.0, CM084268_1_3699589.0, CM084277_1_10628755.0, CM084271_1_346616.0, CM084274_1_4795049.0, CM084269_1_46689548.1, CM084269_1_1549398.1","50","0.45","-0.28","-0.32","2, 3, 5","3, 4, 5","TRUE"
"7","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.F1-B4-pH8.bam","CM084279_1_10149628.1, CM084268_1_45574.1, CM084279_1_10147284.0, CM084274_1_4694254.1, CM084272_1_33623932.0, CM084271_1_19655871.0, CM084267_1_2233926.1, CM084266_1_71166448.0, CM084265_1_72991915.1, CM084269_1_15809932.0, CM084269_1_43524676.1, CM084273_1_31862599.0, CM084272_1_7002400.1, CM084276_1_25975836.1, CM084264_1_64269877.0, CM084275_1_39491725.0, CM084264_1_69539449.0, CM084266_1_58087794.0, CM084279_1_1512885.0, CM084274_1_4869968.1, CM084269_1_46733079.0, CM084266_1_68659587.0, CM084266_1_57882838.1, CM084273_1_42287132.0, CM084268_1_50225025.1, CM084266_1_57888166.0, CM084272_1_1891499.1, CM084276_1_1856888.1, CM084274_1_4694916.0, CM084274_1_4788084.1, CM084265_1_64586070.1, CM084267_1_2104179.0, CM084268_1_42211.0, CM084265_1_794840.0, CM084274_1_4795077.1, CM084264_1_66522464.1, CM084276_1_1856653.0, CM084274_1_4700811.1, CM084275_1_19996650.1, CM084279_1_33759502.0, CM084275_1_40706380.0, CM084272_1_33546605.1, CM084268_1_18512798.0, CM084264_1_2740163.0, CM084276_1_1625423.1, CM084271_1_3821130.0, CM084277_1_31296172.0, CM084270_1_4920915.0, CM084276_1_38552579.1, CM084275_1_25388559.0","50","0.19","-0.44","-0.78","2, 3, 5","3, 4, 5","TRUE"
"8","adapter_trim.F0-B1.bam","adapter_trim.F0-B13.bam","adapter_trim.F1-J361-pH75.bam","CM084269_1_39736991.1, CM084268_1_4026799.1, CM084264_1_73300783.0, CM084272_1_18574380.0, CM084266_1_52832550.1, CM084275_1_19996863.0, CM084275_1_35719388.0, CM084274_1_4795858.0, CM084267_1_8118540.1, CM084270_1_47077463.1, CM084266_1_71149027.0, CM084268_1_276380.0, CM084266_1_70400233.1, CM084274_1_4788669.0, CM084268_1_50681648.1, CM084275_1_39776618.0, CM084264_1_74800241.0, CM084273_1_31866816.0, CM084269_1_1549405.1, CM084272_1_36474233.1, CM084278_1_20625152.0, CM084276_1_6150174.0, CM084272_1_1584311.0, CM084276_1_25532347.1, CM084271_1_44073407.1, CM084272_1_25266666.0, CM084264_1_2740163.1, CM084267_1_2165108.0, CM084272_1_1704404.0, CM084275_1_39776636.1, CM084264_1_69271980.1, CM084267_1_11257252.0, CM084266_1_63195133.0, CM084279_1_10147216.0, CM084266_1_69051064.0, CM084269_1_15799394.1, CM084269_1_4626408.0, CM084264_1_72912659.1, CM084274_1_4694230.0, CM084276_1_37987466.1, CM084264_1_68688356.0, CM084277_1_5803945.0, CM084268_1_46382.0, CM084268_1_24031408.0, CM084272_1_1894276.1, CM084272_1_1704404.0, CM084265_1_59221229.1, CM084277_1_30611507.0, CM084272_1_29973150.0, CM084266_1_64723748.0","50","0.33","-0.14","-0.51","1, 2, 4","3, 4, 5","TRUE"
"9","adapter_trim.F0-B1.bam","adapter_trim.F0-B13.bam","adapter_trim.F1-B15-pH8.bam","CM084274_1_4695205.1, CM084276_1_38558604.1, CM084272_1_18170845.0, CM084266_1_68319456.0, CM084265_1_64586071.1, CM084275_1_25393416.0, CM084279_1_10159270.0, CM084276_1_1856643.0, CM084272_1_18189795.1, CM084274_1_4870197.1, CM084278_1_20736236.1, CM084272_1_1726223.0, CM084273_1_31866816.1, CM084268_1_9292474.0, CM084276_1_11709759.0, CM084275_1_524597.1, CM084264_1_72117194.1, CM084279_1_1072351.1, CM084271_1_19655820.0, CM084264_1_70471433.0, CM084267_1_2163730.0, CM084264_1_70173615.0, CM084266_1_68320536.0, CM084278_1_5144630.1, CM084267_1_8687374.1, CM084276_1_38271842.0, CM084272_1_18170761.0, CM084266_1_58086155.0, CM084277_1_31296172.1, CM084267_1_8687446.0, CM084272_1_29973150.0, CM084275_1_25400810.1, CM084268_1_28851913.0, CM084266_1_64726584.1, CM084268_1_1326648.1, CM084268_1_1326648.1, CM084278_1_24948220.1, CM084265_1_2047919.1, CM084275_1_38169337.0, CM084269_1_4636883.0, CM084265_1_72078910.1, CM084272_1_18194957.1, CM084264_1_74183870.0, CM084265_1_59221281.0, CM084265_1_71265301.0, CM084265_1_14403558.1, CM084271_1_257113.1, CM084264_1_71189798.0, CM084266_1_65993531.0, CM084276_1_61679.0","50","0.14","0.03","-0.48","1, 2, 4","3, 4, 5","TRUE"
"10","adapter_trim.F0-B1.bam","adapter_trim.F0-B14.bam","adapter_trim.F1-J313-pH75.bam","CM084265_1_70798125.1, CM084276_1_1625254.0, CM084264_1_12084151.0, CM084265_1_794840.1, CM084276_1_38559646.1, CM084279_1_10149547.1, CM084266_1_816291.1, CM084277_1_30953045.0, CM084264_1_70355122.1, CM084266_1_68884692.1, CM084278_1_20695466.1, CM084274_1_4730081.0, CM084269_1_1544433.0, CM084267_1_6421555.1, CM084268_1_82411.0, CM084269_1_12905597.0, CM084266_1_70743740.1, CM084279_1_10156984.0, CM084279_1_32673936.0, CM084268_1_298786.0, CM084272_1_44059285.0, CM084276_1_1856932.0, CM084278_1_20867809.0, CM084271_1_3805848.1, CM084271_1_26332994.0, CM084270_1_39395973.1, CM084272_1_36474160.1, CM084265_1_65322091.0, CM084267_1_8118559.1, CM084272_1_1307854.1, CM084264_1_34293009.1, CM084271_1_44069759.1, CM084273_1_42253181.1, CM084264_1_34301159.0, CM084275_1_38169338.1, CM084267_1_48167433.1, CM084276_1_38772790.1, CM084268_1_24030546.1, CM084268_1_49719639.0, CM084267_1_11257252.1, CM084275_1_39394589.1, CM084279_1_1882771.0, CM084271_1_257149.1, CM084267_1_4505260.1, CM084267_1_48167433.1, CM084272_1_1891463.0, CM084269_1_46858338.1, CM084279_1_1070294.1, CM084275_1_39502454.1, CM084268_1_50679469.0","50","0.57","-0.42","-0.19","2, 3, 4, 5","3, 4, 5","TRUE"
